ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,51/432,161/18903,3.3963850329892543e-44,1.2964001670919983e-40,1.2098281001721722e-40,RPL11/EIF3I/RPS8/RPL5/RPS7/RPS27A/RPL32/RPL15/RPL14/RPL29/NCBP2/RPL9/RPS3A/RPS23/RPS14/RACK1/RPS18/RPL10A/RPS12/RPL7/RPL30/PABPC1/EIF3E/RPL8/RPS6/RPL35/RPL12/RPL7A/RPS24/RPS3/RPL41/RPL6/RPLP0/RPLP1/RPS2/RPS15A/RPL13/RPL26/RPL19/RPL17/RPS15/RPL36/EIF3G/RPL18A/RPS19/RPL18/RPS9/RPS5/EIF3L/RPL3/RPL36A,51
GO:0042254,ribosome biogenesis,31/432,310/18903,5.922389930073687e-12,1.1302881181545633e-8,1.0548088170194399e-8,RPL11/RPS8/RPL5/RPS7/WDR43/RPL14/EXOSC7/MRPL36/RPS14/NPM1/RPL10A/RPL7L1/GTF2H5/RPL7/RPS6/RPL35/RPL7A/MRPS2/RPS24/DDX10/RPL6/DDX54/RPLP0/RPS27L/RSL1D1/NOB1/RPL26/RPS15/RPS19/NOP53/RPS5,31
GO:0022613,ribonucleoprotein complex biogenesis,37/432,489/18903,1.9555135472036247e-10,2.4880650698920784e-7,2.3219150328901986e-7,RPL11/EIF3I/RPS8/RPL5/RPS7/WDR43/RPL14/EXOSC7/MRPL36/RPS14/NPM1/RPL10A/RPL7L1/GTF2H5/RPL7/EIF3E/RPS6/RPL35/RPL7A/MRPS2/RPS24/DDX10/RPL6/DDX54/RPLP0/PRMT5/RPS27L/RSL1D1/NOB1/RPL26/RPS15/EIF3G/RPS19/NOP53/RUVBL2/RPS5/EIF3L,37
GO:0006364,rRNA processing,24/432,229/18903,5.897268314231932e-10,5.627468288855821e-7,5.251672625094963e-7,RPL11/RPS8/RPL5/RPS7/WDR43/RPL14/EXOSC7/RPS14/RPL10A/RPL7L1/GTF2H5/RPL7/RPS6/RPL35/RPL7A/RPS24/DDX10/DDX54/RSL1D1/NOB1/RPL26/RPS15/RPS19/NOP53,24
GO:0042273,ribosomal large subunit biogenesis,14/432,76/18903,1.6255603482845062e-9,1.240952769880392e-6,1.158083414441004e-6,RPL11/RPL5/RPL14/NPM1/RPL10A/RPL7L1/RPL7/RPL35/RPL7A/RPL6/RPLP0/RSL1D1/RPL26/NOP53,14
GO:0042255,ribosome assembly,12/432,61/18903,1.1032284057469839e-8,7.0183713745603954e-6,6.549692850961041e-6,RPL11/RPL5/RPS14/NPM1/MRPS2/RPL6/RPLP0/RPS27L/RPS15/RPS19/NOP53/RPS5,12
GO:0016072,rRNA metabolic process,24/432,268/18903,1.3657276859980267e-8,7.447117967792098e-6,6.949808254762891e-6,RPL11/RPS8/RPL5/RPS7/WDR43/RPL14/EXOSC7/RPS14/RPL10A/RPL7L1/GTF2H5/RPL7/RPS6/RPL35/RPL7A/RPS24/DDX10/DDX54/RSL1D1/NOB1/RPL26/RPS15/RPS19/NOP53,24
GO:0030900,forebrain development,29/432,383/18903,1.8870570249795653e-8,9.00362083043375e-6,8.402369700698485e-6,SLC2A1/DMRTA2/DAB1/NHLH2/OTX1/EMX1/TBR1/NEUROD1/FEZF2/HES1/LEF1/FAT4/ID4/UNCX/NEUROD6/GLI3/LHX2/NRP1/DPCD/EMX2/DYNC2H1/LHX5/SLITRK5/CCDC85C/RPGRIP1L/LHX1/NOTCH3/PLCB1/WNT7B,29
GO:0042274,ribosomal small subunit biogenesis,13/432,78/18903,2.218880798711223e-8,9.173630624094203e-6,8.561026441800472e-6,RPS8/RPS7/WDR43/RPS14/NPM1/GTF2H5/RPS6/RPS24/RPS27L/NOB1/RPS15/RPS19/RPS5,13
GO:0021537,telencephalon development,23/432,255/18903,2.4033614419948134e-8,9.173630624094203e-6,8.561026441800472e-6,SLC2A1/DMRTA2/DAB1/EMX1/TBR1/NEUROD1/FEZF2/HES1/LEF1/FAT4/ID4/UNCX/NEUROD6/GLI3/LHX2/DPCD/EMX2/LHX5/SLITRK5/CCDC85C/RPGRIP1L/LHX1/PLCB1,23
GO:0021871,forebrain regionalization,8/432,24/18903,3.721692577911295e-8,1.2914273245352194e-5,1.2051873381484998e-5,DMRTA2/EMX1/FEZF2/GLI3/LHX2/EMX2/LHX1/WNT7B,8
GO:0042073,intraciliary transport,10/432,47/18903,8.517109473649279e-8,2.7091505717432746e-5,2.528236706914839e-5,WDR35/DYNC2LI1/IFT57/WDR19/INTU/IFT74/SSNA1/DYNC2H1/IFT43/CLUAP1,10
GO:0034470,ncRNA processing,30/432,439/18903,1.0533850098019099e-7,3.0929004480106846e-5,2.8863602211900106e-5,RPL11/RPS8/RPL5/RPS7/MYCN/WDR43/SSB/RPL14/EXOSC7/DALRD3/NCBP2/RPS14/RPL10A/RPL7L1/GTF2H5/RPL7/RPS6/RPP25L/RPL35/RPL7A/RPS24/DDX10/DDX54/RSL1D1/NOB1/RPL26/RPS15/RPS19/NOP53/TP53RK,30
GO:1901796,regulation of signal transduction by p53 class mediator,14/432,105/18903,1.1877611235512502e-7,3.2383458632822304e-5,3.022092963983031e-5,RPL11/RPL5/RPS7/MLF1/NPM1/DYRK2/PRMT5/SPRED1/EIF5A/RPL26/RPS15/NOP53/TP53RK/MIF,14
GO:0007224,smoothened signaling pathway,16/432,144/18903,1.992005522872385e-7,5.068990053869262e-5,4.7304889048422114e-5,ARMC9/TGFBR2/IFT57/HES1/WDR19/INTU/RACK1/GLI3/SFRP1/GAS1/SSNA1/DYNC2H1/DYRK2/CLUAP1/RPGRIP1L/SCUBE1,16
GO:0003002,regionalization,26/432,360/18903,2.62753106106775e-7,6.268303787559751e-5,5.849713888587675e-5,HES4/DMRTA2/OTX1/EMX1/TBR1/NEUROD1/FEZF2/IFT57/HES1/WDR19/LEF1/INTU/NEUROG1/GLI3/SFRP1/DMRT3/LHX2/NRP1/DPCD/EMX2/LRP4/DYNC2H1/CLUAP1/RPGRIP1L/LHX1/WNT7B,26
GO:0007389,pattern specification process,30/432,472/18903,4.979514439921704e-7,1.1180474480694792e-4,1.0433855643774023e-4,HES4/DMRTA2/DYNC2LI1/OTX1/EMX1/TBR1/NEUROD1/TGFBR2/FEZF2/IFT57/HES1/WDR19/LEF1/INTU/NEUROG1/UNCX/GLI3/SFRP1/DMRT3/IFT74/LHX2/NRP1/DPCD/EMX2/LRP4/DYNC2H1/CLUAP1/RPGRIP1L/LHX1/WNT7B,30
GO:0021543,pallium development,17/432,174/18903,5.335163651724939e-7,1.1313510921463384e-4,1.0558008068676722e-4,SLC2A1/DMRTA2/DAB1/EMX1/TBR1/NEUROD1/FEZF2/LEF1/FAT4/ID4/NEUROD6/GLI3/LHX2/EMX2/LHX5/CCDC85C/PLCB1,17
GO:0060271,cilium assembly,24/432,362/18903,3.420443888682094e-6,6.871491748999764e-4,6.412621672742497e-4,TEKT2/ODF2L/WDR35/DYNC2LI1/SPAG16/ARMC9/IFT57/WDR19/ALPK1/INTU/RSPH9/TMEM67/IFT74/KIF27/DYNC2H1/CEP83/CFAP54/ABCC4/IFT43/CLUAP1/RPGRIP1L/CCDC113/HYDIN/DNAH2,24
GO:0044782,cilium organization,25/432,391/18903,4.069458117701204e-6,7.766560817632747e-4,7.247919089632039e-4,TEKT2/ODF2L/WDR35/DYNC2LI1/SPAG16/ARMC9/IFT57/WDR19/ALPK1/INTU/RSPH9/TMEM67/IFT74/KIF27/SSNA1/DYNC2H1/CEP83/CFAP54/ABCC4/IFT43/CLUAP1/RPGRIP1L/CCDC113/HYDIN/DNAH2,25
GO:0001736,establishment of planar polarity,10/432,74/18903,6.817496979958243e-6,0.001182835726022755,0.0011038473579032867,ROR1/NPHP1/FZD7/INTU/RSPO3/SFRP1/RPGRIP1L/FZD2/ZNRF3/CELSR1,10
GO:0007164,establishment of tissue polarity,10/432,74/18903,6.817496979958243e-6,0.001182835726022755,0.0011038473579032867,ROR1/NPHP1/FZD7/INTU/RSPO3/SFRP1/RPGRIP1L/FZD2/ZNRF3/CELSR1,10
GO:0021761,limbic system development,12/432,111/18903,8.917310664769413e-6,0.0014798858611923848,0.0013810608370517022,DAB1/NHLH2/TBR1/NEUROD1/FEZF2/LEF1/ID4/NEUROD6/GLI3/NRP1/EMX2/LHX5,12
GO:0035721,intraciliary retrograde transport,5/432,14/18903,1.0285488793177109e-5,0.0016358212801482093,0.001526583073513655,WDR35/DYNC2LI1/WDR19/DYNC2H1/IFT43,5
GO:0072331,signal transduction by p53 class mediator,15/432,173/18903,1.0785245166216812e-5,0.0016466912319779829,0.001536727142841166,RPL11/RPL5/RPS7/MLF1/NPM1/DYRK2/PRMT5/SPRED1/RPS27L/EIF5A/RPL26/RPS15/NOP53/TP53RK/MIF,15
GO:0021542,dentate gyrus development,5/432,16/18903,2.1607968649554205e-5,0.003073756845354849,0.0028684950056342977,NEUROD1/FEZF2/LEF1/NEUROD6/EMX2,5
GO:0021872,forebrain generation of neurons,8/432,52/18903,2.174258182462167e-5,0.003073756845354849,0.0028684950056342977,NHLH2/TBR1/FEZF2/HES1/LEF1/GLI3/NRP1/LHX5,8
GO:2000179,positive regulation of neural precursor cell proliferation,8/432,55/18903,3.3135685360235375e-5,0.00445245757560292,0.004155127734881426,DMRTA2/GNAI2/ID4/GLI3/LHX2/NAP1L1/LHX5/LHX1,8
GO:0000470,maturation of LSU-rRNA,6/432,28/18903,3.382794595034967e-5,0.00445245757560292,0.004155127734881426,RPL10A/RPL7L1/RPL7/RPL35/RPL7A/RSL1D1,6
GO:1901798,positive regulation of signal transduction by p53 class mediator,6/432,30/18903,5.129263369679799e-5,0.006483314543301606,0.006050366480849561,RPL11/RPS7/SPRED1/EIF5A/RPL26/RPS15,6
