ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0061564,axon development,52/485,490/18903,2.9196909635134672e-18,1.1436429504082251e-14,1.0311119139565982e-14,EPHA10/NEXN/PLPPR4/LRIG2/TSPAN2/NOTCH2/TRIM46/CAMSAP2/NRXN1/CTNNA2/BMPR2/EPHA3/SEMA5B/EPHB1/CNR1/SEMA3C/SEMA3A/DLX5/PTN/DPYSL2/UNC5D/JAK2/NTRK2/TNC/ANK3/SHTN1/VAX1/LRRC4C/DSCAML1/CNTN1/DIP2B/KIF5A/DCLK1/MYCBP2/SLITRK1/ATL1/NRXN3/FLRT2/ISLR2/MAPK8IP3/CDH11/NTN1/CDK5R1/MAPT/RNF165/NOVA2/NCAM2/APP/DSCAM/OPHN1/SLC9A6/L1CAM,52
GO:0007409,axonogenesis,43/485,438/18903,4.520970093177026e-14,8.854319927487206e-11,7.983081401373117e-11,EPHA10/NEXN/PLPPR4/NOTCH2/TRIM46/NRXN1/CTNNA2/BMPR2/EPHA3/SEMA5B/EPHB1/SEMA3C/SEMA3A/DLX5/DPYSL2/UNC5D/NTRK2/ANK3/SHTN1/VAX1/LRRC4C/DSCAML1/CNTN1/DIP2B/KIF5A/DCLK1/MYCBP2/SLITRK1/ATL1/NRXN3/FLRT2/ISLR2/CDH11/NTN1/CDK5R1/MAPT/RNF165/NOVA2/APP/DSCAM/OPHN1/SLC9A6/L1CAM,43
GO:0007411,axon guidance,28/485,236/18903,1.6350821632495664e-11,1.77306808292687e-8,1.5986035011272453e-8,EPHA10/NEXN/NOTCH2/NRXN1/BMPR2/EPHA3/SEMA5B/EPHB1/SEMA3C/SEMA3A/DLX5/DPYSL2/UNC5D/VAX1/DSCAML1/CNTN1/KIF5A/MYCBP2/NRXN3/FLRT2/NTN1/CDK5R1/RNF165/NOVA2/APP/DSCAM/OPHN1/L1CAM,28
GO:0097485,neuron projection guidance,28/485,237/18903,1.8106388388326474e-11,1.77306808292687e-8,1.5986035011272453e-8,EPHA10/NEXN/NOTCH2/NRXN1/BMPR2/EPHA3/SEMA5B/EPHB1/SEMA3C/SEMA3A/DLX5/DPYSL2/UNC5D/VAX1/DSCAML1/CNTN1/KIF5A/MYCBP2/NRXN3/FLRT2/NTN1/CDK5R1/RNF165/NOVA2/APP/DSCAM/OPHN1/L1CAM,28
GO:0010975,regulation of neuron projection development,39/485,446/18903,2.5962520395315076e-11,2.033903847768983e-8,1.83377380897436e-8,LRIG2/TRIM46/DNM3/CAMSAP2/KIDINS220/ALK/CTNNA2/BMPR2/EPHA3/SEMA5B/TNIK/PPP3CA/RAPGEF2/CNR1/SEMA3C/SEMA3A/PTN/PRAG1/STMN2/NTRK2/SHTN1/LRRC4C/CNTN1/DIP2B/MYCBP2/SLITRK1/PRKD1/PARP6/ISLR2/NTN1/SARM1/SEZ6/CDK5R1/MAPT/TANC2/NEDD4L/NOVA2/DSCAM/L1CAM,39
GO:0050808,synapse organization,38/485,432/18903,3.965301662519693e-11,2.58868110201494e-8,2.3339626452199248e-08,DLGAP3/DNM3/NRXN1/CTNNA2/DNER/SETD5/LHFPL4/SLC6A1/CAMKV/EPHB1/LRRN3/NTRK2/TNC/ANK3/LRRTM3/NEURL1/LRRC4C/KIRREL3/MYCBP2/SLITRK1/LRFN5/FLRT2/GABRB3/UNC13C/ABHD17C/NTN1/SEZ6/CDK5R1/MAPT/TANC2/UNC13A/APP/DSCAM/DIP2A/SEZ6L/CACNG2/OPHN1/L1CAM,38
GO:0050804,modulation of chemical synaptic transmission,38/485,448/18903,1.1504172408442977e-10,6.009630703709397e-8,5.418301065784778e-8,DLGAP3/GRIK3/PLPPR4/SYT11/NRXN1/PLCL1/SLC6A1/EPHB1/CPLX1/PPP3CA/RAPGEF2/CAMK2A/GRIA1/CNR1/PTN/DGKI/JAK2/APBA1/NTRK2/CPEB3/NEURL1/SORCS3/LRRC4C/JPH4/UNC13C/RASGRF1/CDH11/MAPT/CELF4/UNC13A/GRIN2D/CACNG7/CACNG8/RIMS4/APP/CACNG2/CASK/OPHN1,38
GO:0099177,regulation of trans-synaptic signaling,38/485,449/18903,1.227394578240367e-10,6.009630703709397e-8,5.418301065784778e-8,DLGAP3/GRIK3/PLPPR4/SYT11/NRXN1/PLCL1/SLC6A1/EPHB1/CPLX1/PPP3CA/RAPGEF2/CAMK2A/GRIA1/CNR1/PTN/DGKI/JAK2/APBA1/NTRK2/CPEB3/NEURL1/SORCS3/LRRC4C/JPH4/UNC13C/RASGRF1/CDH11/MAPT/CELF4/UNC13A/GRIN2D/CACNG7/CACNG8/RIMS4/APP/CACNG2/CASK/OPHN1,38
GO:0001764,neuron migration,23/485,177/18903,1.7453760808444055e-10,7.596264565186152e-8,6.848814913722784e-8,LRIG2/TRIM46/ARHGEF2/ASTN1/CTNNA2/DNER/RAPGEF2/CAMK2A/CEP85L/SEMA3A/UNC5D/SCRT1/NTRK2/ZMIZ1/SHTN1/VAX1/KIRREL3/ASCL1/DCLK1/FLRT2/NTN1/CDK5R1/SCRT2,23
GO:0016358,dendrite development,26/485,237/18903,4.967282306980652e-10,1.9456844796443214e-7,1.7542349620968514e-7,DNM3/CAMSAP2/KIDINS220/ALK/CTNNA2/EPHB1/TNIK/PPP3CA/RAPGEF2/CAMK2A/SEMA3A/ACTL6B/PTN/CPEB3/NEURL1/DCLK1/PARP6/NTN1/SARM1/SEZ6/CDK5R1/TANC2/NEDD4L/APP/DSCAM/DIP2A,26
