ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006119,oxidative phosphorylation,13/148,147/18903,1.381730357441178e-10,3.2346307667697975e-7,3.124165060824895e-7,NDUFB5/UQCC2/CYCS/CHCHD2/NDUFA5/UQCRB/STOML2/NDUFB8/DNAJC15/NDUFB10/COX4I1/NDUFA7/CHCHD10,13
GO:0009060,aerobic respiration,13/148,194/18903,4.259139980540325e-9,3.9003731778175456e-6,3.767171737652415e-6,NDUFB5/UQCC2/CYCS/CHCHD2/NDUFA5/UQCRB/STOML2/NDUFB8/DNAJC15/NDUFB10/COX4I1/NDUFA7/CHCHD10,13
GO:0042773,ATP synthesis coupled electron transport,10/148,101/18903,6.6644565191243844e-09,3.9003731778175456e-6,3.767171737652415e-6,NDUFB5/CYCS/CHCHD2/NDUFA5/UQCRB/NDUFB8/DNAJC15/NDUFB10/COX4I1/NDUFA7,10
GO:0042775,mitochondrial ATP synthesis coupled electron transport,10/148,101/18903,6.6644565191243844e-09,3.9003731778175456e-6,3.767171737652415e-6,NDUFB5/CYCS/CHCHD2/NDUFA5/UQCRB/NDUFB8/DNAJC15/NDUFB10/COX4I1/NDUFA7,10
GO:0022904,respiratory electron transport chain,10/148,122/18903,4.157184854289061e-8,1.8048585954416817e-5,1.7432209640543774e-5,NDUFB5/CYCS/CHCHD2/NDUFA5/UQCRB/NDUFB8/DNAJC15/NDUFB10/COX4I1/NDUFA7,10
GO:0019646,aerobic electron transport chain,9/148,93/18903,4.7605231900933915e-8,1.8048585954416817e-5,1.7432209640543774e-5,NDUFB5/CYCS/NDUFA5/UQCRB/NDUFB8/DNAJC15/NDUFB10/COX4I1/NDUFA7,9
GO:0045333,cellular respiration,13/148,240/18903,5.396843301192555e-8,1.8048585954416817e-5,1.7432209640543774e-5,NDUFB5/UQCC2/CYCS/CHCHD2/NDUFA5/UQCRB/STOML2/NDUFB8/DNAJC15/NDUFB10/COX4I1/NDUFA7/CHCHD10,13
GO:0022900,electron transport chain,11/148,176/18903,1.412640850175236e-7,4.133740287825285e-5,3.992569139705799e-5,NDUFB5/CYCS/CHCHD2/NDUFA5/UQCRB/NDUFB8/DNAJC15/NDUFB10/COX4I1/CYBA/NDUFA7,11
GO:0015986,proton motive force-driven ATP synthesis,7/148,76/18903,2.176961348906785e-6,5.266556127646347e-4,5.086698245097397e-4,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NDUFB10/NDUFA7,7
GO:0015980,energy derivation by oxidation of organic compounds,13/148,333/18903,2.2497036000197983e-6,5.266556127646347e-4,5.086698245097397e-4,NDUFB5/UQCC2/CYCS/CHCHD2/NDUFA5/UQCRB/STOML2/NDUFB8/DNAJC15/NDUFB10/COX4I1/NDUFA7/CHCHD10,13
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",6/148,51/18903,2.8030493882684625e-6,5.96539874357861e-4,5.761674723445605e-4,NDUFB5/NDUFA5/NDUFB8/DNAJC15/NDUFB10/NDUFA7,6
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,8/148,117/18903,3.8770381016187766e-6,7.440302902950898e-4,7.186209508099791e-4,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NME3/NDUFB10/NDUFA7,8
GO:0009145,purine nucleoside triphosphate biosynthetic process,8/148,118/18903,4.131735913642105e-6,7.440302902950898e-4,7.186209508099791e-4,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NME3/NDUFB10/NDUFA7,8
GO:0009201,ribonucleoside triphosphate biosynthetic process,8/148,123/18903,5.62868337700372e-6,9.411962703975508e-4,9.090535258499242e-4,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NME3/NDUFB10/NDUFA7,8
GO:0030900,forebrain development,13/148,383/18903,1.0244907629616217e-5,0.0015499721723434194,0.0014970391538450347,DMRTA2/NHLH2/FEZF2/ZIC1/ISL1/PLXNA4/NFIB/KCNC2/LHX5/B2M/LHX1/SSTR2/WNT7B,13
GO:0009142,nucleoside triphosphate biosynthetic process,8/148,134/18903,1.0593573155700432e-5,0.0015499721723434194,0.0014970391538450347,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NME3/NDUFB10/NDUFA7,8
GO:0042776,proton motive force-driven mitochondrial ATP synthesis,6/148,67/18903,1.4014026907141425e-5,0.0019298139405657694,0.0018639089657300173,NDUFB5/NDUFA5/STOML2/NDUFB8/NDUFB10/NDUFA7,6
GO:0006754,ATP biosynthetic process,7/148,106/18903,1.9958436327101787e-5,0.0025957055245414045,0.002507059721088576,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NDUFB10/NDUFA7,7
GO:0009205,purine ribonucleoside triphosphate metabolic process,10/148,242/18903,2.1360545186656283e-5,0.0026318440148401243,0.0025419640476973798,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/JMJD8/NME3/NDUFB10/NDUFA7/TSPO,10
GO:0009144,purine nucleoside triphosphate metabolic process,10/148,247/18903,2.545019870777694e-5,0.0029789457587452908,0.0028772119381213087,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/JMJD8/NME3/NDUFB10/NDUFA7/TSPO,10
GO:0009199,ribonucleoside triphosphate metabolic process,10/148,249/18903,2.7264759970523793e-5,0.003039371575761724,0.0029355741562248176,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/JMJD8/NME3/NDUFB10/NDUFA7/TSPO,10
GO:0021871,forebrain regionalization,4/148,24/18903,3.393793966860511e-5,0.003611305307463844,0.0034879758090030515,DMRTA2/FEZF2/LHX1/WNT7B,4
GO:0009141,nucleoside triphosphate metabolic process,10/148,267/18903,4.923431663240399e-5,0.005011197184193815,0.004840060051551661,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/JMJD8/NME3/NDUFB10/NDUFA7/TSPO,10
GO:0046034,ATP metabolic process,9/148,217/18903,5.413997545311924e-5,0.005280903438989673,0.005100555582162286,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/JMJD8/NDUFB10/NDUFA7/TSPO,9
GO:0021953,central nervous system neuron differentiation,8/148,174/18903,6.920095483186782e-5,0.006479977410456103,0.006258680041214825,NHLH2/FEZF2/ISL1/PLXNA4/NFIB/LHX5/B2M/LHX1,8
GO:0033108,mitochondrial respiratory chain complex assembly,6/148,99/18903,1.281553500692666e-4,0.011538910558159733,0.011144845827886019,NDUFB5/UQCC2/NDUFA5/NDUFB8/COX16/NDUFB10,6
GO:0009152,purine ribonucleotide biosynthetic process,8/148,220/18903,3.461302885194343e-4,0.028418524406067854,0.027448004867121005,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NME3/NDUFB10/NDUFA7,8
GO:0021879,forebrain neuron differentiation,4/148,43/18903,3.5118242430992526e-4,0.028418524406067854,0.027448004867121005,NHLH2/FEZF2/LHX5/B2M,4
GO:0042407,cristae formation,3/148,18/18903,3.520449413823015e-4,0.028418524406067854,0.027448004867121005,MICOS10/MICOS13/CHCHD10,3
GO:0009260,ribonucleotide biosynthetic process,8/148,234/18903,5.214488662944415e-4,0.04069039319984292,0.039300777712296855,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NME3/NDUFB10/NDUFA7,8
GO:0120009,intermembrane lipid transfer,4/148,50/18903,6.281462095785967e-4,0.04612632475639824,0.04455106705489935,TTPA/ABCA1/PRELID3B/TSPO,4
GO:0046390,ribose phosphate biosynthetic process,8/148,241/18903,6.328472424311946e-4,0.04612632475639824,0.04455106705489935,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NME3/NDUFB10/NDUFA7,8
GO:0006164,purine nucleotide biosynthetic process,8/148,242/18903,6.502215792230422e-4,0.04612632475639824,0.04455106705489935,ATP5MC3/NDUFB5/NDUFA5/STOML2/NDUFB8/NME3/NDUFB10/NDUFA7,8
