ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,43/170,161/18903,3.989508825609172e-52,1.0739757758539892e-48,9.776396364229636e-49,RPL11/RPL5/RPS7/RPSA/RPL9/RPS3A/RPS14/RACK1/RPS12/RPS20/RPL7/RPL30/EIF3E/RPL8/RPS6/RPL12/RPL7A/RPS24/EIF3A/RPS3/RPS25/RPL41/RPL6/RPLP0/RPS29/RPLP1/RPS2/RPS15A/RPL13/RPL19/RPL27/IGF2BP1/RPL17/RPS15/RPL18A/RPS19/RPL18/RPL13A/RPS11/RPS9/EIF3L/RPL36A/RPL10,43
GO:0022613,ribonucleoprotein complex biogenesis,27/170,489/18903,3.8744692990140736e-14,5.2150356764729434e-11,4.7472444884761916e-11,RPL11/RPL5/RPS7/RPSA/RPS14/NPM1/RPL7L1/CHD7/RPL7/EIF3E/RPS6/RPL7A/RPS24/EIF3A/RPS25/SCAF11/RPL6/RPLP0/RPS27L/RPL27/SNRPD1/RPS15/FBL/RPS19/RPL13A/EIF3L/RPL10,27
GO:0042254,ribosome biogenesis,21/170,310/18903,6.813380659494494e-13,6.113873578453059e-10,5.565456201860766e-10,RPL11/RPL5/RPS7/RPSA/RPS14/NPM1/RPL7L1/CHD7/RPL7/RPS6/RPL7A/RPS24/RPS25/RPL6/RPLP0/RPS27L/RPL27/RPS15/FBL/RPS19/RPL10,21
GO:0042255,ribosome assembly,11/170,61/18903,6.3679006714168785e-12,4.2855971518635594e-9,3.901177042910131e-9,RPL11/RPL5/RPSA/RPS14/NPM1/RPL6/RPLP0/RPS27L/RPS15/RPS19/RPL10,11
GO:0022618,ribonucleoprotein complex assembly,16/170,234/18903,3.7765957921215907e-10,2.0333191744782643e-7,1.8509294745387503e-7,RPL11/RPL5/RPSA/RPS14/EIF3E/EIF3A/SCAF11/RPL6/RPLP0/RPS27L/SNRPD1/RPS15/RPS19/RPL13A/EIF3L/RPL10,16
GO:0071826,ribonucleoprotein complex subunit organization,16/170,242/18903,6.187356117100923e-10,2.776060444539281e-7,2.5270464983527984e-7,RPL11/RPL5/RPSA/RPS14/EIF3E/EIF3A/SCAF11/RPL6/RPLP0/RPS27L/SNRPD1/RPS15/RPS19/RPL13A/EIF3L/RPL10,16
GO:0042274,ribosomal small subunit biogenesis,10/170,78/18903,1.9712326242929587e-9,7.580797463709492e-7,6.900796314818058e-7,RPS7/RPSA/RPS14/NPM1/RPS6/RPS24/RPS25/RPS27L/RPS15/RPS19,10
GO:0006364,rRNA processing,15/170,229/18903,2.4741908893133687e-9,8.143767195035074e-7,7.413267392680712e-7,RPL11/RPL5/RPS7/RPS14/RPL7L1/CHD7/RPL7/RPS6/RPL7A/RPS24/RPS25/RPL27/RPS15/FBL/RPS19,15
GO:0016072,rRNA metabolic process,16/170,268/18903,2.722656194476808e-9,8.143767195035074e-7,7.413267392680712e-7,RPL11/RPL5/RPS7/RPS14/RPL7L1/CHD7/RPL7/RPS6/RPL7A/RPS24/RPS25/RPL27/RPS15/FBL/RPS19/SMARCB1,16
GO:0042273,ribosomal large subunit biogenesis,9/170,76/18903,2.6453928025715388e-8,7.121397424522582e-6,6.482604678301624e-6,RPL11/RPL5/NPM1/RPL7L1/RPL7/RPL7A/RPL6/RPLP0/RPL10,9
GO:1904667,negative regulation of ubiquitin protein ligase activity,5/170,12/18903,4.174281211164283e-8,1.0215604564049318e-5,9.299259961330577e-6,RPL11/RPL5/RPS7/RPS20/RPS15,5
GO:0006417,regulation of translation,19/170,486/18903,8.394643624921582e-8,1.883198386524075e-5,1.7142745928787233e-5,TUT4/RPL5/IGF2BP2/RPS14/NPM1/RACK1/EIF2AK1/EIF3E/VIM/RPS3/GAPDH/ZFP36L1/RPS27L/EIF5A/IGF2BP1/ELAVL1/RPL13A/RPS9/RPL10,19
GO:0031396,regulation of protein ubiquitination,12/170,210/18903,4.53764659642671e-7,9.214503001757311e-5,8.387957686748659e-5,RPL11/RPL5/RPS7/NPM1/PRKN/RPS20/RPS3/UBE3A/RPS2/NXN/RPS15/HDAC8,12
GO:0034470,ncRNA processing,17/170,439/18903,4.792089228254174e-7,9.214503001757311e-5,8.387957686748659e-5,RPL11/ZBTB8OS/TUT4/RPL5/RPS7/RPS14/RPL7L1/CHD7/RPL7/RPS6/RPL7A/RPS24/RPS25/RPL27/RPS15/FBL/RPS19,17
GO:0000028,ribosomal small subunit assembly,5/170,19/18903,5.823692444403644e-7,1.045158670688974e-4,9.514074393383638e-5,RPSA/RPS14/RPS27L/RPS15/RPS19,5
GO:0031397,negative regulation of protein ubiquitination,8/170,84/18903,8.847217631723881e-7,1.488544366537543e-4,1.3550212267534999e-4,RPL11/RPL5/RPS7/RPS20/RPS3/NXN/RPS15/HDAC8,8
GO:0051444,negative regulation of ubiquitin-protein transferase activity,5/170,22/18903,1.2903864552946943e-6,2.043364904501951e-4,1.860074097787027e-4,RPL11/RPL5/RPS7/RPS20/RPS15,5
GO:1904666,regulation of ubiquitin protein ligase activity,5/170,24/18903,2.052619760939109e-6,3.0698068869156004e-4,2.794443744717103e-4,RPL11/RPL5/RPS7/RPS20/RPS15,5
