cluster,N_genes
IN_1_DS_down,3359
IN_1_DS_up,3359
IN_2_DS_down,12701
IN_2_DS_up,12701
IN_DS_down,13763
IN_DS_up,13763
IPC_DS_down,13763
IPC_DS_up,13763
MGE_DS_down,13234
MGE_DS_up,13234
nEN_1_DS_down,13763
nEN_1_DS_up,13763
nEN_DS_down,13763
nEN_DS_up,13763
nIN_1_DS_down,3359
nIN_1_DS_up,3359
nIN_DS_down,13763
nIN_DS_up,13763
RG_DS_down,11901
RG_DS_up,11901
IN_1_DS_down_TFs,269
IN_1_DS_up_TFs,269
IN_2_DS_down_TFs,1084
IN_2_DS_up_TFs,1084
IN_DS_down_TFs,1144
IN_DS_up_TFs,1144
IPC_DS_down_TFs,1144
IPC_DS_up_TFs,1144
MGE_DS_down_TFs,1118
MGE_DS_up_TFs,1118
nEN_1_DS_down_TFs,1144
nEN_1_DS_up_TFs,1144
nEN_DS_down_TFs,1144
nEN_DS_up_TFs,1144
nIN_1_DS_down_TFs,269
nIN_1_DS_up_TFs,269
nIN_DS_down_TFs,1144
nIN_DS_up_TFs,1144
RG_DS_down_TFs,1019
RG_DS_up_TFs,1019
IN_1_DS_down_HSA21,34
IN_1_DS_up_HSA21,34
IN_2_DS_down_HSA21,106
IN_2_DS_up_HSA21,106
IN_DS_down_HSA21,112
IN_DS_up_HSA21,112
IPC_DS_down_HSA21,112
IPC_DS_up_HSA21,112
MGE_DS_down_HSA21,109
MGE_DS_up_HSA21,109
nEN_1_DS_down_HSA21,112
nEN_1_DS_up_HSA21,112
nEN_DS_down_HSA21,112
nEN_DS_up_HSA21,112
nIN_1_DS_down_HSA21,34
nIN_1_DS_up_HSA21,34
nIN_DS_down_HSA21,112
nIN_DS_up_HSA21,112
RG_DS_down_HSA21,99
RG_DS_up_HSA21,99
