IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
HES4,HES4,LINC01409,LINC01409,LINC01409,LINC01409,LINC01409,LINC01409,LINC01409,LINC01409,LINC01409,LINC01409,LINC01409,LINC01409,HES4,HES4,LINC01409,LINC01409,LINC01409,LINC01409,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HES4,HSPA13,HSPA13,GATD3B,GATD3B,GATD3B,GATD3B,GATD3B,GATD3B,GATD3B,GATD3B,GATD3B,GATD3B,GATD3B,GATD3B,HSPA13,HSPA13,GATD3B,GATD3B,GATD3B,GATD3B
AURKAIP1,AURKAIP1,LINC01128,LINC01128,LINC01128,LINC01128,LINC01128,LINC01128,LINC01128,LINC01128,LINC01128,LINC01128,LINC01128,LINC01128,AURKAIP1,AURKAIP1,LINC01128,LINC01128,LINC01128,LINC01128,HES5,HES5,SKI,SKI,SKI,SKI,SKI,SKI,SKI,SKI,SKI,SKI,SKI,SKI,HES5,HES5,SKI,SKI,SKI,SKI,NRIP1,NRIP1,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5,NRIP1,NRIP1,U2AF1L5,U2AF1L5,U2AF1L5,U2AF1L5
MRPL20,MRPL20,AL645608.6,AL645608.6,AL645608.6,AL645608.6,AL645608.6,AL645608.6,AL645608.6,AL645608.6,AL645608.6,AL645608.6,AL645608.6,AL645608.6,MRPL20,MRPL20,AL645608.6,AL645608.6,NOC2L,NOC2L,CAMTA1,CAMTA1,HES5,HES5,HES5,HES5,HES5,HES5,HES5,HES5,HES5,HES5,HES5,HES5,CAMTA1,CAMTA1,HES5,HES5,HES5,HES5,CXADR,CXADR,LIPI,LIPI,LIPI,LIPI,LIPI,LIPI,LIPI,LIPI,LIPI,LIPI,LIPI,LIPI,CXADR,CXADR,LIPI,LIPI,HSPA13,HSPA13
SSU72,SSU72,NOC2L,NOC2L,SAMD11,SAMD11,SAMD11,SAMD11,NOC2L,NOC2L,SAMD11,SAMD11,SAMD11,SAMD11,SSU72,SSU72,SAMD11,SAMD11,HES4,HES4,RERE,RERE,PRDM16,PRDM16,PRDM16,PRDM16,PRDM16,PRDM16,PRDM16,PRDM16,PRDM16,PRDM16,PRDM16,PRDM16,RERE,RERE,PRDM16,PRDM16,PRDM16,PRDM16,BTG3,BTG3,RBM11,RBM11,RBM11,RBM11,RBM11,RBM11,RBM11,RBM11,RBM11,RBM11,RBM11,RBM11,BTG3,BTG3,RBM11,RBM11,NRIP1,NRIP1
GNB1,GNB1,HES4,HES4,NOC2L,NOC2L,NOC2L,NOC2L,HES4,HES4,NOC2L,NOC2L,NOC2L,NOC2L,GNB1,GNB1,NOC2L,NOC2L,ISG15,ISG15,ENO1,ENO1,ZBTB48,ZBTB48,TP73,TP73,TP73,TP73,ZBTB48,ZBTB48,TP73,TP73,TP73,TP73,ENO1,ENO1,TP73,TP73,ZBTB48,ZBTB48,NCAM2,NCAM2,HSPA13,HSPA13,HSPA13,HSPA13,HSPA13,HSPA13,HSPA13,HSPA13,HSPA13,HSPA13,HSPA13,HSPA13,NCAM2,NCAM2,HSPA13,HSPA13,USP25,USP25
HES5,HES5,ISG15,ISG15,AL645608.7,AL645608.7,AL645608.7,AL645608.7,ISG15,ISG15,AL645608.7,AL645608.7,AL645608.7,AL645608.7,HES5,HES5,AL645608.7,AL645608.7,AGRN,AGRN,PRDM2,PRDM2,THAP3,THAP3,ZBTB48,ZBTB48,ZBTB48,ZBTB48,THAP3,THAP3,ZBTB48,ZBTB48,ZBTB48,ZBTB48,PRDM2,PRDM2,ZBTB48,ZBTB48,THAP3,THAP3,ATP5PF,ATP5PF,NRIP1,NRIP1,NRIP1,NRIP1,NRIP1,NRIP1,NRIP1,NRIP1,NRIP1,NRIP1,NRIP1,NRIP1,ATP5PF,ATP5PF,NRIP1,NRIP1,CXADR,CXADR
RPL22,RPL22,AGRN,AGRN,HES4,HES4,HES4,HES4,AGRN,AGRN,HES4,HES4,HES4,HES4,RPL22,RPL22,HES4,HES4,C1orf159,C1orf159,ARID1A,ARID1A,CAMTA1,CAMTA1,THAP3,THAP3,THAP3,THAP3,CAMTA1,CAMTA1,THAP3,THAP3,THAP3,THAP3,ARID1A,ARID1A,THAP3,THAP3,CAMTA1,CAMTA1,APP,APP,USP25,USP25,USP25,USP25,USP25,USP25,USP25,USP25,USP25,USP25,USP25,USP25,APP,APP,USP25,USP25,BTG3,BTG3
ACOT7,ACOT7,C1orf159,C1orf159,ISG15,ISG15,ISG15,ISG15,C1orf159,C1orf159,ISG15,ISG15,ISG15,ISG15,ACOT7,ACOT7,ISG15,ISG15,SDF4,SDF4,ZBTB8A,ZBTB8A,RERE,RERE,CAMTA1,CAMTA1,CAMTA1,CAMTA1,RERE,RERE,CAMTA1,CAMTA1,CAMTA1,CAMTA1,ZBTB8A,ZBTB8A,CAMTA1,CAMTA1,RERE,RERE,CCT8,CCT8,CXADR,CXADR,CXADR,CXADR,CXADR,CXADR,CXADR,CXADR,CXADR,CXADR,CXADR,CXADR,CCT8,CCT8,CXADR,CXADR,C21orf91,C21orf91
CAMTA1,CAMTA1,SDF4,SDF4,AGRN,AGRN,AGRN,AGRN,SDF4,SDF4,AGRN,AGRN,AGRN,AGRN,CAMTA1,CAMTA1,AGRN,AGRN,B3GALT6,B3GALT6,SFPQ,SFPQ,ENO1,ENO1,RERE,RERE,RERE,RERE,ENO1,ENO1,RERE,RERE,RERE,RERE,SFPQ,SFPQ,RERE,RERE,ENO1,ENO1,BACH1,BACH1,BTG3,BTG3,BTG3,BTG3,BTG3,BTG3,BTG3,BTG3,BTG3,BTG3,BTG3,BTG3,BACH1,BACH1,BTG3,BTG3,CHODL,CHODL
PARK7,PARK7,B3GALT6,B3GALT6,C1orf159,C1orf159,C1orf159,C1orf159,B3GALT6,B3GALT6,C1orf159,C1orf159,C1orf159,C1orf159,PARK7,PARK7,C1orf159,C1orf159,UBE2J2,UBE2J2,RLF,RLF,CASZ1,CASZ1,ENO1,ENO1,ENO1,ENO1,CASZ1,CASZ1,ENO1,ENO1,ENO1,ENO1,RLF,RLF,ENO1,ENO1,CASZ1,CASZ1,TIAM1,TIAM1,C21orf91,C21orf91,C21orf91,C21orf91,C21orf91,C21orf91,C21orf91,C21orf91,C21orf91,C21orf91,C21orf91,C21orf91,TIAM1,TIAM1,C21orf91,C21orf91,NCAM2,NCAM2
