ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0021871,forebrain regionalization,3/32,24/18903,8.706073153210438e-6,0.008227239129783863,0.006075922632187915,DMRTA2/EOMES/LHX1,3
GO:0021537,telencephalon development,5/32,255/18903,6.421583404994132e-5,0.016724083924117443,0.012350952538780133,DMRTA2/PROX1/ERBB4/EOMES/LHX1,5
GO:0045165,cell fate commitment,5/32,282/18903,1.0323601123811244e-4,0.016724083924117443,0.012350952538780133,DMRTA2/PROX1/ERBB4/EOMES/SOX5,5
GO:2000179,positive regulation of neural precursor cell proliferation,3/32,55/18903,1.0889558309597583e-4,0.016724083924117443,0.012350952538780133,DMRTA2/PROX1/LHX1,3
GO:0061351,neural precursor cell proliferation,4/32,149/18903,1.1228047690256478e-4,0.016724083924117443,0.012350952538780133,DMRTA2/PROX1/SOX5/LHX1,4
GO:0007389,pattern specification process,6/32,472/18903,1.2252442881538128e-4,0.016724083924117443,0.012350952538780133,RNF220/DMRTA2/ERBB4/EOMES/ZBTB16/LHX1,6
GO:0007405,neuroblast proliferation,3/32,67/18903,1.9611978707061048e-4,0.022475105686050136,0.016598156580174033,DMRTA2/PROX1/SOX5,3
GO:0009880,embryonic pattern specification,3/32,76/18903,2.848433921825757e-4,0.026917700561253404,0.019879070422847124,ERBB4/ZBTB16/LHX1,3
GO:0003002,regionalization,5/32,360/18903,3.213609458265499e-4,0.027607826709644515,0.020388737519904554,RNF220/DMRTA2/EOMES/ZBTB16/LHX1,5
GO:0030900,forebrain development,5/32,383/18903,4.268409657053016e-4,0.029510341576986742,0.021793769385176503,DMRTA2/PROX1/ERBB4/EOMES/LHX1,5
GO:2000177,regulation of neural precursor cell proliferation,3/32,90/18903,4.684181202696308e-4,0.029510341576986742,0.021793769385176503,DMRTA2/PROX1/LHX1,3
GO:0048863,stem cell differentiation,4/32,248/18903,7.789663796223021e-4,0.040430425270882746,0.029858392597711232,DMRTA2/ERBB4/EOMES/SOX5,4
