IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
LIMCH1,RND3,RNF220,ROBO2,AL031985.4,LINC02506,CDC20B,ASTN1,ID3,ACAP3,BCL11A,SUSD4,CHCHD2,AL162493.1,PKN2,SV2A,PLEKHA6,NRF1,CACHD1,AK5,,,DMRTA2,,ZMAT4,,ZNF558,,ID3,MLLT11,BCL11A,,ZNF558,,,THRA,ZNF558,NRF1,HMGA1,RC3H1,,PAXBP1,,CCT8,,APP,,APP,,HSPA13,,MRPL39,,APP,,CXADR,,SON,,HSPA13
CHCHD2,MGAT4C,DMRTA2,ADGRB3,ARHGAP25,AL162493.1,CHCHD2,AL162493.1,RPS8,PRKCZ,CCDC112,LINC02506,EIF5A,APP,BOD1,DNM3,GPR39,AL162493.1,GNG12-AS1,AL445433.2,,,PROX1,,LHX2,,,,DMRTA2,POGZ,TCF4,,,,,,,,ZNF16,SP9,,SON,,GART,,CRYZL1,,CRYZL1,,ATP5PF,,APP,,CRYZL1,,APP,,,,APP
CSMD1,PAXBP1,LINC02609,RABGAP1,PRKG2,APP,KHDRBS3,LRFN5,DMRTA2,DISP3,CHCHD2,AC008438.1,ZNF558,CRYZL1,CHCHD2,SST,CCDC148,RHBDF2,WLS,CELF3,,,ESRRG,,LHX1,,,,FEZF2,GATAD2B,,,,,,,,,LHX5,ZBTB20,,CRYZL1,,CRYZL1,,TTC3,,ITSN1,,LTN1,,CCT8,,GATD3A,,CRYZL1,,,,SYNJ1
RMST,SON,PROX1,SCAI,AC023886.1,CRYZL1,ADAMTSL1,APP,AL049637.2,MACO1,SIPA1L1,KIAA1217,WNT7B,GATD3A,RPL12,NREP,PKP4,UBE2S,COL24A1,DNM3,,,EOMES,,ZNF558,,,,HES1,SOX11,,,,,,,,,,DLX6,,TTC3,,HLCS,,RRP1B,,GATD3A,,CCT8,,RRP1B,,,,TTC3,,,,PAXBP1
GPC6,CRYZL1,ESRRG,LRRC4C,ITGA2,TTC3,AP000936.1,CRYZL1,ROR1,SH3BGRL3,TTR,PLCE1,,MCM3AP-AS1,RPS3,SLC35F1,CHCHD2,SON,FAM89A,RC3H1,,,NR2F1,,,,,,LEF1,SP3,,,,,,,,,,RUNX1T1,,DYRK1A,,TTC3,,,,,,BACH1,,POFUT2,,,,,,,,SON
,TTC3,KCNJ3,AL162493.1,FABP7,RRP1B,LHX5-AS1,ITSN1,CACHD1,GRIK3,TCF4,CNNM1,,,SYNE2,EXOC5,NAV2,UTY,TRIM67,ASTN1,,,ZBTB16,,,,,,NEUROG2,SP9,,,,,,,,,,RORB,,PDE9A,,GATD3A,,,,,,TIAM1,,,,,,,,,,CRYZL1
,DYRK1A,ERBB4,AC004158.1,CHCHD2,MCM3AP-AS1,EIF5A,GATD3A,COL24A1,MANEAL,MID1,AL162493.1,,,MYO1E,RTN1,CCND1,,RPS7,STX6,,,SOX5,,,,,,ID4,KLF7,,,,,,,,,,PKNOX1,,PRMT2,,LSS,,,,,,SYNJ1,,,,,,,,,,ITSN1
,PDE9A,EOMES,AP001347.1,ZMAT4,UTY,ZNF558,MCM3AP-AS1,RPL5,RIMKLA,,CHST9,,,RPL13,GNAO1,DYRK4,,RBMS1,NMNAT2,,,NPAS3,,,,,,PLAGL1,PBRM1,,,,,,,,,,,,,,,,,,,,PAXBP1,,,,,,,,,,MORC3
,PRMT2,DCBLD2,CCT8,LHX2,,,UTY,OLFM3,ELAVL4,,MRPL39,,,EIF5A,THRA,RMST,,HECW2,SERTAD4,,,LHX1,,,,,,E2F5,SOX4,,,,,,,,,,,,,,,,,,,,IFNAR2,,,,,,,,,,TTC3
,SH3BGRL,KCNMB2,GART,SEC16A,,,,AC007389.1,FAF1,,APP,,,RPL17,MAPT,TMEM132D,,EEF1B2,ALK,,,ZNF558,,,,,,LHX2,DLX6,,,,,,,,,,,,,,,,,,,,IFNAR1,,,,,,,,,,DYRK1A
,,KCNMB2-AS1,CRYZL1,VIM,,,,C2orf81,TTLL7,,AP001442.1,,,FBL,CELF5,DLK1,,OCIAD2,NRXN1,,,,,,,,,EMX2,ST18,,,,,,,,,,,,,,,,,,,,DONSON,,,,,,,,,,BRWD1
,,LIMCH1,HLCS,AC104009.1,,,,WDR54,WDR47,,CCT8,,,MID1,CXADR,RHBDL3,,AMBN,REEP1,,,,,,,,,LHX5,ZNF704,,,,,,,,,,,,,,,,,,,,CRYZL1,,,,,,,,,,GET1
,,NMU,TTC3,SLC17A6,,,,LYPD6B,VPS45,,RRP1B,,,,APP,ZNF558,,UNC5C,SH3RF3,,,,,,,,,ZFP36L1,RUNX1T1,,,,,,,,,,,,,,,,,,,,ITSN1,,,,,,,,,,PDE9A
,,UNC5C,GATD3A,LHX5-AS1,,,,SSB,MLLT11,,POFUT2,,,,CRYZL1,,,AC109927.1,KCNH7,,,,,,,,,ZNF423,SCRT1,,,,,,,,,,,,,,,,,,,,RCAN1,,,,,,,,,,PKNOX1
,,GTF2H2,LSS,PCDH9,,,,ACKR3,POGZ,,,,,,TTC3,,,HMGA1,AC011900.1,,,,,,,,,ZNF558,FOXN3,,,,,,,,,,,,,,,,,,,,DOP1B,,,,,,,,,,GATD3A
,,AC093298.2,MCM3AP-AS1,AL627171.2,,,,SRGAP3,CELF3,,,,,,TMEM35A,,,RPL7L1,AC019197.1,,,,,,,,,,RARA,,,,,,,,,,,,,,,,,,,,MORC3,,,,,,,,,,MCM3AP
