ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,63/264,161/18903,6.940093635639744e-76,2.1944576075892872e-72,2.033082167156359e-72,RPL22/RPL11/EIF3I/RPS8/RPL5/RPS7/RPS27A/RPL32/RPL15/RPSA/RPL14/RPL29/RPL24/RPL9/RPS3A/RPS23/RPS14/RACK1/RPS18/RPL10A/RPS12/RPL7/RPL30/PABPC1/EIF3E/RPL8/RPS6/RPL35/RPL12/RPL7A/RPS24/RPS3/RPS25/RPL6/RPLP0/RPL21/RPS29/RPLP1/PKM/RPS2/RPS15A/RPL13/RPL26/RPL19/RPL27/RPL17/RPS15/RPL36/RPS28/RPL18A/RPS16/RPS19/RPL18/RPS11/RPS9/RPL28/RPS5/RPS21/EIF3L/RPL3/RPL36A/RPL39/RPL10,63
GO:0042254,ribosome biogenesis,39/264,310/18903,5.976964900076561e-26,9.449581507021043e-23,8.754680693112143e-23,RPL11/RPS8/RPL5/RPS7/RPSA/RPL14/RPL24/MRPL36/RPS14/NPM1/RPL10A/RPL7L1/RPL7/BOP1/RPS6/RPL35/RPL7A/RPS24/RPS25/PA2G4/RPL6/RPLP0/RAN/RPS27L/NIP7/C1QBP/RPL26/RPL27/MRPS7/RPS15/RPS28/RPS16/FBL/RPS19/NOP53/RPS5/RPS21/RRP7A/RPL10,39
GO:0022613,ribonucleoprotein complex biogenesis,45/264,489/18903,4.267799323078488e-24,4.498260486524726e-21,4.167468602149976e-21,RPL11/EIF3I/RPS8/RPL5/RPS7/RPSA/RPL14/RPL24/MRPL36/RPS14/NPM1/RPL10A/RPL7L1/RPL7/EIF3E/BOP1/RPS6/RPL35/RPL7A/RPS24/RPS25/PA2G4/SNRPF/RPL6/RPLP0/RAN/RPS27L/NIP7/C1QBP/RPL26/RPL27/MRPS7/RPS15/RPS28/LSM4/RPS16/FBL/RPS19/NOP53/RPS5/SNRPB/RPS21/EIF3L/RRP7A/RPL10,45
GO:0042255,ribosome assembly,20/264,61/18903,1.4442566995820497e-22,1.1416849210196102e-19,1.0577279986675906e-19,RPL11/RPL5/RPSA/RPL24/RPS14/NPM1/BOP1/RPL6/RPLP0/RPS27L/NIP7/C1QBP/MRPS7/RPS15/RPS28/RPS19/NOP53/RPS5/RRP7A/RPL10,20
GO:0006364,rRNA processing,26/264,229/18903,1.8012974596218772e-16,1.139140513464875e-13,1.0553707010795124e-13,RPL11/RPS8/RPL5/RPS7/RPL14/RPS14/RPL10A/RPL7L1/RPL7/BOP1/RPS6/RPL35/RPL7A/RPS24/RPS25/PA2G4/RPL26/RPL27/RPS15/RPS28/RPS16/FBL/RPS19/NOP53/RPS21/RRP7A,26
GO:0042273,ribosomal large subunit biogenesis,17/264,76/18903,3.19594034013197e-16,1.6842605592495481e-13,1.5604038537872408e-13,RPL11/RPL5/RPL14/RPL24/NPM1/RPL10A/RPL7L1/RPL7/BOP1/RPL35/RPL7A/RPL6/RPLP0/NIP7/RPL26/NOP53/RPL10,17
GO:0042274,ribosomal small subunit biogenesis,17/264,78/18903,5.115652318386214e-16,2.3108132329624585e-13,2.1408812634689977e-13,RPS8/RPS7/RPSA/RPS14/NPM1/RPS6/RPS24/RPS25/RPS27L/MRPS7/RPS15/RPS28/RPS16/RPS19/RPS5/RPS21/RRP7A,17
GO:0016072,rRNA metabolic process,27/264,268/18903,9.575703019320135e-16,3.7847966183862833e-13,3.506471250364202e-13,RPL11/RPS8/RPL5/RPS7/NCL/RPL14/RPS14/RPL10A/RPL7L1/RPL7/BOP1/RPS6/RPL35/RPL7A/RPS24/RPS25/PA2G4/RPL26/RPL27/RPS15/RPS28/RPS16/FBL/RPS19/NOP53/RPS21/RRP7A,27
GO:0022618,ribonucleoprotein complex assembly,23/264,234/18903,2.381472651878144e-13,8.366907250265212e-11,7.751623848160087e-11,RPL11/EIF3I/RPL5/RPSA/RPL24/RPS14/EIF3E/BOP1/SNRPF/RPL6/RPLP0/RPS27L/MRPS7/RPS15/RPS28/LSM4/RPS19/NOP53/RPS5/SNRPB/EIF3L/RRP7A/RPL10,23
GO:0071826,ribonucleoprotein complex subunit organization,23/264,242/18903,4.855118186662133e-13,1.5351883706225663e-10,1.422294096155865e-10,RPL11/EIF3I/RPL5/RPSA/RPL24/RPS14/EIF3E/BOP1/SNRPF/RPL6/RPLP0/RPS27L/MRPS7/RPS15/RPS28/LSM4/RPS19/NOP53/RPS5/SNRPB/EIF3L/RRP7A/RPL10,23
