cluster,N_genes
IN_1_DS_down,54
IN_1_DS_up,90
IN_2_DS_down,332
IN_2_DS_up,306
IN_DS_down,372
IN_DS_up,202
IPC_DS_down,171
IPC_DS_up,232
MGE_DS_down,531
MGE_DS_up,803
nEN_1_DS_down,290
nEN_1_DS_up,412
nEN_DS_down,180
nEN_DS_up,152
nIN_1_DS_down,183
nIN_1_DS_up,142
nIN_DS_down,337
nIN_DS_up,182
RG_DS_down,302
RG_DS_up,589
IN_1_DS_down_TFs,3
IN_1_DS_up_TFs,15
IN_2_DS_down_TFs,49
IN_2_DS_up_TFs,23
IN_DS_down_TFs,52
IN_DS_up_TFs,13
IPC_DS_down_TFs,14
IPC_DS_up_TFs,17
MGE_DS_down_TFs,53
MGE_DS_up_TFs,73
nEN_1_DS_down_TFs,32
nEN_1_DS_up_TFs,25
nEN_DS_down_TFs,22
nEN_DS_up_TFs,19
nIN_1_DS_down_TFs,16
nIN_1_DS_up_TFs,12
nIN_DS_down_TFs,20
nIN_DS_up_TFs,17
RG_DS_down_TFs,19
RG_DS_up_TFs,54
IN_1_DS_down_HSA21,0
IN_1_DS_up_HSA21,24
IN_2_DS_down_HSA21,0
IN_2_DS_up_HSA21,48
IN_DS_down_HSA21,3
IN_DS_up_HSA21,35
IPC_DS_down_HSA21,0
IPC_DS_up_HSA21,45
MGE_DS_down_HSA21,1
MGE_DS_up_HSA21,53
nEN_1_DS_down_HSA21,0
nEN_1_DS_up_HSA21,49
nEN_DS_down_HSA21,1
nEN_DS_up_HSA21,49
nIN_1_DS_down_HSA21,0
nIN_1_DS_up_HSA21,17
nIN_DS_down_HSA21,1
nIN_DS_up_HSA21,33
RG_DS_down_HSA21,1
RG_DS_up_HSA21,47
