ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,52/500,161/18903,3.151245399215647e-42,1.413018437008296e-38,1.2044391625844228e-38,RPL22/RPL11/RPS8/RPL5/RPS7/RPS27A/RPL32/RPL14/RPL29/RPL24/RPL9/RPS3A/RPS23/RPS14/RPS18/RPS12/EIF3B/RPL30/RPL8/RPS6/RPL35/RPL12/RPL7A/RPS24/RPS13/FAU/RPS3/YBX3/RPL41/RPL6/RPL21/EIF5/RPLP1/RPS2/RPS15A/RPL13/RPL26/RPL27/RPL17/RPS15/RPL36/RPL18A/UBA52/RPS16/RPS19/RPL18/RPS11/RPS9/RPS5/RPL3/RPL39/RPL10,52
GO:0042254,ribosome biogenesis,30/500,310/18903,1.022801826646372e-9,2.2931216953411664e-6,1.9546281223963043e-6,RPL11/RPS8/RPL5/RPS7/NOP58/RPL14/RPL24/NUDT16/TMA16/RPS14/RCL1/RPS6/RPL35/RPL7A/RPS24/TRMT112/NOP2/RPL6/RSL24D1/RPL26/RPL27/EIF4A3/RPS15/MPV17L2/RPS16/RPS19/RPS5/RRP7A/DDX3X/RPL10,30
GO:0042255,ribosome assembly,13/500,61/18903,5.4749023432291186e-9,8.18315403567979e-6,6.975217687110503e-6,RPL11/RPL5/RPL24/RPS14/NOP2/RPL6/RPS15/MPV17L2/RPS19/RPS5/RRP7A/DDX3X/RPL10,13
GO:0021871,forebrain regionalization,8/500,24/18903,1.1478166474330234e-7,1.1422840659940782e-4,9.736685862304563e-5,DMRTA2/EOMES/FEZF2/GLI3/LHX2/EMX2/LHX1/WNT7B,8
GO:0030900,forebrain development,30/500,383/18903,1.2898137546293254e-7,1.1422840659940782e-4,9.736685862304563e-5,DMRTA2/NHLH2/ID2/TBR1/NEUROD1/EOMES/RHOA/FEZF2/ZIC1/HES1/EPHA5/LEF1/SEMA5A/ID4/UNCX/GLI3/SEMA3E/RELN/LPAR1/LHX2/EMX2/SLC38A2/LHX5/OTX2/SYNE2/LHX1/NOTCH3/E2F1/WNT7B/SOX3,30
GO:0140694,non-membrane-bounded organelle assembly,30/500,386/18903,1.5284800169412285e-7,1.1422840659940782e-4,9.736685862304563e-5,RPL11/RPL5/KIF15/LIMD1/RHOA/RPL24/G3BP2/RPS23/RPS14/G3BP1/HSPA1A/HSPA1B/EZR/ITGB1/KIF11/RPS3/NOP2/RPL6/EIF2S1/KPNB1/CENPX/RPS15/MPV17L2/RPS19/RPS5/RRP7A/DDX3X/MSN/FLNA/RPL10,30
GO:0006364,rRNA processing,22/500,229/18903,2.0216690570006504e-7,1.2950234359415596e-4,1.1038617061608064e-4,RPL11/RPS8/RPL5/RPS7/NOP58/RPL14/NUDT16/RPS14/RCL1/RPS6/RPL35/RPL7A/RPS24/TRMT112/NOP2/RPL26/RPL27/EIF4A3/RPS15/RPS16/RPS19/RRP7A,22
GO:0022613,ribonucleoprotein complex biogenesis,34/500,489/18903,3.2096407517135227e-7,1.6421123042233067e-4,1.3997158966699909e-4,RPL11/RPS8/RPL5/RPS7/DDX1/NOP58/RPL14/RPL24/NUDT16/TMA16/RPS14/EIF3B/RCL1/RPS6/RPL35/RPL7A/RPS24/TRMT112/NOP2/STRAP/RPL6/EIF5/RSL24D1/RPL26/RPL27/EIF4A3/RPS15/MPV17L2/RPS16/RPS19/RPS5/RRP7A/DDX3X/RPL10,34
GO:0060711,labyrinthine layer development,10/500,47/18903,3.2959435187354506e-7,1.6421123042233067e-4,1.3997158966699909e-4,CCN1/FZD5/HES1/LEF1/HEY2/RSPO3/ZFP36L1/JUNB/BMP7/WNT7B,10
GO:0042273,ribosomal large subunit biogenesis,12/500,76/18903,6.857444869476833e-7,3.0748782794734117e-4,2.6209876127442506e-4,RPL11/RPL5/RPL14/RPL24/TMA16/RPL35/RPL7A/NOP2/RPL6/RSL24D1/RPL26/RPL10,12
