ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0051932,"synaptic transmission, GABAergic",8/297,57/18903,2.863486957131693e-6,0.005792585999073806,0.005459689864837268,GABRB2/TPBG/CNR1/PHF24/GABBR2/NALCN/GABRB3/GABRG3,8
GO:0050808,synapse organization,21/297,432/18903,5.2186224908096936e-6,0.005792585999073806,0.005459689864837268,NOS1AP/DNM3/ZNF804A/CAMKV/SNCA/GPM6A/MEF2C/GABRB2/TPBG/LRRC4C/NRXN2/SHANK2/KIRREL3/PTPRO/PPFIA2/SIPA1L1/GABRB3/APP/DSCAM/DIP2A/SEZ6L,21
GO:0016358,dendrite development,15/297,237/18903,5.508005704349102e-6,0.005792585999073806,0.005459689864837268,DNM3/CAMSAP2/MEF2C/CAMK2A/TPBG/RTN4IP1/COBL/CPEB3/PPFIA2/KLHL1/SIPA1L1/ANKRD27/APP/DSCAM/DIP2A,15
GO:0009165,nucleotide biosynthetic process,16/297,304/18903,2.709964878924233e-5,0.01579142398416383,0.014883901161151996,HPCA/NDUFS2/MPC2/NME7/NMNAT2/KMO/NME9/SNCA/GUCY1A1/NME5/NUDT2/NOS1/ATP5PF/GART/NDUFV3/DIP2A,16
GO:1901293,nucleoside phosphate biosynthetic process,16/297,306/18903,2.9341878830278237e-5,0.01579142398416383,0.014883901161151996,HPCA/NDUFS2/MPC2/NME7/NMNAT2/KMO/NME9/SNCA/GUCY1A1/NME5/NUDT2/NOS1/ATP5PF/GART/NDUFV3/DIP2A,16
GO:0006164,purine nucleotide biosynthetic process,14/297,242/18903,3.090324292059882e-5,0.01579142398416383,0.014883901161151996,HPCA/NDUFS2/MPC2/NME7/NME9/SNCA/GUCY1A1/NME5/NUDT2/NOS1/ATP5PF/GART/NDUFV3/DIP2A,14
GO:0007416,synapse assembly,12/297,184/18903,3.575240545551925e-5,0.01579142398416383,0.014883901161151996,DNM3/SNCA/GPM6A/MEF2C/GABRB2/TPBG/NRXN2/SHANK2/KIRREL3/GABRB3/APP/DSCAM,12
GO:0050890,cognition,16/297,314/18903,4.004164560168324e-5,0.01579142398416383,0.014883901161151996,KCNK2/CHMP2B/MEF2C/GRIA1/TPBG/CNR1/CPEB3/NRXN2/SHANK2/JPH4/THRA/PAK5/APP/SYNJ1/RCAN1/DOP1B,16
GO:0072522,purine-containing compound biosynthetic process,14/297,251/18903,4.607147592327368e-5,0.016150611837547606,0.015222446723186917,HPCA/NDUFS2/MPC2/NME7/NME9/SNCA/GUCY1A1/NME5/NUDT2/NOS1/ATP5PF/GART/NDUFV3/DIP2A,14
GO:0034329,cell junction assembly,19/297,430/18903,5.432789108760712e-5,0.017140449638140046,0.016155399191841065,PATJ/DNM3/SNCA/GPM6A/MEF2C/GABRB2/DST/TPBG/DLC1/NRXN2/SHANK2/THY1/KIRREL3/PTPRO/GABRB3/PEAK1/CDH7/APP/DSCAM,19
