ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,64/699,161/18903,2.9612640575512633e-49,1.3453022613455389e-45,1.2749021047773333e-45,RPL22/RPL11/EIF3I/RPS8/RPL5/EIF2D/RPS7/RPS27A/RPL32/RPL15/RPSA/RPL14/RPL29/RPL22L1/NCBP2/RPL9/RPS3A/RPL37/RPS23/RPS14/RACK1/RPS18/RPL10A/RPS12/EIF3B/RPL7/RPL30/PABPC1/EIF3E/RPL8/RPS6/RPL35/RPL12/RPL7A/RPS24/RPS3/RPS25/RPL41/RPL6/RPLP0/EIF3J/RPLP1/PKM/RPS2/RPS15A/RPL13/RPL26/RPL19/RPL17/RPS15/RPL36/RPS28/EIF3G/RPL18A/RPS19/RPL18/RPL13A/RPS9/RPL28/RPS5/EIF3L/RPL3/RPL36A/RPL39,64
GO:0042254,ribosome biogenesis,49/699,310/18903,5.5656078944551654e-18,1.2642278332254909e-14,1.1980703309642963e-14,RPL11/ERI3/RPS8/RPL5/RPS7/WDR43/NIFK/METTL5/RPSA/RPL14/EXOSC7/NUDT16/LYAR/GAR1/MRPL36/RPS14/NPM1/RPL10A/RPL7L1/LTV1/GTF2H5/PINX1/RPL7/DCAF13/RPS6/ZNF658/RPL35/RPL7A/MRPS2/RPS24/DDX10/RPS25/RPL6/DDX54/RPLP0/CUL4A/RPS27L/TBL3/RSL1D1/NIP7/NOB1/RPL26/RPS15/RPS28/FBL/RPS19/NOP53/RPS5/ESF1,49
GO:0022613,ribonucleoprotein complex biogenesis,60/699,489/18903,2.546603316510355e-16,3.8564062889688474e-13,3.6545991454481934e-13,RPL11/EIF3I/ERI3/RPS8/RPL5/EIF2D/RPS7/WDR43/NIFK/METTL5/RPSA/RPL14/EXOSC7/NUDT16/LYAR/GAR1/MRPL36/RPS14/NPM1/RPL10A/RPL7L1/LTV1/GTF2H5/EIF3B/PINX1/RPL7/DCAF13/EIF3E/PUF60/RPS6/ZNF658/RPL35/RPL7A/MRPS2/RPS24/DDX10/RPS25/RPL6/DDX54/RPLP0/CUL4A/PRMT5/EIF3J/RPS27L/TBL3/RSL1D1/NIP7/NOB1/RPL26/RPS15/RPS28/EIF3G/FBL/RPS19/NOP53/RUVBL2/RPL13A/RPS5/ESF1/EIF3L,60
GO:0006364,rRNA processing,36/699,229/18903,1.8271888841682635e-13,2.0752297751941054e-10,1.966632246381105e-10,RPL11/ERI3/RPS8/RPL5/RPS7/WDR43/NIFK/METTL5/RPL14/EXOSC7/NUDT16/LYAR/GAR1/RPS14/RPL10A/RPL7L1/GTF2H5/RPL7/DCAF13/RPS6/RPL35/RPL7A/RPS24/DDX10/RPS25/DDX54/TBL3/RSL1D1/NOB1/RPL26/RPS15/RPS28/FBL/RPS19/NOP53/ESF1,36
GO:0016072,rRNA metabolic process,36/699,268/18903,2.096197029246497e-11,1.9046046207733674e-8,1.8049359683406683e-8,RPL11/ERI3/RPS8/RPL5/RPS7/WDR43/NIFK/METTL5/RPL14/EXOSC7/NUDT16/LYAR/GAR1/RPS14/RPL10A/RPL7L1/GTF2H5/RPL7/DCAF13/RPS6/RPL35/RPL7A/RPS24/DDX10/RPS25/DDX54/TBL3/RSL1D1/NOB1/RPL26/RPS15/RPS28/FBL/RPS19/NOP53/ESF1,36
GO:0042274,ribosomal small subunit biogenesis,19/699,78/18903,4.206178845070637e-11,3.184778415525984e-8,3.018117802866475e-8,RPS8/RPS7/WDR43/RPSA/RPS14/NPM1/LTV1/GTF2H5/DCAF13/RPS6/RPS24/RPS25/RPS27L/TBL3/NOB1/RPS15/RPS28/RPS19/RPS5,19
GO:0034470,ncRNA processing,46/699,439/18903,2.0925203254753102e-10,1.3580456912334763e-7,1.2869786663449652e-7,RPL11/ERI3/RPS8/RPL5/RPS7/MYCN/WDR43/NIFK/SSB/METTL5/RPL14/EXOSC7/DALRD3/QTRT2/NUDT16/NCBP2/LYAR/GAR1/RPS14/THG1L/RPL10A/RPL7L1/GTF2H5/TRMT9B/RPL7/DCAF13/RPS6/RPP25L/RPL35/RPL7A/TRDMT1/RPS24/DDX10/RPS25/DDX54/TBL3/RSL1D1/NOB1/RPL26/RPS15/RPS28/FBL/RPS19/NOP53/ESF1/TP53RK,46
GO:0007224,smoothened signaling pathway,24/699,144/18903,5.902672330271055e-10,3.0867561344944384e-7,2.925225063448047e-7,STK36/ARMC9/TGFBR2/IFT57/BOC/HES1/WDR19/INTU/RACK1/GLI3/SFRP1/GAS1/SSNA1/TCTN3/DYNC2H1/DYRK2/RFX4/TCTN1/CLUAP1/RPGRIP1L/B9D1/MKS1/SCUBE1/GPC3,24
GO:0044782,cilium organization,42/699,391/18903,6.11507928911511e-10,3.0867561344944384e-7,2.925225063448047e-7,TEKT2/SSX2IP/ODF2L/WDR35/DYNC2LI1/DNAH7/SPAG16/STK36/ARMC9/IFT57/WDR19/ALPK1/INTU/NEDD9/RSPH9/CFAP206/TMEM67/IFT74/KIF27/SSNA1/TCTN3/YAP1/DYNC2H1/CEP83/CFAP54/RFX4/TCTN1/PIBF1/ABCC4/IFT43/TTC8/DNAAF4/CLUAP1/RPGRIP1L/CCDC113/HYDIN/DNAH2/B9D1/MKS1/TTC39C/DNM2/B9D2,42
GO:0060271,cilium assembly,40/699,362/18903,6.864146653028937e-10,3.1183818244710464e-7,2.955195769567195e-7,TEKT2/SSX2IP/ODF2L/WDR35/DYNC2LI1/DNAH7/SPAG16/STK36/ARMC9/IFT57/WDR19/ALPK1/INTU/RSPH9/CFAP206/TMEM67/IFT74/KIF27/TCTN3/YAP1/DYNC2H1/CEP83/CFAP54/RFX4/TCTN1/PIBF1/ABCC4/IFT43/TTC8/DNAAF4/CLUAP1/RPGRIP1L/CCDC113/HYDIN/DNAH2/B9D1/MKS1/TTC39C/DNM2/B9D2,40
