ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0061564,axon development,74/970,490/18903,4.412029183397039e-17,2.1098323555004639e-13,1.9292178134559262e-13,DRAXIN/EPHB2/STMN1/EPHA10/USP33/NEXN/SEMA6C/CAMSAP2/NFASC/CNTN2/PLXNA2/VASH2/DPYSL5/NRXN1/CTNNA2/KIF5C/BMPR2/KLF7/MAP2/CDK5R2/EPHA4/CNTN4/WNT7A/TOP2B/ROBO2/EPHA3/GAP43/KALRN/CRMP1/NREP/DLX5/PLXNA4/DPYSL2/TNC/OLFM1/LGI1/SHTN1/VAX1/BRSK2/LRRC4C/DSCAML1/FEZ1/C12orf57/PTPRO/DIP2B/KIF5A/DCLK1/MYCBP2/SLITRK1/ATL1/NRXN3/FLRT2/BCL11B/MAP1A/SEMA6D/ISLR2/MAPK8IP3/TUBB3/CDK5R1/MAPT/PTPRS/APLP1/NUMBL/NOVA2/BRSK1/VSTM2L/APP/TIAM1/KREMEN1/ARX/OPHN1/SLC9A6/L1CAM/GDI1,74
GO:0007409,axonogenesis,68/970,438/18903,2.0814213747254752e-16,4.976678506968611e-13,4.550644416110328e-13,DRAXIN/EPHB2/STMN1/EPHA10/USP33/NEXN/SEMA6C/NFASC/CNTN2/PLXNA2/DPYSL5/NRXN1/CTNNA2/KIF5C/BMPR2/KLF7/MAP2/CDK5R2/EPHA4/CNTN4/WNT7A/TOP2B/ROBO2/EPHA3/GAP43/KALRN/CRMP1/DLX5/PLXNA4/DPYSL2/OLFM1/LGI1/SHTN1/VAX1/BRSK2/LRRC4C/DSCAML1/FEZ1/C12orf57/PTPRO/DIP2B/KIF5A/DCLK1/MYCBP2/SLITRK1/ATL1/NRXN3/FLRT2/BCL11B/MAP1A/SEMA6D/ISLR2/TUBB3/CDK5R1/MAPT/PTPRS/APLP1/NUMBL/NOVA2/BRSK1/VSTM2L/APP/TIAM1/ARX/OPHN1/SLC9A6/L1CAM/GDI1,68
GO:0050804,modulation of chemical synaptic transmission,68/970,448/18903,6.732453172624177e-16,9.030970005674985e-13,8.257863788235243e-13,PRKCZ/EPHB2/DLGAP3/GRIK3/RIMS3/ELAVL4/SNAPIN/SYT11/ATP1A2/CNTN2/NRXN1/PLCL1/EPHA4/CNTN4/SLC6A1/WNT7A/ERC2/TMEM108/PFN2/CPLX1/NSG1/PPP3CA/GRIA1/CPLX2/SCGN/AKAP12/DGKI/DLGAP2/LZTS1/RNF19A/RIMS2/APBA1/EIF4EBP2/CPEB3/LGI1/NEURL1/SORCS3/LRRC4C/SHANK2/KMT2A/ASIC1/BEGAIN/MAP1A/UNC13C/SHISA9/STX1B/CNTNAP4/JPH3/FBXL20/RARA/MAPT/CACNG4/CELF4/UNC13A/PRKCG/CACNG7/CACNG8/BRSK1/SNAP25/DLGAP4/APP/CACNG2/MAPK8IP2/CASK/SYN1/SYP/OPHN1/MECP2,68
GO:0099177,regulation of trans-synaptic signaling,68/970,449/18903,7.554136349372635e-16,9.030970005674985e-13,8.257863788235243e-13,PRKCZ/EPHB2/DLGAP3/GRIK3/RIMS3/ELAVL4/SNAPIN/SYT11/ATP1A2/CNTN2/NRXN1/PLCL1/EPHA4/CNTN4/SLC6A1/WNT7A/ERC2/TMEM108/PFN2/CPLX1/NSG1/PPP3CA/GRIA1/CPLX2/SCGN/AKAP12/DGKI/DLGAP2/LZTS1/RNF19A/RIMS2/APBA1/EIF4EBP2/CPEB3/LGI1/NEURL1/SORCS3/LRRC4C/SHANK2/KMT2A/ASIC1/BEGAIN/MAP1A/UNC13C/SHISA9/STX1B/CNTNAP4/JPH3/FBXL20/RARA/MAPT/CACNG4/CELF4/UNC13A/PRKCG/CACNG7/CACNG8/BRSK1/SNAP25/DLGAP4/APP/CACNG2/MAPK8IP2/CASK/SYN1/SYP/OPHN1/MECP2,68
GO:0050808,synapse organization,64/970,432/18903,1.6004121846746674e-14,1.4824469136280185e-11,1.3555403991306854e-11,EPHB2/DLGAP3/SNAPIN/DNM3/NFASC/CNTN2/NRXN1/CTNNA2/EPHA4/DNER/LHFPL4/SLC6A1/WNT7A/BSN/CAMKV/ERC2/PDZRN3/ROBO2/GAP43/TMEM108/PFN2/CTNND2/PCDHB2/GABRB2/MAPK14/LRRN3/TNC/INA/NEURL1/LRRC4C/NRXN2/CFL1/SHANK2/KIRREL3/PTPRO/CACNB3/MYCBP2/SLITRK1/LRFN5/GPHN/FLRT2/GABRB3/UNC13C/ST8SIA2/SEZ6L2/SEZ6/CDK5R1/ASIC2/SRCIN1/CACNB1/MAPT/PALM/PTPRS/INSR/UNC13A/SYNDIG1/APP/DIP2A/CACNG2/SYN1/ZC4H2/OPHN1/L1CAM/MECP2,64
GO:0097485,neuron projection guidance,45/970,237/18903,1.8600337686675265e-14,1.4824469136280185e-11,1.3555403991306854e-11,DRAXIN/EPHB2/EPHA10/USP33/NEXN/SEMA6C/NFASC/CNTN2/PLXNA2/DPYSL5/NRXN1/KIF5C/BMPR2/KLF7/CDK5R2/EPHA4/CNTN4/ROBO2/EPHA3/GAP43/KALRN/CRMP1/DLX5/PLXNA4/DPYSL2/LGI1/VAX1/DPYSL4/DSCAML1/FEZ1/PTPRO/KIF5A/MYCBP2/NRXN3/FLRT2/BCL11B/SEMA6D/TUBB3/CDK5R1/NOVA2/VSTM2L/APP/ARX/OPHN1/L1CAM,45
GO:0007411,axon guidance,44/970,236/18903,7.164842556868767e-14,4.8946110152780634e-11,4.4756024031929115e-11,DRAXIN/EPHB2/EPHA10/USP33/NEXN/SEMA6C/NFASC/CNTN2/PLXNA2/DPYSL5/NRXN1/KIF5C/BMPR2/KLF7/CDK5R2/EPHA4/CNTN4/ROBO2/EPHA3/GAP43/KALRN/CRMP1/DLX5/PLXNA4/DPYSL2/LGI1/VAX1/DSCAML1/FEZ1/PTPRO/KIF5A/MYCBP2/NRXN3/FLRT2/BCL11B/SEMA6D/TUBB3/CDK5R1/NOVA2/VSTM2L/APP/ARX/OPHN1/L1CAM,44
GO:0099504,synaptic vesicle cycle,39/970,192/18903,1.0904337503509166e-13,6.518067742722604e-11,5.960081314418036e-11,RIMS3/DNAJC6/SV2A/SNAPIN/VAMP4/DNM3/SYT2/SYN2/WNT7A/BSN/ERC2/CADPS/PFN2/CPLX1/CPLX2/SNAP91/RIMS2/APBA1/BRSK2/STX2/UNC13C/AP3B2/SH3GL3/STX1B/CDK5R1/FBXL20/UNC13A/PRKCG/BRSK1/SNAP25/SYNDIG1/SLC32A1/DNAJC5/SYNJ1/ITSN1/CASK/SYN1/SYP/OPHN1,39
GO:0010975,regulation of neuron projection development,63/970,446/18903,2.373861228590792e-13,1.2613115994579075e-10,1.1533356191305439e-10,ACAP3/DRAXIN/EPHB2/ELAVL4/SEMA6C/SNAPIN/DNM3/CAMSAP2/CNTN2/PLXNA2/MARK1/TRIM67/KIDINS220/DPYSL5/ALK/CCDC88A/CTNNA2/BMPR2/MAP2/EPHA4/WNT7A/ROBO2/EPHA3/TNIK/CRMP1/SCARB2/PPP3CA/DPYSL3/FIG4/HECW1/PLXNA4/PRAG1/LZTS1/STMN2/CAMK1D/SHTN1/BRSK2/LRRC4C/CFL1/FEZ1/PTPRO/DIP2B/MYCBP2/SLITRK1/AKT1/SEMA6D/PARP6/ISLR2/STX1B/SARM1/SEZ6/CDK5R1/SRCIN1/MAPT/NEDD4L/PTPRS/NOVA2/BRSK1/SNAP25/TIAM1/KREMEN1/L1CAM/GDI1,63
GO:0099003,vesicle-mediated transport in synapse,40/970,212/18903,6.607517254515933e-13,3.159714751109519e-10,2.889223860553599e-10,RIMS3/DNAJC6/SV2A/SNAPIN/VAMP4/DNM3/SYT2/SYN2/WNT7A/BSN/ERC2/CADPS/PFN2/CPLX1/NSG1/CPLX2/SNAP91/RIMS2/APBA1/BRSK2/STX2/UNC13C/AP3B2/SH3GL3/STX1B/CDK5R1/FBXL20/UNC13A/PRKCG/BRSK1/SNAP25/SYNDIG1/SLC32A1/DNAJC5/SYNJ1/ITSN1/CASK/SYN1/SYP/OPHN1,40
