ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0061564,axon development,65/702,490/18903,2.9067699640914718e-19,1.307465129848344e-15,1.1920816610631975e-15,EPHB2/EPHA10/MACF1/NEXN/PLPPR4/LRIG2/TSPAN2/NOTCH2/TRIM46/CAMSAP2/PLXNA2/NRXN1/CTNNA2/BMPR2/RAPH1/KLF7/MAP2/CNTN4/EPHA3/GAP43/SEMA5B/EPHB1/TRIO/CNR1/SEMA3C/SEMA3A/DLX5/PTN/DPYSL2/UNC5D/JAK2/NTRK2/PTCH1/TNC/ANK3/SHTN1/VAX1/LRRC4C/DSCAML1/CNTN1/DIP2B/KIF5A/DCLK1/MYCBP2/SLITRK1/ATL1/NUMB/NRXN3/FLRT2/ISLR2/MAPK8IP3/CDH11/NTN1/CDK5R1/MAPT/RNF165/RAB3A/NOVA2/BRSK1/NCAM2/APP/DSCAM/OPHN1/SLC9A6/L1CAM,65
GO:0007409,axonogenesis,56/702,438/18903,5.175337038958527e-16,1.1639333000617727e-12,1.0612164791464433e-12,EPHB2/EPHA10/MACF1/NEXN/PLPPR4/NOTCH2/TRIM46/PLXNA2/NRXN1/CTNNA2/BMPR2/RAPH1/KLF7/MAP2/CNTN4/EPHA3/GAP43/SEMA5B/EPHB1/TRIO/SEMA3C/SEMA3A/DLX5/DPYSL2/UNC5D/NTRK2/PTCH1/ANK3/SHTN1/VAX1/LRRC4C/DSCAML1/CNTN1/DIP2B/KIF5A/DCLK1/MYCBP2/SLITRK1/ATL1/NUMB/NRXN3/FLRT2/ISLR2/CDH11/NTN1/CDK5R1/MAPT/RNF165/RAB3A/NOVA2/BRSK1/APP/DSCAM/OPHN1/SLC9A6/L1CAM,56
GO:0010975,regulation of neuron projection development,52/702,446/18903,2.5198273844395956e-13,3.7780611917364336e-10,3.4446482420269e-10,EPHB2/MACF1/LRIG2/TRIM46/DNM3/ABL2/CAMSAP2/PLXNA2/MARK1/KIDINS220/ALK/CTNNA2/BMPR2/MAP2/EPHA3/SEMA5B/TNIK/PPP3CA/RAPGEF2/ENC1/SPOCK1/DPYSL3/CNR1/SEMA3C/SEMA3A/PTN/PRAG1/TOX/STMN2/NTRK2/CAMK1D/SHTN1/LRRC4C/CNTN1/DIP2B/PPFIA2/MYCBP2/SLITRK1/PRKD1/PARP6/ISLR2/NTN1/SARM1/SEZ6/CDK5R1/MAPT/TANC2/NEDD4L/NOVA2/BRSK1/DSCAM/L1CAM,52
GO:0050804,modulation of chemical synaptic transmission,51/702,448/18903,1.0870416445218608e-12,1.0653346793079696e-9,9.713191618693338e-10,EPHB2/DLGAP3/GRIK3/PLPPR4/SYT11/ADORA1/NRXN1/PLCL1/CNTN4/SLC6A1/EPHB1/CPLX1/PPP3CA/RAPGEF2/CAMK2A/GRIA1/SCGN/CNR1/PTN/DGKI/DLGAP2/JAK2/APBA1/NTRK2/DNM1/CPEB3/NEURL1/SORCS3/LRRC4C/JPH4/UNC13C/RASGRF1/CDH11/MAPT/CACNG4/CELF4/UNC13A/RAB3A/GRIK5/SLC8A2/GRIN2D/CACNG7/CACNG8/BRSK1/RIMS4/APP/CACNG2/NPTXR/CASK/SYN1/OPHN1,51
GO:0099177,regulation of trans-synaptic signaling,51/702,449/18903,1.1842315243530118e-12,1.0653346793079696e-9,9.713191618693338e-10,EPHB2/DLGAP3/GRIK3/PLPPR4/SYT11/ADORA1/NRXN1/PLCL1/CNTN4/SLC6A1/EPHB1/CPLX1/PPP3CA/RAPGEF2/CAMK2A/GRIA1/SCGN/CNR1/PTN/DGKI/DLGAP2/JAK2/APBA1/NTRK2/DNM1/CPEB3/NEURL1/SORCS3/LRRC4C/JPH4/UNC13C/RASGRF1/CDH11/MAPT/CACNG4/CELF4/UNC13A/RAB3A/GRIK5/SLC8A2/GRIN2D/CACNG7/CACNG8/BRSK1/RIMS4/APP/CACNG2/NPTXR/CASK/SYN1/OPHN1,51
GO:0007411,axon guidance,35/702,236/18903,2.5622114427081826e-12,1.6319184884822751e-9,1.4879020924216482e-9,EPHB2/EPHA10/NEXN/NOTCH2/PLXNA2/NRXN1/BMPR2/KLF7/CNTN4/EPHA3/GAP43/SEMA5B/EPHB1/TRIO/SEMA3C/SEMA3A/DLX5/DPYSL2/UNC5D/PTCH1/VAX1/DSCAML1/CNTN1/KIF5A/MYCBP2/NRXN3/FLRT2/NTN1/CDK5R1/RNF165/NOVA2/APP/DSCAM/OPHN1/L1CAM,35
GO:0016358,dendrite development,35/702,237/18903,2.902478414374878e-12,1.6319184884822751e-9,1.4879020924216482e-9,EPHB2/DNM3/CAMSAP2/MARK1/KIDINS220/ALK/CTNNA2/KLF7/MAP2/EPHB1/TNIK/PPP3CA/RAPGEF2/CAMK2A/PHACTR1/SEMA3A/ACTL6B/PTN/ASAP1/CAMK1D/CPEB3/NEURL1/SLC11A2/PPFIA2/DCLK1/PARP6/NTN1/SARM1/SEZ6/CDK5R1/TANC2/NEDD4L/APP/DSCAM/DIP2A,35
GO:0097485,neuron projection guidance,35/702,237/18903,2.902478414374878e-12,1.6319184884822751e-9,1.4879020924216482e-9,EPHB2/EPHA10/NEXN/NOTCH2/PLXNA2/NRXN1/BMPR2/KLF7/CNTN4/EPHA3/GAP43/SEMA5B/EPHB1/TRIO/SEMA3C/SEMA3A/DLX5/DPYSL2/UNC5D/PTCH1/VAX1/DSCAML1/CNTN1/KIF5A/MYCBP2/NRXN3/FLRT2/NTN1/CDK5R1/RNF165/NOVA2/APP/DSCAM/OPHN1/L1CAM,35
GO:0050808,synapse organization,48/702,432/18903,1.2318462165791721e-11,6.156493646859018e-9,5.613184631336205e-9,EPHB2/DLGAP3/DNM3/NRXN1/CTNNA2/DNER/SETD5/LHFPL4/SLC6A1/CAMKV/PDZRN3/GAP43/EPHB1/ADGRL3/LRRN3/NTRK2/TNC/ANK3/LRRTM3/INA/NEURL1/LRRC4C/KIRREL3/PPFIA2/MYCBP2/SLITRK1/LRFN5/FLRT2/GABRB3/UNC13C/ABHD17C/NTN1/SEZ6/CDK5R1/MAPT/TANC2/UNC13A/RAB3A/SLC8A2/APP/DSCAM/DIP2A/SEZ6L/CACNG2/SYN1/ZC4H2/OPHN1/L1CAM,48
GO:0001764,neuron migration,28/702,177/18903,8.607857271704163e-11,3.871814200812533e-8,3.5301275716378345e-8,LRIG2/TRIM46/ARHGEF2/ASTN1/MARK1/CTNNA2/DNER/ADGRL3/RAPGEF2/SPOCK1/CAMK2A/PHACTR1/CEP85L/SEMA3A/UNC5D/SCRT1/NTRK2/ZMIZ1/SHTN1/VAX1/KIRREL3/ASCL1/DCLK1/FLRT2/NTN1/CDK5R1/SCRT2/DCX,28
