ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030900,forebrain development,34/452,383/18903,5.256510533856837e-11,2.1725158036430308e-7,1.9698081579505623e-7,DRAXIN/DMRTA2/NHLH2/PROX1/SIX3/HTRA2/POU3F3/NEUROD1/TOP2B/CTNNB1/FEZF2/ROBO2/ARL13B/LEF1/FAT4/CASP3/SRD5A1/ISL1/OTP/SRF/NEUROD6/GLI3/FEZF1/TOX/SECISBP2/DAB2IP/EMX2/FEZ1/BCL11B/CDK5R1/PLCB1/XRN2/SLC32A1/WNT7B,34
GO:0021537,telencephalon development,27/452,255/18903,1.0669512979305516e-10,2.204854857173485e-7,1.9991298003330336e-7,DRAXIN/DMRTA2/PROX1/SIX3/POU3F3/NEUROD1/CTNNB1/FEZF2/ROBO2/ARL13B/LEF1/FAT4/CASP3/SRD5A1/SRF/NEUROD6/GLI3/FEZF1/SECISBP2/DAB2IP/EMX2/FEZ1/BCL11B/CDK5R1/PLCB1/XRN2/SLC32A1,27
GO:0021761,limbic system development,17/452,111/18903,1.172519427650975e-9,1.6153409314938265e-6,1.4646207587499897e-6,NHLH2/PROX1/NEUROD1/CTNNB1/FEZF2/LEF1/CASP3/SRD5A1/OTP/SRF/NEUROD6/GLI3/EMX2/FEZ1/CDK5R1/XRN2/SLC32A1,17
GO:0021543,pallium development,20/452,174/18903,7.0870771876921785e-9,6.742003260305085e-6,6.112937360827767e-6,DMRTA2/PROX1/POU3F3/NEUROD1/CTNNB1/FEZF2/LEF1/FAT4/CASP3/SRD5A1/SRF/NEUROD6/GLI3/DAB2IP/EMX2/FEZ1/CDK5R1/PLCB1/XRN2/SLC32A1,20
GO:0021766,hippocampus development,14/452,82/18903,8.15630687189098e-9,6.742003260305085e-6,6.112937360827767e-6,PROX1/NEUROD1/FEZF2/LEF1/CASP3/SRD5A1/SRF/NEUROD6/GLI3/EMX2/FEZ1/CDK5R1/XRN2/SLC32A1,14
GO:1902692,regulation of neuroblast proliferation,9/452,40/18903,3.341803158693524e-7,2.3019454091467226e-4,2.087161271043675e-4,DMRTA2/PROX1/SIX3/CTNNB1/OTP/CTNNA1/GLI3/PTN/CX3CL1,9
GO:0021871,forebrain regionalization,7/452,24/18903,1.0382642128946253e-6,6.104041198771468e-4,5.53450066031465e-4,DMRTA2/SIX3/FEZF2/GLI3/FEZF1/EMX2/WNT7B,7
GO:0021542,dentate gyrus development,6/452,16/18903,1.1815226128761613e-6,6.104041198771468e-4,5.53450066031465e-4,PROX1/NEUROD1/FEZF2/LEF1/NEUROD6/EMX2,6
GO:0061564,axon development,30/452,490/18903,2.736026978160704e-6,0.00125644438897091,0.0011392112330119422,DRAXIN/SVBP/TOP2B/FEZF2/ROBO2/EPHA3/PAK2/CASP3/ISL1/CTNNA1/DDR1/SRF/GLI3/SEMA3D/PTPRZ1/FEZF1/PTN/SSNA1/KIF5B/PAK1/DSCAML1/FEZ1/EFNB2/SIPA1L1/BCL11B/CDK5R1/RAB8A/CDH4/TSPO/ANOS1,30
GO:0007405,neuroblast proliferation,10/452,67/18903,4.0552033434403e-6,0.001676015541843876,0.0015196340950155232,DMRTA2/PROX1/SIX3/CTNNB1/LEF1/OTP/CTNNA1/GLI3/PTN/CX3CL1,10
GO:2000177,regulation of neural precursor cell proliferation,11/452,90/18903,9.84331615972062e-6,0.0036984023352841203,0.0033533211032158285,DMRTA2/PROX1/SIX3/CTNNB1/OTP/CTNNA1/GLI3/PTPRZ1/PTN/TOX/CX3CL1,11
GO:0061351,neural precursor cell proliferation,14/452,149/18903,1.4042323524886813e-5,0.004836410260696433,0.004385146644613777,DMRTA2/PROX1/SIX3/POU3F3/CTNNB1/LEF1/OTP/CTNNA1/GLI3/PTPRZ1/PTN/TOX/EMX2/CX3CL1,14
GO:0021885,forebrain cell migration,9/452,63/18903,1.7779656336852364e-5,0.005652563049246986,0.005125147899529912,POU3F3/CTNNB1/FEZF2/ARL13B/SRF/GLI3/DAB2IP/EMX2/CDK5R1,9
GO:0045664,regulation of neuron differentiation,16/452,196/18903,2.0661626041836855e-5,0.006099607173636551,0.005530480354055579,PROX1/SIX3/BCL11A/NEUROD1/FEZF2/ISL1/GLI3/FEZF1/FEZ1/BCL11B/CDK5R1/MED1/NEUROD2/MIB1/TCF4/HMG20B,16
GO:0021872,forebrain generation of neurons,8/452,52/18903,3.003734377741713e-5,0.008276289455471,0.007504066234919649,NHLH2/PROX1/FEZF2/LEF1/OTP/GLI3/SECISBP2/BCL11B,8
GO:0060438,trachea development,5/452,19/18903,6.737808909383657e-5,0.01740460263905166,0.01578065770881962,CTNNB1/LEF1/SRF/MAPK1/WNT7B,5
GO:0022029,telencephalon cell migration,8/452,60/18903,8.64283145653883e-5,0.02101224847639705,0.01905169039336114,POU3F3/CTNNB1/FEZF2/ARL13B/SRF/GLI3/DAB2IP/CDK5R1,8
GO:0008038,neuron recognition,7/452,48/18903,1.3459917450548957e-4,0.029923238672922133,0.027131236307410905,FEZF2/ROBO2/EPHA3/CASP3/YWHAZ/DSCAML1/CDK5R1,7
GO:0016925,protein sumoylation,8/452,64/18903,1.3756146498560866e-4,0.029923238672922133,0.027131236307410905,BCL11A/SUMO1/CTNNB1/HDAC7/SUMO2/CBX4/HMG20B/UBA2,8
