ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006119,oxidative phosphorylation,18/292,147/18903,1.3459016206196333e-11,3.64994272005375e-8,3.4464239802554576e-8,NDUFS5/UQCRH/NDUFB5/UQCC2/CYCS/CHCHD2/NDUFA5/UQCRB/STOML2/NDUFB8/COX8A/DNAJC15/NDUFB10/NDUFAB1/COX4I1/NDUFA7/CHCHD10/UQCR10,18
GO:0009060,aerobic respiration,20/292,194/18903,2.37973280804307e-11,3.64994272005375e-8,3.4464239802554576e-8,NDUFS5/UQCRH/SUCLG1/NDUFB5/UQCC2/CYCS/CHCHD2/NDUFA5/UQCRB/STOML2/NDUFB8/COX8A/DNAJC15/SUCLA2/NDUFB10/NDUFAB1/COX4I1/NDUFA7/CHCHD10/UQCR10,20
GO:0042773,ATP synthesis coupled electron transport,15/292,101/18903,4.29531358641218e-11,3.64994272005375e-8,3.4464239802554576e-8,NDUFS5/UQCRH/NDUFB5/CYCS/CHCHD2/NDUFA5/UQCRB/NDUFB8/COX8A/DNAJC15/NDUFB10/NDUFAB1/COX4I1/NDUFA7/UQCR10,15
GO:0042775,mitochondrial ATP synthesis coupled electron transport,15/292,101/18903,4.29531358641218e-11,3.64994272005375e-8,3.4464239802554576e-8,NDUFS5/UQCRH/NDUFB5/CYCS/CHCHD2/NDUFA5/UQCRB/NDUFB8/COX8A/DNAJC15/NDUFB10/NDUFAB1/COX4I1/NDUFA7/UQCR10,15
GO:0019646,aerobic electron transport chain,14/292,93/18903,1.6050113912453158e-10,1.0910867437685656e-7,1.0302483646119933e-7,NDUFS5/UQCRH/NDUFB5/CYCS/NDUFA5/UQCRB/NDUFB8/COX8A/DNAJC15/NDUFB10/NDUFAB1/COX4I1/NDUFA7/UQCR10,14
GO:0022904,respiratory electron transport chain,15/292,122/18903,6.647975490505442e-10,3.7660781153713327e-07,3.5560837316756304e-7,NDUFS5/UQCRH/NDUFB5/CYCS/CHCHD2/NDUFA5/UQCRB/NDUFB8/COX8A/DNAJC15/NDUFB10/NDUFAB1/COX4I1/NDUFA7/UQCR10,15
GO:0045333,cellular respiration,20/292,240/18903,1.0834291562677353e-9,5.260822431648617e-7,4.967481951068158e-7,NDUFS5/UQCRH/SUCLG1/NDUFB5/UQCC2/CYCS/CHCHD2/NDUFA5/UQCRB/STOML2/NDUFB8/COX8A/DNAJC15/SUCLA2/NDUFB10/NDUFAB1/COX4I1/NDUFA7/CHCHD10/UQCR10,20
GO:0022900,electron transport chain,16/292,176/18903,1.5238025190577105e-8,6.474255952846447e-6,6.1132551060617885e-6,NDUFS5/UQCRH/NDUFB5/CYCS/CHCHD2/NDUFA5/UQCRB/NDUFB8/COX8A/DNAJC15/NDUFB10/NDUFAB1/COX4I1/CYBA/NDUFA7/UQCR10,16
GO:0015980,energy derivation by oxidation of organic compounds,20/292,333/18903,2.6328996426012975e-7,9.9435843168909e-5,9.389135684551294e-5,NDUFS5/UQCRH/SUCLG1/NDUFB5/UQCC2/CYCS/CHCHD2/NDUFA5/UQCRB/STOML2/NDUFB8/COX8A/DNAJC15/SUCLA2/NDUFB10/NDUFAB1/COX4I1/NDUFA7/CHCHD10/UQCR10,20
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",8/292,51/18903,1.0542081572193104e-6,3.583253526388436e-4,3.38345333827545e-4,NDUFS5/NDUFB5/NDUFA5/NDUFB8/DNAJC15/NDUFB10/NDUFAB1/NDUFA7,8
