ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,59/280,161/18903,3.0604760316758404e-67,1.0191385185480548e-63,9.31673335116477e-64,RPL11/RPS8/RPL5/RPS7/RPSA/RPL14/RPL29/RPL9/RPS3A/RPS14/RACK1/RPS18/RPS12/RPS20/RPL7/RPL30/EIF3E/RPL8/RPS6/RPL35/RPL12/RPL7A/RPS24/EIF3A/EIF3F/RPL27A/RPS3/RPS25/RPL41/RPL6/RPLP0/RPL21/RPS29/RPLP1/RPS2/RPS15A/RPL13/RPL26/RPL23A/RPL19/RPL27/IGF2BP1/RPL17/RPS15/RPL36/RPS28/RPL18A/RPS16/RPS19/RPL18/RPL13A/RPS11/RPS9/RPS5/EIF3L/RPL3/RPL36A/RPL39/RPL10,59
GO:0022613,ribonucleoprotein complex biogenesis,39/280,489/18903,7.748643024667514e-18,1.290149063607141e-14,1.1794250330178132e-14,RPL11/RPS8/RPL5/RPS7/RPSA/RPL14/RPS14/NPM1/RPL7L1/CHD7/RPL7/EIF3E/RPS6/RPL35/RPL7A/RPS24/EIF3A/EIF3F/CLNS1A/RPS25/SCAF11/RPL6/RPLP0/RAN/RPS27L/METTL16/RPL26/RPL23A/RPL27/SNRPD1/RPS15/RPS28/RPS16/FBL/RPS19/RPL13A/RPS5/EIF3L/RPL10,39
GO:0042254,ribosome biogenesis,31/280,310/18903,4.240878445087542e-17,4.707375074047172e-14,4.303375601120411e-14,RPL11/RPS8/RPL5/RPS7/RPSA/RPL14/RPS14/NPM1/RPL7L1/CHD7/RPL7/RPS6/RPL35/RPL7A/RPS24/RPS25/RPL6/RPLP0/RAN/RPS27L/METTL16/RPL26/RPL23A/RPL27/RPS15/RPS28/RPS16/FBL/RPS19/RPS5/RPL10,31
GO:0042255,ribosome assembly,14/280,61/18903,2.1371855144004223e-13,1.7792069407383514e-10,1.6265106599068477e-10,RPL11/RPL5/RPSA/RPS14/NPM1/RPL6/RPLP0/RPS27L/RPL23A/RPS15/RPS28/RPS19/RPS5/RPL10,14
GO:0006364,rRNA processing,22/280,229/18903,4.1567863704775754e-12,2.7684197227380653e-9,2.5308265649307682e-9,RPL11/RPS8/RPL5/RPS7/RPL14/RPS14/RPL7L1/CHD7/RPL7/RPS6/RPL35/RPL7A/RPS24/RPS25/METTL16/RPL26/RPL27/RPS15/RPS28/RPS16/FBL/RPS19,22
GO:0042274,ribosomal small subunit biogenesis,14/280,78/18903,7.762215939923629e-12,4.308029846657614e-9,3.9383032453086205e-9,RPS8/RPS7/RPSA/RPS14/NPM1/RPS6/RPS24/RPS25/RPS27L/RPS15/RPS28/RPS16/RPS19/RPS5,14
GO:0071826,ribonucleoprotein complex subunit organization,22/280,242/18903,1.2495485901574563e-11,5.718755874528389e-9,5.2279570062070815e-9,RPL11/RPL5/RPSA/RPS14/EIF3E/VCP/EIF3A/EIF3F/CLNS1A/SCAF11/RPL6/RPLP0/RPS27L/RPL23A/SNRPD1/RPS15/RPS28/RPS19/RPL13A/RPS5/EIF3L/RPL10,22
GO:0016072,rRNA metabolic process,23/280,268/18903,1.3738752851719854e-11,5.718755874528389e-9,5.2279570062070815e-9,RPL11/RPS8/RPL5/RPS7/RPL14/RPS14/RPL7L1/CHD7/RPL7/RPS6/RPL35/RPL7A/RPS24/RPS25/METTL16/RPL26/RPL27/RPS15/RPS28/RPS16/FBL/RPS19/SMARCB1,23
GO:0022618,ribonucleoprotein complex assembly,21/280,234/18903,4.738877617488474e-11,1.7533847184707354e-8,1.6029045695645225e-8,RPL11/RPL5/RPSA/RPS14/EIF3E/EIF3A/EIF3F/CLNS1A/SCAF11/RPL6/RPLP0/RPS27L/RPL23A/SNRPD1/RPS15/RPS28/RPS19/RPL13A/RPS5/EIF3L/RPL10,21
GO:0042273,ribosomal large subunit biogenesis,13/280,76/18903,8.313649377440424e-11,2.768445242687661e-8,2.5308498946902854e-8,RPL11/RPL5/RPL14/NPM1/RPL7L1/RPL7/RPL35/RPL7A/RPL6/RPLP0/RPL26/RPL23A/RPL10,13
GO:0034470,ncRNA processing,28/280,439/18903,9.34686057976475e-11,2.829549611874238e-8,2.5867101240841783e-8,RPL11/ZBTB8OS/RPS8/TUT4/RPL5/TSNAX/RPS7/RPL14/RPS14/SRSF3/RPL7L1/CHD7/RPL7/RPS6/RPL35/RPL7A/NSUN6/RPS24/RPS25/RTRAF/METTL16/RPL26/RPL27/RPS15/RPS28/RPS16/FBL/RPS19,28
GO:0000028,ribosomal small subunit assembly,7/280,19/18903,6.282459450712586e-9,1.7433824975727425e-6,1.5937607659176143e-6,RPSA/RPS14/RPS27L/RPS15/RPS28/RPS19/RPS5,7
