ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0031113,regulation of microtubule polymerization,10/202,54/18903,2.469739611531355e-10,7.018999975972112e-7,6.304335324172145e-7,CAMSAP2/MAPRE3/SNCA/STMN2/SLAIN1/ARHGEF7/CDK5R1/MAPT/CLIP3/DYRK1A,10
GO:0046785,microtubule polymerization,10/202,85/18903,2.4233030299016152e-8,2.8812617174845946e-5,2.587895723878715e-5,CAMSAP2/MAPRE3/SNCA/STMN2/SLAIN1/ARHGEF7/CDK5R1/MAPT/CLIP3/DYRK1A,10
GO:0031110,regulation of microtubule polymerization or depolymerization,10/202,87/18903,3.041444458991479e-8,2.8812617174845946e-5,2.587895723878715e-5,CAMSAP2/MAPRE3/SNCA/STMN2/SLAIN1/ARHGEF7/CDK5R1/MAPT/CLIP3/DYRK1A,10
GO:0043254,regulation of protein-containing complex assembly,19/202,410/18903,9.290786200078352e-8,6.201187224606728e-5,5.5697911106601425e-5,CDC42/CAMSAP2/MAPRE3/SNCA/ATAT1/STMN2/VDAC2/FCHSD2/SLAIN1/ARHGEF7/PSMC6/LCMT1/COTL1/CDK5R1/THRA/MAPT/RAB3A/CLIP3/DYRK1A,19
GO:0070507,regulation of microtubule cytoskeleton organization,12/202,155/18903,1.0909900113664196e-7,6.201187224606728e-5,5.5697911106601425e-5,CAMSAP2/MAPRE3/SNCA/ATAT1/STMN2/MAP6/SLAIN1/ARHGEF7/CDK5R1/MAPT/CLIP3/DYRK1A,12
GO:0031115,negative regulation of microtubule polymerization,5/202,14/18903,2.4550558895886725e-7,1.0640122991386686e-4,9.556760714883039e-5,SNCA/STMN2/ARHGEF7/CLIP3/DYRK1A,5
GO:0032271,regulation of protein polymerization,13/202,201/18903,2.6207199486174104e-7,1.0640122991386686e-4,9.556760714883039e-5,CAMSAP2/MAPRE3/SNCA/STMN2/VDAC2/FCHSD2/SLAIN1/ARHGEF7/COTL1/CDK5R1/MAPT/CLIP3/DYRK1A,13
GO:0061564,axon development,20/202,490/18903,3.248071839329714e-7,1.1538775209218809e-4,1.0363913434703365e-4,CAMSAP2/NRXN1/EPHB1/CRMP1/NREP/DLX5/TMEFF1/PPP3CB/INPP5F/LRRC4C/MAP6/KIF5A/BCL11B/CDK5R1/MAPT/RAB3A/APLP1/NOVA2/ARHGAP35/APP,20
GO:0048857,neural nucleus development,8/202,65/18903,4.4341460359957226e-7,1.4002047815888714e-4,1.2576379107941086e-4,CDC42/BASP1/INA/ASCL1/CDK5R1/CALM3/ATP5PF/YWHAH,8
GO:0031109,microtubule polymerization or depolymerization,10/202,124/18903,8.80956288687774e-7,2.5036777724506533e-4,2.248756842176686e-4,CAMSAP2/MAPRE3/SNCA/STMN2/SLAIN1/ARHGEF7/CDK5R1/MAPT/CLIP3/DYRK1A,10
GO:0050804,modulation of chemical synaptic transmission,18/202,448/18903,1.623517325563439e-6,3.9683542058226927e-4,3.564301992340469e-4,GRIK3/ELAVL4/NRXN1/EPHB1/NSG1/SNCA/PRKAR2B/PPP3CB/LRRC4C/CNIH2/JPH4/VAMP2/MAPT/RAB3A/CALM3/APP/YWHAH/CASK,18
GO:0099177,regulation of trans-synaptic signaling,18/202,449/18903,1.6755893902136634e-6,3.9683542058226927e-4,3.564301992340469e-4,GRIK3/ELAVL4/NRXN1/EPHB1/NSG1/SNCA/PRKAR2B/PPP3CB/LRRC4C/CNIH2/JPH4/VAMP2/MAPT/RAB3A/CALM3/APP/YWHAH/CASK,18
GO:0010970,transport along microtubule,11/202,168/18903,1.977778374346901e-6,4.323727799918379e-4,3.883491949628531e-4,CDC42/KIFAP3/ARL8A/RAB1A/KIF3A/CNIH2/KIF5A/MAPT/CLIP3/APP/SOD1,11
GO:0030705,cytoskeleton-dependent intracellular transport,12/202,208/18903,2.5448476223797976e-6,5.166040673430989e-4,4.640041717497e-4,CDC42/KIFAP3/ARL8A/RAB1A/KIF3A/CNIH2/MAP6/KIF5A/MAPT/CLIP3/APP/SOD1,12
GO:0032886,regulation of microtubule-based process,13/202,252/18903,3.342252534078011e-6,6.332454467899805e-4,5.687692908869598e-4,CAMSAP2/MAPRE3/SNCA/ATAT1/STMN2/CNIH2/MAP6/SLAIN1/ARHGEF7/CDK5R1/MAPT/CLIP3/DYRK1A,13
GO:0031111,negative regulation of microtubule polymerization or depolymerization,6/202,40/18903,3.920347040204774e-6,6.96351643016373e-4,6.254501034537223e-4,CAMSAP2/SNCA/STMN2/ARHGEF7/CLIP3/DYRK1A,6
GO:0007409,axonogenesis,17/202,438/18903,5.064145536949675e-6,8.466059774124104e-4,7.604057540001835e-4,NRXN1/EPHB1/CRMP1/DLX5/TMEFF1/PPP3CB/LRRC4C/MAP6/KIF5A/BCL11B/CDK5R1/MAPT/RAB3A/APLP1/NOVA2/ARHGAP35/APP,17
GO:0021762,substantia nigra development,6/202,44/18903,6.958106331732563e-6,0.0010986076774879968,9.86748997336343e-4,CDC42/BASP1/INA/CALM3/ATP5PF/YWHAH,6
GO:0051258,protein polymerization,13/202,281/18903,1.0864408144212153e-5,0.0016250867339921546,0.0014596227008152063,CAMSAP2/MAPRE3/SNCA/STMN2/VDAC2/FCHSD2/SLAIN1/ARHGEF7/COTL1/CDK5R1/MAPT/CLIP3/DYRK1A,13
GO:0022898,regulation of transmembrane transporter activity,13/202,291/18903,1.5749093325190953e-5,0.002135070915161612,0.0019176810138401088,ATP1B1/SNCA/TCAF1/PPP3CB/CNIH2/SCN3B/FGF14/JPH4/VAMP2/CALM3/APP/YWHAH/WNK3,13
GO:0099111,microtubule-based transport,11/202,209/18903,1.597127353312752e-5,0.002135070915161612,0.0019176810138401088,CDC42/KIFAP3/ARL8A/RAB1A/KIF3A/CNIH2/KIF5A/MAPT/CLIP3/APP/SOD1,11
GO:1902903,regulation of supramolecular fiber organization,15/202,384/18903,1.7187003879298734e-5,0.002135070915161612,0.0019176810138401088,CDC42/CAMSAP2/MAPRE3/SNCA/STMN2/FCHSD2/SLAIN1/ARHGEF7/COTL1/CDK5R1/MAPT/CLIP3/ARHGAP35/APP/DYRK1A,15
GO:0050808,synapse organization,16/202,432/18903,1.7278899031920154e-5,0.002135070915161612,0.0019176810138401088,CDC42/DNM3/NRXN1/ZNF804A/EPHB1/SNCA/GPM6A/INA/LRRC4C/NRXN2/CDK5R1/MAPT/RAB3A/LRRC4B/APP/SEZ6L,16
GO:0008088,axo-dendritic transport,7/202,77/18903,1.8319001514214713e-5,0.0021692750959749255,0.0019484025733320475,ARL8A/KIF3A/CNIH2/KIF5A/MAPT/APP/SOD1,7
GO:0031333,negative regulation of protein-containing complex assembly,9/202,146/18903,2.7819599444864314e-5,0.0031625320648921754,0.0028405275222650934,CDC42/SNCA/STMN2/VDAC2/ARHGEF7/LCMT1/THRA/CLIP3/DYRK1A,9
GO:0007018,microtubule-based movement,15/202,415/18903,4.210589920156308e-5,0.004602498674263164,0.004133878767764797,CDC42/KIFAP3/KIF21B/ARL8A/RAB1A/MAP4/KIF3A/CNIH2/KIF21A/KIF5A/KLC1/MAPT/CLIP3/APP/SOD1,15
GO:0072384,organelle transport along microtubule,7/202,88/18903,4.3802600617577874e-5,0.004610629294635419,0.0041411815398684736,CDC42/KIFAP3/RAB1A/KIF3A/CNIH2/KIF5A/MAPT,7
GO:0007411,axon guidance,11/202,236/18903,4.8834576646849554e-5,0.0046161256844681215,0.004146118295061001,NRXN1/EPHB1/CRMP1/DLX5/TMEFF1/KIF5A/BCL11B/CDK5R1/NOVA2/ARHGAP35/APP,11
GO:0045664,regulation of neuron differentiation,10/202,196/18903,5.072227723140081e-5,0.0046161256844681215,0.004146118295061001,SOX11/SIX3/DLX2/NREP/BRINP1/ASCL1/BCL11B/CDK5R1/APP/YWHAH,10
GO:0097485,neuron projection guidance,11/202,237/18903,5.073991223270277e-5,0.0046161256844681215,0.004146118295061001,NRXN1/EPHB1/CRMP1/DLX5/TMEFF1/KIF5A/BCL11B/CDK5R1/NOVA2/ARHGAP35/APP,11
GO:0032409,regulation of transporter activity,13/202,326/18903,5.126644724913454e-5,0.0046161256844681215,0.004146118295061001,ATP1B1/SNCA/TCAF1/PPP3CB/CNIH2/SCN3B/FGF14/JPH4/VAMP2/CALM3/APP/YWHAH/WNK3,13
GO:0032412,regulation of ion transmembrane transporter activity,12/202,281/18903,5.197608089478532e-5,0.0046161256844681215,0.004146118295061001,ATP1B1/TCAF1/PPP3CB/CNIH2/SCN3B/FGF14/JPH4/VAMP2/CALM3/APP/YWHAH/WNK3,12
GO:1903421,regulation of synaptic vesicle recycling,4/202,20/18903,5.3627935093653734e-5,0.004618502773823149,0.004148253352539404,DNM3/SNCA/PPP3CB/CALM3,4
