ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0021537,telencephalon development,16/301,255/18903,3.5573304610347797e-6,0.007599816883010838,0.007020705872389946,BCAN/ALK/SIX3/CXCR4/RARB/TENT2/PHACTR1/FOXP2/PLXNA4/MDK/C12orf57/HIF1A/RARA/XRN2/GART/HPRT1,16
GO:0051983,regulation of chromosome segregation,11/301,132/18903,8.721094674374069e-6,0.007599816883010838,0.007020705872389946,ARID1A/CENPF/RAD18/MAD2L1/PTTG1/TTK/SMC2/ANAPC15/SMARCE1/BIRC5/UBE2C,11
GO:0051304,chromosome separation,11/301,135/18903,1.0810815897516754e-5,0.007599816883010838,0.007020705872389946,ARID1A/CENPF/TOP2B/MAD2L1/PTTG1/TTK/SMC2/ANAPC15/SMARCE1/BIRC5/UBE2C,11
GO:1905818,regulation of chromosome separation,10/301,111/18903,1.1268079196840085e-5,0.007599816883010838,0.007020705872389946,ARID1A/CENPF/MAD2L1/PTTG1/TTK/SMC2/ANAPC15/SMARCE1/BIRC5/UBE2C,10
GO:1901987,regulation of cell cycle phase transition,21/301,453/18903,1.3178619311141847e-5,0.007599816883010838,0.007020705872389946,ARID1A/PBX1/CENPF/SIX3/MAP3K20/MAD2L1/TTK/ANLN/ANAPC15/RDX/TIMELESS/BLM/SMARCE1/BRIP1/BIRC5/UBE2C/APP/PRMT2/CDC45/MN1/FHL1,21
GO:0030900,forebrain development,19/301,383/18903,1.3416611702819126e-5,0.007599816883010838,0.007020705872389946,BCAN/ALK/SIX3/CXCR4/RARB/TOP2B/TENT2/PHACTR1/FOXP2/PLXNA4/MDK/C12orf57/SOX1/HIF1A/RARA/XRN2/APP/GART/HPRT1,19
GO:0001654,eye development,19/301,388/18903,1.607669130088866e-5,0.007599816883010838,0.007020705872389946,PBX1/SIX3/BMPR2/RARB/NECTIN3/PROM1/TENT2/MAN2A1/ZHX2/VAX1/C12orf57/SLITRK6/SOX1/HIF1A/RARA/SOX9/XRN2/HMGN1/PKNOX1,19
GO:0150063,visual system development,19/301,392/18903,1.8535514516225982e-5,0.007599816883010838,0.007020705872389946,PBX1/SIX3/BMPR2/RARB/NECTIN3/PROM1/TENT2/MAN2A1/ZHX2/VAX1/C12orf57/SLITRK6/SOX1/HIF1A/RARA/SOX9/XRN2/HMGN1/PKNOX1,19
GO:0140014,mitotic nuclear division,17/301,325/18903,1.9559151257391347e-5,0.007599816883010838,0.007020705872389946,ARID1A/CENPF/MAD2L1/PTTG1/TTK/ANLN/SMC2/BCCIP/ANAPC15/PKMYT1/SMARCE1/BIRC5/UBE2S/L3MBTL1/MYBL2/UBE2C/USP16,17
GO:0048880,sensory system development,19/301,398/18903,2.285789874349623e-5,0.007993407190600632,0.0073843043414515705,PBX1/SIX3/BMPR2/RARB/NECTIN3/PROM1/TENT2/MAN2A1/ZHX2/VAX1/C12orf57/SLITRK6/SOX1/HIF1A/RARA/SOX9/XRN2/HMGN1/PKNOX1,19
