cluster,sample,group,N_cells,N_sample,fract_sample,N_cluster,fract_cluster
c0,CON_DS2U,CON,153,653,0.2343032159264931,567,0.2698412698412698
c0,CON_H9,CON,96,406,0.23645320197044334,567,0.1693121693121693
c0,CON_IMR,CON,176,793,0.22194199243379573,567,0.31040564373897706
c0,DS_2DS3,DS,46,590,0.07796610169491526,567,0.08112874779541446
c0,DS_DSP,DS,96,638,0.15047021943573669,567,0.1693121693121693
c1,CON_DS2U,CON,177,653,0.27105666156202146,394,0.44923857868020306
c1,CON_H9,CON,38,406,0.09359605911330049,394,0.09644670050761421
c1,CON_IMR,CON,120,793,0.15132408575031525,394,0.30456852791878175
c1,DS_2DS3,DS,50,590,0.0847457627118644,394,0.12690355329949238
c1,DS_DSP,DS,9,638,0.014106583072100314,394,0.02284263959390863
c10,CON_DS2U,CON,20,653,0.030627871362940276,115,0.17391304347826086
c10,CON_H9,CON,20,406,0.04926108374384237,115,0.17391304347826086
c10,CON_IMR,CON,27,793,0.034047919293820936,115,0.23478260869565218
c10,DS_2DS3,DS,11,590,0.01864406779661017,115,0.09565217391304348
c10,DS_DSP,DS,37,638,0.05799373040752351,115,0.3217391304347826
c11,CON_DS2U,CON,34,653,0.05206738131699847,102,0.3333333333333333
c11,CON_H9,CON,6,406,0.014778325123152709,102,0.058823529411764705
c11,CON_IMR,CON,59,793,0.07440100882723834,102,0.5784313725490197
c11,DS_2DS3,DS,0,590,0,102,0
c11,DS_DSP,DS,3,638,0.004702194357366771,102,0.029411764705882353
c2,CON_DS2U,CON,15,653,0.022970903522205207,359,0.04178272980501393
c2,CON_H9,CON,78,406,0.1921182266009852,359,0.21727019498607242
c2,CON_IMR,CON,37,793,0.04665825977301387,359,0.10306406685236769
c2,DS_2DS3,DS,68,590,0.1152542372881356,359,0.1894150417827298
c2,DS_DSP,DS,161,638,0.25235109717868337,359,0.44846796657381616
c3,CON_DS2U,CON,96,653,0.14701378254211334,336,0.2857142857142857
c3,CON_H9,CON,40,406,0.09852216748768473,336,0.11904761904761904
c3,CON_IMR,CON,152,793,0.19167717528373265,336,0.4523809523809524
c3,DS_2DS3,DS,31,590,0.05254237288135593,336,0.09226190476190477
c3,DS_DSP,DS,17,638,0.02664576802507837,336,0.050595238095238096
c4,CON_DS2U,CON,38,653,0.05819295558958652,255,0.14901960784313725
c4,CON_H9,CON,32,406,0.07881773399014778,255,0.12549019607843137
c4,CON_IMR,CON,50,793,0.06305170239596469,255,0.19607843137254902
c4,DS_2DS3,DS,117,590,0.19830508474576272,255,0.4588235294117647
c4,DS_DSP,DS,18,638,0.02821316614420063,255,0.07058823529411765
c5,CON_DS2U,CON,10,653,0.015313935681470138,237,0.04219409282700422
c5,CON_H9,CON,46,406,0.11330049261083744,237,0.1940928270042194
c5,CON_IMR,CON,35,793,0.044136191677175286,237,0.14767932489451477
c5,DS_2DS3,DS,85,590,0.1440677966101695,237,0.35864978902953587
c5,DS_DSP,DS,61,638,0.09561128526645768,237,0.25738396624472576
c6,CON_DS2U,CON,11,653,0.016845329249617153,224,0.049107142857142856
c6,CON_H9,CON,12,406,0.029556650246305417,224,0.05357142857142857
c6,CON_IMR,CON,46,793,0.058007566204287514,224,0.20535714285714285
c6,DS_2DS3,DS,8,590,0.013559322033898305,224,0.03571428571428571
c6,DS_DSP,DS,147,638,0.2304075235109718,224,0.65625
c7,CON_DS2U,CON,17,653,0.026033690658499236,221,0.07692307692307693
c7,CON_H9,CON,21,406,0.05172413793103448,221,0.09502262443438914
c7,CON_IMR,CON,35,793,0.044136191677175286,221,0.1583710407239819
c7,DS_2DS3,DS,134,590,0.2271186440677966,221,0.6063348416289592
c7,DS_DSP,DS,14,638,0.0219435736677116,221,0.06334841628959276
c8,CON_DS2U,CON,41,653,0.06278713629402756,142,0.2887323943661972
c8,CON_H9,CON,5,406,0.012315270935960592,142,0.035211267605633804
c8,CON_IMR,CON,29,793,0.03656998738965952,142,0.20422535211267606
c8,DS_2DS3,DS,30,590,0.05084745762711865,142,0.2112676056338028
c8,DS_DSP,DS,37,638,0.05799373040752351,142,0.2605633802816901
c9,CON_DS2U,CON,41,653,0.06278713629402756,128,0.3203125
c9,CON_H9,CON,12,406,0.029556650246305417,128,0.09375
c9,CON_IMR,CON,27,793,0.034047919293820936,128,0.2109375
c9,DS_2DS3,DS,10,590,0.01694915254237288,128,0.078125
c9,DS_DSP,DS,38,638,0.05956112852664577,128,0.296875
