IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
NUDC,RERE,PER3,PRKCZ,CDK11B,AL645728.1,DVL1,INTS11,HES4,ACAP3,H6PD,LINC01128,H6PD,CLCN6,HES4,CDC42,PUSL1,SLC35E2B,HES4,CHD5,BBX,RERE,ENO1,HIVEP3,PRDM16,ZBTB48,ENO1,MLLT11,HES4,CAMTA1,ZBTB40,ZNF684,ID3,GABPB2,HES4,MLLT11,DMRTA2,E2F2,HES4,ARNT,,HSPA13,,HSPA13,GATD3B,HSPA13,,U2AF1L5,GATD3B,LIPI,,U2AF1L5,GATD3B,HSPA13,,HSPA13,GATD3B,HSPA13,GATD3B,HSPA13
DAB1,ELAVL4,ENO1,DHRS3,PRDM16,ZBTB48,ENO1,PANK4,C1orf174,PRKCZ,DFFA,AL645608.7,PIK3CD,LINC01137,RPL11,PITHD1,EPHA2,ASAP3,RPL22,DISP3,JAZF1,MLLT11,CASZ1,TTF2,ENO1,MLLT11,LMX1A,POGZ,ENO1,ZBTB17,ZNF593,MTF2,ZNF593,POGZ,SMARCC1,SOX11,SOX13,ARID1A,ID3,MLLT11,,NRIP1,,CXADR,ADAMTS1,CXADR,,HSPA13,SPATC1L,HSPA13,,HSPA13,COL6A2,NRIP1,,CXADR,,USP25,SPATC1L,NRIP1
LMO4,BTF3L4,CASZ1,RNF19B,RPL22,KAZN,PLOD1,CEP104,RPL22,GPR153,DRAXIN,C1orf159,MICOS10,NDC1,NUDC,STX12,MFAP2,E2F2,FBLIM1,CLCN6,GLIS3,GATAD2B,ZNF593,GABPB2,DMRTA2,GABPB2,CREB1,GATAD2B,CASZ1,POU3F1,YBX1,ASH1L,DMRTA2,GATAD2B,HES1,SIX3,TBR1,FOXJ3,ZNF593,GABPB2,,ATP5PF,,C21orf91,PSMG1,MRPL39,,NRIP1,,NRIP1,,NCAM2,,USP25,,ATP5PF,,CHODL,,USP25
MAGI3,ST6GALNAC5,PNRC2,PHC2,ENO1,CDC42-AS1,AL357873.1,DHRS3,ENO1,ACOT7,NPPA,CDK11A,DDOST,FAM72D,ZBTB8OS,GRIK3,EMC1-AS1,HMGN2,IGSF21,PDPN,LHX2,ASH1L,DMRTA2,GATAD2B,NHLH2,GATAD2B,NR1D2,ASH1L,ID3,FOXO6,DMRTA2,GON4L,NHLH2,ASH1L,SMARCA5,DLX2,EOMES,PBX1,DMRTA2,POGZ,,APP,,CHODL,COL6A1,ATP5PF,,CXADR,,CXADR,,MRPL39,,CXADR,,APP,,MRPL39,,NCAM2
RGS7,MLLT11,MAN1C1,ZMYM1,H6PD,HPCA,MRTO4,AL031293.1,CASZ1,CAMTA1,CAMK2N1,PHF13,ID3,GPR89A,RPS8,ELAVL4,ELOA-AS1,ARID1A,MRTO4,KAZN,SOX6,PBX1,MIER1,ASH1L,NHLH1,ASH1L,BCL6,RC3H1,ZNF593,HIVEP3,NFIA,FOSL2,FEZF2,ATF6,AFF4,ZNF804A,FEZF2,SIX3,NHLH2,GATAD2B,,CCT8,,NCAM2,,APP,,MRPL39,,MRPL39,,JAM2,,MRPL39,,CCT8,,ATP5PF,,ATP5PF
PKP4,PSMB4,ZNF593,C1orf216,SLC25A33,SCMH1,SESN2,MATN1,AGTRAP,DISP3,ZBTB40,AL512330.1,ZNF593,RNF115,TUT4,TM2D1,GPN2,ZMYM4-AS1,DDOST,AL031293.1,PAX6,POU2F1,BARHL2,GON4L,LHX9,ATF6,ZNF713,MBD5,DMRTA2,MLLT11,FUBP1,BOLA3,ZIC1,PBX1,ID4,PHTF2,HES1,RARB,NHLH1,ASH1L,,BACH1,,MRPL39,,USP16,,JAM2,,ATP5PF,,ATP5PF,,ATP5PF,,SOD1,,APP,,GABPA
SLC4A10,GATAD2B,PTPRU,EPHA10,SZRD1,PATJ,EPB41,CCDC28B,IGSF21,DRAXIN,ELOA,KAZN,UBXN11,POLR3C,DOCK7,PRKACB,SLC9A1,C1orf216,ID3,FBXO42,ZNF565,SOX11,DR1,PBX1,ID2,PBX1,EGR3,CERS6,MIER1,GABPB2,NHLH2,ZNF385B,HES1,POU2F1,GLI3,DLX5,PRDM8,ZNF595,EMX1,GON4L,,TIAM1,,ATP5PF,,CCT8,,ATP5PF,,GABPA,,APP,,GABPA,,SON,,USP16,,APP
FAM171B,ASH1L,HDAC1,AL139260.1,DDOST,EFCAB7,SRSF4,AGO4,ID3,ZBTB17,TMEM50A,DNAJC16,PTPRU,NBPF12,CACHD1,RPAP2,AHDC1,FOXJ3,RPL11,EIF4G3,,BCL11A,NHLH1,NCOA1,ZFP36L2,SIX3,TONSL,DLX2,BARHL2,POGZ,NHLH1,THAP4,LEF1,ZNF281,ZFPM2,RUNX1T1,LEF1,MYB,NR4A2,ATF6,,SOD1,,GABPA,,BACH1,,APP,,APP,,CCT8,,APP,,CRYZL1,,CCT8,,LTN1
HIBCH,SSR2,LINC01137,HIVEP3,RPL11,PDE4B,AL136115.2,AL139260.1,RPL11,FBXO42,ZNF593,AL049569.1,C1orf122,BCL9,ST6GALNAC3,RSBN1,PTPRU,PPIH,PNRC2,EPHB2,,SP3,LHX9,BCL11A,KCNIP3,ZNF2,ZNF16,SP9,NHLH2,GATAD2B,PROX1,ZNF385D,ZNF827,SP9,GLIS3,LCOR,ZNF608,HIVEP2,TBR1,PBX1,,PAXBP1,,APP,,TIAM1,,LTN1,,LTN1,,GRIK1,,LTN1,,ATP5PO,,BACH1,,USP16
HECW2,ARHGEF11,PPIE,DHCR24,AKIRIN1,GLMN,HDAC1,AL050341.2,PNRC2,CAMK2N1,SLC9A1,ARHGEF10L,NDUFS5,GPR89B,PKN2,SV2A,ZMYM6,MRPL37,ZNF593,AL031428.1,,FOXP1,ATF3,NPAS2,TBR1,CSRNP3,FOXN4,PPARG,MYCN,ASH1L,SIX3,ZNF589,AHRR,THAP4,LHX2,SMARCC2,ZFP2,ZNF107,EOMES,POU2F1,,SON,,USP16,,SOD1,,USP16,,USP16,,TIAM1,,USP16,,MRPS6,,TIAM1,,CCT8
