,Term,fdr,es,nes
0,anterograde trans-synaptic signaling (GO:0098916),0.0,0.6820952354597465,1.857154288666871
1,cellular response to DNA damage stimulus (GO:0006974),0.0,-0.3712230218408669,-1.8990862628579397
2,chemical synaptic transmission (GO:0007268),0.0,0.6684685182848875,1.855906330456497
3,axonogenesis (GO:0007409),0.0022002200220022,0.6701799328075093,1.7385954859675208
4,axon guidance (GO:0007411),0.0029336266960029336,0.6878119879886614,1.771857466572497
5,central nervous system development (GO:0007417),0.0044004400440044,0.663456888820213,1.6713328438094217
6,calcium ion transport (GO:0006816),0.005280528052805281,0.6490037255836588,1.6811141252407178
7,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),0.021373565928021372,0.6166428779218932,1.5915751440963146
8,cation transport (GO:0006812),0.025302530253025302,0.6254956587959125,1.5742512738458732
9,brain development (GO:0007420),0.027380515829360713,0.6689566714231567,1.5575193025345548
10,modification-dependent protein catabolic process (GO:0019941),0.0390625,-0.41802252816020025,-1.7047028800583301
11,cellular response to metal ion (GO:0071248),0.04928492849284928,0.5803962314482369,1.498181622471589
