,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes
0,GO:0099590,neurotransmitter receptor internalization,biological_process,1.234065205869067e-07,0.0012528818992896765,4,161,7,"['SNAP25', 'CACNG2', 'CACNG8', 'CACNG4']"
1,GO:0007399,nervous system development,biological_process,2.1036229099235673e-07,0.0012528818992896765,15,161,370,"['APBA1', 'DPF1', 'ZC4H2', 'BRINP2', 'SCN3B', 'ELAVL3', 'DPYSL2', 'DCLK1', 'ERBB4', 'ACTL6B', 'IGSF9B', 'DLX6', 'CRMP1', 'TTLL7', 'SCN8A']"
2,GO:0031175,neuron projection development,biological_process,3.008119806217711e-07,0.0012528818992896765,9,161,115,"['RASGRF1', 'STMN2', 'RAB6B', 'MAPT', 'BICDL1', 'CDK5R1', 'ATCAY', 'HDGFL3', 'HERC1']"
3,GO:2000311,regulation of AMPA receptor activity,biological_process,1.5779916481469507e-05,0.040022759553020405,4,161,20,"['CACNG2', 'CACNG8', 'CACNG4', 'MAPK8IP2']"
4,GO:0098943,"neurotransmitter receptor transport, postsynaptic endosome to lysosome",biological_process,1.601551002521825e-05,0.040022759553020405,3,161,7,"['CACNG2', 'CACNG8', 'CACNG4']"
5,GO:0030426,growth cone,cellular_component,1.9861536077147687e-12,3.5274088073014293e-09,14,161,131,"['RASGRF1', 'STMN2', 'KIF21B', 'SNAP25', 'MAPT', 'ERC2', 'ELAVL4', 'CDK5R2', 'CDK5R1', 'ATCAY', 'CXADR', 'KLC1', 'CRMP1', 'ACAP3']"
6,GO:0030424,axon,cellular_component,7.956284876945331e-12,7.065180970727454e-09,19,161,320,"['SLC6A1', 'KIRREL3', 'NMNAT2', 'CDK5R1', 'MAPT', 'MACO1', 'ATCAY', 'INSR', 'SCN8A', 'DNM3', 'SYT1', 'DGKI', 'ELAVL4', 'GRIK3', 'CTNNA2', 'ATP1A3', 'BSN', 'DSCAML1', 'EPHB1']"
7,GO:0098978,glutamatergic synapse,cellular_component,2.9356311298433687e-10,1.737893628867274e-07,19,161,395,"['CACNG2', 'ERBB4', 'CAMKV', 'SV2A', 'LRFN5', 'CAMK4', 'APBA1', 'DNM3', 'SYT1', 'ERC2', 'ELAVL4', 'GRIK3', 'CACNG4', 'PRKCZ', 'SNAP25', 'LRRC4C', 'BSN', 'SLC1A2', 'EPHB1']"
8,GO:0098982,GABA-ergic synapse,cellular_component,1.251891411370524e-08,5.558397866485127e-06,9,161,80,"['SLC6A1', 'ERC2', 'SV2A', 'LRFN5', 'ERBB4', 'IGSF9B', 'LHFPL4', 'SST', 'BSN']"
9,GO:0043005,neuron projection,cellular_component,4.5379247098124924e-08,1.6118708569253975e-05,15,161,328,"['CPEB3', 'GABRB3', 'RASGRF1', 'STMN2', 'MAPT', 'SYT1', 'RTN1', 'CDK5R2', 'CDK5R1', 'ATCAY', 'IGSF9B', 'CXADR', 'SNAP25', 'SEPTIN3', 'EPHB1']"
10,GO:0008021,synaptic vesicle,cellular_component,3.008119806217711e-07,8.904034626404424e-05,9,161,115,"['APBA1', 'SYT1', 'SVOP', 'SV2A', 'KIRREL3', 'DMXL2', 'RAB3C', 'SNAP25', 'BSN']"
11,GO:0014069,postsynaptic density,cellular_component,5.797815847808132e-07,0.00013587040104822988,12,161,247,"['CPEB3', 'DNM3', 'DGKI', 'RTN1', 'DCLK1', 'CDK5R1', 'CACNG8', 'IGSF9B', 'PRKCZ', 'BCL11A', 'MAPK8IP2', 'BSN']"
12,GO:0042734,presynaptic membrane,cellular_component,6.12028833550585e-07,0.00013587040104822988,9,161,125,"['SLC6A1', 'SYT1', 'SLC1A2', 'ERC2', 'KCNJ3', 'ERBB4', 'GRIK3', 'SNAP25', 'ATP1A3']"
13,GO:0030425,dendrite,cellular_component,7.546544861258737e-07,0.0001489184852621724,15,161,407,"['CPEB3', 'TTLL7', 'KIF21B', 'MAPT', 'EPHB1', 'RTN1', 'SV2A', 'ELAVL4', 'KIRREL3', 'CDK5R1', 'ATCAY', 'GRIK3', 'NDFIP1', 'LHFPL4', 'BSN']"
14,GO:0036477,somatodendritic compartment,cellular_component,2.430298758720892e-06,0.00043162105954883047,4,161,13,"['SNAP25', 'MAPT', 'CACNG2', 'CACNG4']"
15,GO:0030672,synaptic vesicle membrane,cellular_component,3.6279189337564957e-06,0.0005857440023955942,8,161,117,"['SYT1', 'SVOP', 'SCAMP5', 'SV2A', 'DGKI', 'DMXL2', 'RAB3C', 'BSN']"
16,GO:0044306,neuron projection terminus,cellular_component,6.073997768646696e-06,0.000898951669759711,4,161,16,"['SYT1', 'SLC1A2', 'MACO1', 'BSN']"
17,GO:0098839,postsynaptic density membrane,cellular_component,1.1894043068853065e-05,0.001624909268483311,7,161,98,"['CACNG2', 'LRFN5', 'ERBB4', 'GRIK3', 'CACNG8', 'CACNG4', 'LRRC4C']"
18,GO:0043025,neuronal cell body,cellular_component,2.0086700005982125e-05,0.002548141372187447,12,161,351,"['SLC6A1', 'ZC4H2', 'STMN2', 'ATP1A3', 'SEZ6L2', 'MAPT', 'RTN1', 'SV2A', 'CDK5R1', 'MAPK8IP2', 'SEZ6', 'SST']"
19,GO:0098685,Schaffer collateral - CA1 synapse,cellular_component,9.572265800944099e-05,0.011333562708317813,6,161,94,"['APBA1', 'CACNG2', 'PRKCZ', 'LRRC4C', 'INA', 'BSN']"
20,GO:0098793,presynapse,cellular_component,0.00015249984995158498,0.016927483344625932,7,161,146,"['DNM3', 'RAB6B', 'CDK5R1', 'ATCAY', 'AP3B2', 'GNB5', 'SEPTIN3']"
21,GO:0016533,protein kinase 5 complex,cellular_component,0.00018109347059606953,0.018918941398742322,2,161,3,"['CDK5R1', 'CDK5R2']"
22,GO:0005891,voltage-gated calcium channel complex,cellular_component,0.0001939721620609941,0.01913858665668475,4,161,37,"['SCN3A', 'CACNG2', 'CACNG8', 'SCN8A']"
23,GO:0005886,plasma membrane,cellular_component,0.00046210741914028803,0.04319488296806061,57,161,4991,"['CACNG2', 'GABRB3', 'SLC6A1', 'SOX11', 'MICAL1', 'KIRREL3', 'DPYSL2', 'ERBB4', 'CDK5R1', 'CACNG8', 'AMER2', 'KCNH8', 'LHFPL4', 'CELSR3', 'RASGRF1', 'CAMKV', 'MAPT', 'SCAMP5', 'SV2A', 'STXBP5L', 'KCNJ3', 'RALGPS1', 'PAK5', 'GNG2', 'INSR', 'LHFPL3', 'SCN8A', 'KSR2', 'APBA1', 'KCNK3', 'CPEB3', 'DNM3', 'SYT1', 'DGKI', 'GRIK3', 'CACNG4', 'PRKCZ', 'GNAO1', 'SNAP25', 'LRRC4C', 'ATP1A3', 'XKR4', 'GNG4', 'SEZ6L2', 'UNC79', 'SLC1A2', 'PCDH7', 'FCHO1', 'DSCAML1', 'CDK5R2', 'ALK', 'DCLK1', 'RAB3C', 'CXADR', 'SCN3B', 'SEZ6', 'EPHB1']"
