,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes
0,GO:0007399,nervous system development,biological_process,7.886715364706003e-07,0.009854450848200151,13,133,370,"['APBA1', 'DPF1', 'ZC4H2', 'DYRK1A', 'SCN3B', 'ELAVL3', 'DPYSL2', 'DCLK1', 'ERBB4', 'ACTL6B', 'IGSF9B', 'DLX6', 'CRMP1']"
1,GO:0030424,axon,cellular_component,2.7414694208105986e-10,4.868849691359623e-07,16,133,320,"['DYRK1A', 'DNM3', 'MAPT', 'SYT1', 'DGKI', 'EPHB1', 'DSCAML1', 'KIRREL3', 'NMNAT2', 'CDK5R1', 'ATCAY', 'GRIK3', 'MACO1', 'INSR', 'ATP1A3', 'BSN']"
2,GO:0098982,GABA-ergic synapse,cellular_component,8.550327404125482e-07,0.0007592690734863428,7,133,80,"['GAD1', 'LRFN5', 'ERBB4', 'IGSF9B', 'LHFPL4', 'SST', 'BSN']"
3,GO:0043005,neuron projection,cellular_component,1.4398686117527598e-06,0.0008524022181576337,12,133,328,"['CPEB3', 'GABRB3', 'STMN2', 'MAPT', 'SYT1', 'RTN1', 'CDK5R1', 'ATCAY', 'ITSN1', 'IGSF9B', 'SEPTIN3', 'EPHB1']"
4,GO:0030426,growth cone,cellular_component,2.1674835262030204e-06,0.0009623626856341411,8,133,131,"['STMN2', 'KIF21B', 'MAPT', 'KLC1', 'CDK5R1', 'ATCAY', 'ACAP3', 'CRMP1']"
5,GO:0014069,postsynaptic density,cellular_component,4.744161186365898e-06,0.001685126053397167,10,133,247,"['CPEB3', 'DNM3', 'DGKI', 'RTN1', 'DCLK1', 'CDK5R1', 'CACNG8', 'IGSF9B', 'PRKCZ', 'BSN']"
6,GO:0008021,synaptic vesicle,cellular_component,9.780960877104257e-06,0.0025214553588573745,7,133,115,"['APBA1', 'SYT1', 'SVOP', 'KIRREL3', 'DMXL2', 'RAB3C', 'BSN']"
7,GO:0098978,glutamatergic synapse,cellular_component,9.938168644145056e-06,0.0025214553588573745,12,133,395,"['APBA1', 'CACNG2', 'CAMKV', 'DNM3', 'SYT1', 'LRFN5', 'ERBB4', 'GRIK3', 'PRKCZ', 'LRRC4C', 'EPHB1', 'BSN']"
8,GO:0030425,dendrite,cellular_component,1.3397916612646716e-05,0.002974337488007571,12,133,407,"['CPEB3', 'DYRK1A', 'KIF21B', 'MAPT', 'EPHB1', 'RTN1', 'KIRREL3', 'CDK5R1', 'ATCAY', 'GRIK3', 'LHFPL4', 'BSN']"
9,GO:0042734,presynaptic membrane,cellular_component,1.6875952584510197e-05,0.003330187976676679,7,133,125,"['NRXN1', 'SYT1', 'KCNJ3', 'ERBB4', 'GRIK3', 'ITSN1', 'ATP1A3']"
10,GO:0098685,Schaffer collateral - CA1 synapse,cellular_component,3.3021408983925015e-05,0.0058646022355450834,6,133,94,"['APBA1', 'CACNG2', 'PRKCZ', 'LRRC4C', 'INA', 'BSN']"
11,GO:0098839,postsynaptic density membrane,cellular_component,4.18006657615952e-05,0.006748907490235734,6,133,98,"['CACNG2', 'LRFN5', 'ERBB4', 'GRIK3', 'CACNG8', 'LRRC4C']"
12,GO:0043025,neuronal cell body,cellular_component,9.129830404614101e-05,0.013512148998828868,10,133,351,"['ZC4H2', 'NRXN1', 'STMN2', 'ATP1A3', 'SEZ6L2', 'MAPT', 'RTN1', 'CDK5R1', 'SEZ6', 'SST']"
13,GO:0030672,synaptic vesicle membrane,cellular_component,0.00010718947699307364,0.014643731626130677,6,133,117,"['SYT1', 'SVOP', 'DGKI', 'DMXL2', 'RAB3C', 'BSN']"
14,GO:0005874,microtubule,cellular_component,0.00011965043321375299,0.015178512099116095,9,133,294,"['CEP170', 'SYNJ1', 'DNM3', 'KIF21B', 'CCT8', 'MAPT', 'DPYSL2', 'KIF3C', 'KLC1']"
15,GO:0044306,neuron projection terminus,cellular_component,0.00013844992663738552,0.016392471313866445,3,133,16,"['SYT1', 'MACO1', 'BSN']"
16,GO:0098793,presynapse,cellular_component,0.0003741325277885492,0.04152871058452896,6,133,146,"['SYNJ1', 'DNM3', 'CDK5R1', 'ATCAY', 'ITSN1', 'SEPTIN3']"
17,GO:0043197,dendritic spine,cellular_component,0.0004635778170219989,0.04843024723712177,6,133,152,"['APBA1', 'DNM3', 'MAPT', 'DGKI', 'CDK5R1', 'SEZ6']"
