"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","synapse organization","21/146","432/18903",1.88444707640731e-11,3.98183667244865e-08,3.57449855966945e-08,"SEZ6/GABRB3/LRRN3/EPHB1/NRXN1/ERBB4/KIRREL3/DNM3/CACNG2/MAPT/LRRC4C/CAMKV/LRFN5/LHFPL4/CDK5R1/INA/SEZ6L2/BSN/ZC4H2/INSR/APP",21
"GO:0007416","synapse assembly","11/146","184/18903",1.92908957089364e-07,0.000164666701159415,0.000147821453901545,"GABRB3/LRRN3/EPHB1/NRXN1/ERBB4/KIRREL3/DNM3/LRFN5/LHFPL4/BSN/APP",11
"GO:0042391","regulation of membrane potential","16/146","431/18903",2.3379086771332e-07,0.000164666701159415,0.000147821453901545,"GRIK3/SEZ6/GABRB3/KCNH7/NRXN1/SCN3A/AKAP6/KCNJ3/CACNG2/SCN3B/MAPT/ATP1A3/PRKCZ/MLLT11/ANK2/APP",16
"GO:0050804","modulation of chemical synaptic transmission","15/146","448/18903",2.06075900647079e-06,0.000895069821632555,0.000803505028311886,"PLCL1/GRIK3/EPHB1/NRXN1/SYT1/APBA1/DGKI/CPEB3/CACNG2/CACNG8/MAPT/LRRC4C/SORCS3/PRKCZ/APP",15
"GO:0099177","regulation of trans-synaptic signaling","15/146","449/18903",2.1180071501007e-06,0.000895069821632555,0.000803505028311886,"PLCL1/GRIK3/EPHB1/NRXN1/SYT1/APBA1/DGKI/CPEB3/CACNG2/CACNG8/MAPT/LRRC4C/SORCS3/PRKCZ/APP",15
"GO:0050890","cognition","12/146","314/18903",6.04985317900755e-06,0.00213055662787383,0.00191260270676695,"RCAN1/DOP1B/NRXN1/PAK5/CPEB3/MAPT/SORCS3/THRA/PRKCZ/SYNJ1/INSR/APP",12
"GO:0007611","learning or memory","11/146","273/18903",9.12034816019102e-06,0.00275304223749766,0.00247140862927281,"RCAN1/NRXN1/PAK5/CPEB3/MAPT/SORCS3/THRA/PRKCZ/SYNJ1/INSR/APP",11
"GO:0016358","dendrite development","10/146","237/18903",1.58524569839736e-05,0.00418703020089202,0.00375870098488426,"SEZ6/DCLK1/EPHB1/TNIK/CPEB3/DNM3/CDK5R1/ACTL6B/PARP6/APP",10
"GO:0034329","cell junction assembly","13/146","430/18903",2.98685286320552e-05,0.0065783574788798,0.00590539775173308,"GABRB3/LRRN3/EPHB1/NRXN1/ERBB4/KIRREL3/DNM3/LRFN5/LHFPL4/BSN/MYO9A/ANK2/APP",13
"GO:0051966","regulation of synaptic transmission, glutamatergic","6/146","78/18903",3.11327850396583e-05,0.0065783574788798,0.00590539775173308,"GRIK3/NRXN1/SYT1/DGKI/CACNG2/CACNG8",6
