name,shared name,type,avgExpression
GABPB1,GABPB1,GeneralTF,-0.100994942468566
PROX2,PROX2,NeuroDev,0.0
ZNF114,ZNF114,GeneralTF,0.204981454103114
EZR,EZR,GeneralTF,-0.281112600688792
RFX4,RFX4,NeuroDev,0.0767037604629822
ZNF362,ZNF362,GeneralTF,0.202594975793642
ENO1,ENO1,GeneralTF,-0.513587062377244
TPI1,TPI1,NeuroDisease,-0.24723797306428
RORA,RORA,NeuroDisease,-0.0689878355344467
NFIA,NFIA,NeuroDisease,-0.17372761113955
RPS10,RPS10,GeneralTF,-0.100973180198267
NR2F2,NR2F2,NeuroDev,-0.647889433663667
SOX11,SOX11,NeuroDisease,0.236587078663327
SIX3,SIX3,NeuroDisease,0.538426232938441
HESX1,HESX1,NeuroDisease,0.0
RPL6,RPL6,GeneralTF,-0.264458251563538
CELF4,CELF4,NeuroDisease,0.137738268990462
ZNF544,ZNF544,GeneralTF,-0.09880774002494
RFX2,RFX2,GeneralTF,-0.151997097384933
SOX4,SOX4,NeuroDisease,0.213148993687883
NFIB,NFIB,NeuroDisease,-0.143693766511392
PRDM11,PRDM11,GeneralTF,0.207168392514714
HMGB2,HMGB2,GeneralTF,-0.0943936108028714
NR2F1,NR2F1,NeuroDisease,-0.2490252502863
NR4A3,NR4A3,GeneralTF,-0.856327420070619
RPL35,RPL35,GeneralTF,-0.293588751982449
RPS4X,RPS4X,GeneralTF,-0.162079155725529
EBF1,EBF1,GeneralTF,1.07048025303325
PRDM16,PRDM16,GeneralTF,-0.348889034226169
ZFHX3,ZFHX3,NeuroDev,0.512031022417691
NCOR2,NCOR2,NeuroDev,-0.0769815510092634
ID1,ID1,NeuroDev,-0.992260582943818
HMGA2,HMGA2,GeneralTF,-1.51083166659044
PBX3,PBX3,NeuroDev,0.438476125726903
FOS,FOS,NeuroDev,-0.68318990633384
ZNF76,ZNF76,NeuroDev,-0.104550692412188
DLX5,DLX5,NeuroDev,1.15915726089122
RAD21,RAD21,NeuroDisease,0.010591709654119
ATF3,ATF3,GeneralTF,-0.997739004328409
FEZF1,FEZF1,NeuroDev,-1.07795191164474
ZNF93,ZNF93,GeneralTF,-0.397482906004653
H2AFZ,H2AFZ,GeneralTF,-0.173701962720899
HNRNPA1,HNRNPA1,GeneralTF,-0.105574886856063
ZNF578,ZNF578,GeneralTF,0.0
HMGB1,HMGB1,NeuroDev,-0.0827951615290398
CREB5,CREB5,GeneralTF,-0.210291384754407
POU2F1,POU2F1,GeneralTF,0.378159289413293
FEZ1,FEZ1,NeuroDev,0.0960920844509835
RXRG,RXRG,NeuroDev,1.06370623788133
PBX1,PBX1,NeuroDisease,0.460865806650888
TBX3,TBX3,NeuroDev,0.0
RFX1,RFX1,GeneralTF,0.0876997385307372
PKM,PKM,GeneralTF,-0.337348204788549
ZBTB20,ZBTB20,NeuroDisease,0.580962596823286
RBFOX2,RBFOX2,NeuroDev,0.159133511922871
GLI3,GLI3,NeuroDisease,-0.769269493553642
JUND,JUND,GeneralTF,-0.268160033811389
VAX1,VAX1,NeuroDev,2.60345151498612
ZNF521,ZNF521,NeuroDev,-0.239159988167899
LHX1,LHX1,NeuroDev,-3.50552982628037
STAU2,STAU2,GeneralTF,0.0672448274565822
HES4,HES4,NeuroDev,-0.478374831981653
MYC,MYC,GeneralTF,0.419796940702092
TRIM33,TRIM33,GeneralTF,-0.0185006670454201
MEIS1,MEIS1,NeuroDev,0.47382644778731
GTPBP1,GTPBP1,GeneralTF,-0.0588576944569375
HES6,HES6,NeuroDev,-0.0252394788443183
MEIS2,MEIS2,NeuroDisease,0.426455433008864
LHX5,LHX5,NeuroDev,-2.83858872449893
DMRT1,DMRT1,GeneralTF,0.0
ZNF248,ZNF248,GeneralTF,-0.0898599296694773
TBR1,TBR1,NeuroDisease,-1.85224361082226
MSI2,MSI2,NeuroDev,0.0222842902943491
EGR1,EGR1,GeneralTF,-0.429350052402976
RBPJL,RBPJL,GeneralTF,0.0
P4HB,P4HB,GeneralTF,-0.0446727810211589
JUN,JUN,NeuroDev,-0.286281020169732
CERS4,CERS4,GeneralTF,0.0355084950619323
MSI1,MSI1,NeuroDev,-0.102703894484078
NEUROD2,NEUROD2,NeuroDev,-1.04930067785261
LEF1,LEF1,NeuroDev,-2.11021918357554
ZNF765,ZNF765,GeneralTF,0.0531779632511278
RB1,RB1,NeuroDev,-0.153936206503276
STAT1,STAT1,GeneralTF,-0.194323256277566
DLX2,DLX2,NeuroDev,0.899707200698293
FOXK1,FOXK1,GeneralTF,-0.096191407167572
ESRRG,ESRRG,GeneralTF,0.143921028368822
DLX1,DLX1,NeuroDev,0.697970281981891
ZIC1,ZIC1,NeuroDisease,-1.10718196176994
HIVEP3,HIVEP3,NeuroDisease,0.134553010358262
MSRA,MSRA,GeneralTF,0.342492555899017
NR6A1,NR6A1,GeneralTF,-0.0487853429588198
YBX1,YBX1,GeneralTF,-0.0993529502217044
ASH2L,ASH2L,GeneralTF,0.0558567481468879
MECOM,MECOM,GeneralTF,-0.213994954086585
CTCFL,CTCFL,GeneralTF,0.0
HES5,HES5,NeuroDev,0.408843156065064
HSPA5,HSPA5,NeuroDev,-0.0951777952752128
BCL11B,BCL11B,NeuroDisease,0.56061629512928
PPARG,PPARG,GeneralTF,0.0064659403750317
FGF19,FGF19,NeuroDev,0.0
ARID3A,ARID3A,GeneralTF,-0.131215867948185
ZNF668,ZNF668,GeneralTF,0.141144940297047
