name,shared name,type,avgExpression
NR2F2,NR2F2,NeuroDev,0.647889433663667
FOS,FOS,NeuroDev,0.68318990633384
FEZ1,FEZ1,NeuroDev,-0.0960920844509835
JUND,JUND,GeneralTF,0.268160033811389
JUN,JUN,NeuroDev,0.286281020169732
PRDX5,PRDX5,GeneralTF,0.0233259637836549
BCL11A,BCL11A,NeuroDisease,-0.154021580634573
OTP,OTP,NeuroDev,1.27847095382798
SIM1,SIM1,NeuroDisease,0.0
ARG2,ARG2,GeneralTF,-0.055905968766755
UQCRB,UQCRB,GeneralTF,0.247702525155502
ETFB,ETFB,NeuroDisease,0.329411366146832
HLCS,HLCS,HSA21TF,-0.808380595797371
SOD1,SOD1,HSA21TF,-0.416754789446342
KLF6,KLF6,GeneralTF,-0.0516929155056826
ADARB1,ADARB1,HSA21TF,-0.686518406640663
FOSB,FOSB,GeneralTF,1.13142628877433
TCEAL2,TCEAL2,GeneralTF,-0.457201020475838
CYCS,CYCS,GeneralTF,0.111269204661935
THRA,THRA,NeuroDisease,-0.458773308524898
SIM2,SIM2,HSA21TF,0.0
DPF1,DPF1,NeuroDev,-0.14492202811775
TFF3,TFF3,HSA21TF,0.0
MEIS3,MEIS3,NeuroDev,-0.130531705491097
AIRE,AIRE,HSA21TF,0.0
NPDC1,NPDC1,GeneralTF,0.0162306435424634
BACH1,BACH1,HSA21TF,-0.730920634333343
U2AF1,U2AF1,HSA21TF,0.122137684157792
NR2F1,NR2F1,NeuroDisease,0.2490252502863
NR2F2-AS1,NR2F2-AS1,None,0.980967483231473
AC012409.2,AC012409.2,None,1.26229669186537
EGR1,EGR1,GeneralTF,0.429350052402976
TUBB2B,TUBB2B,NeuroDisease,-0.0124093413071586
STMN4,STMN4,NeuroDev,-0.0394875172033497
TUBA1A,TUBA1A,NeuroDisease,-0.223869600197674
TCEAL7,TCEAL7,None,0.240724260250069
UCHL1,UCHL1,NeuroDev,-0.226909206260319
LINC01122,LINC01122,None,-0.287639132289678
TUBB2A,TUBB2A,NeuroDisease,-0.106402844650608
DUSP16,DUSP16,None,0.538961124347555
PTPRD,PTPRD,NeuroDev,0.381420108400163
STMN1,STMN1,NeuroDev,-0.303686427539572
EIF2B1,EIF2B1,NeuroDev,-0.0707347475130795
STMN2,STMN2,NeuroDev,-0.434679890898481
RPL37A,RPL37A,None,0.288929592247687
TUBB,TUBB,NeuroDisease,-0.153849277093267
DTNA,DTNA,None,0.38885212345684
RPS29,RPS29,None,0.287864450847601
PCSK1N,PCSK1N,None,-0.117927117444937
RPS26,RPS26,NeuroDisease,-0.209007103183247
USP9Y,USP9Y,None,-0.822739130178422
ATP5F1E,ATP5F1E,None,0.0907285015198605
RPS27,RPS27,None,-0.0450126264755962
JUNB,JUNB,GeneralTF,0.532966332466368
TRAK1,TRAK1,NeuroDisease,0.0367637423645134
MLLT11,MLLT11,None,-0.434167276980189
SH2D3C,SH2D3C,None,0.295863425840108
AL049779.4,AL049779.4,None,0.203200985233325
BCL11B,BCL11B,NeuroDisease,-0.56061629512928
C4orf48,C4orf48,None,-0.159278302477901
UQCR11,UQCR11,None,0.0312756581961012
YWHAH,YWHAH,NeuroDev,-0.105829136248841
IER2,IER2,NeuroDev,0.455781702629984
CAMK2N1,CAMK2N1,None,0.0182172325045653
ACACA,ACACA,None,-0.199633260386525
RHOB,RHOB,None,-0.138756351226377
TTTY14,TTTY14,None,1.54202531991203
LY6H,LY6H,NeuroDev,0.717193377243007
ATP5MD,ATP5MD,None,0.0390334019932166
AP001527.2,AP001527.2,None,0.0
RTN1,RTN1,NeuroDev,-0.592684927837128
FTH1,FTH1,None,-0.0222956085525318
NR2F1-AS1,NR2F1-AS1,None,0.137878284137548
HES1,HES1,NeuroDev,1.15141974049029
RPL15,RPL15,None,0.163155516340628
BSCL2,BSCL2,NeuroDisease,0.103353124458973
ATP5ME,ATP5ME,None,0.0782657673265083
CALM1,CALM1,NeuroDev,0.113666685242234
RPL37,RPL37,None,0.244399156209092
PAFAH1B3,PAFAH1B3,NeuroDev,0.0258014347358282
TMSB10,TMSB10,None,-0.122051170476654
TUBB3,TUBB3,NeuroDisease,-0.0905833662734368
VAMP2,VAMP2,NeuroDisease,-0.19135027878257
JPT1,JPT1,None,0.108916908575369
COX7B,COX7B,NeuroDev,0.0228020543829347
DYNLT1,DYNLT1,NeuroDev,0.125562471486208
BEX4,BEX4,None,0.163776222124847
RPS28,RPS28,None,0.20991094349519
CNIH2,CNIH2,None,-0.147576024008365
CCN1,CCN1,None,0.370787033237135
RAPGEF6,RAPGEF6,None,-0.0504228028589538
DUSP1,DUSP1,None,0.227214128261869
GUK1,GUK1,None,0.085075669288043
MYL6,MYL6,None,-0.0638633627826933
BEX2,BEX2,None,0.0405635731014052
FIGN,FIGN,None,0.171214550400167
APLP1,APLP1,NeuroDev,-0.177614710026297
CRMP1,CRMP1,NeuroDev,-0.18188325187503
ATP6V0C,ATP6V0C,None,-0.0722208592573517
RPL27A,RPL27A,None,0.375725085874599
ENHO,ENHO,None,0.361783848708736
BEX1,BEX1,NeuroDev,-0.0274218192530869
BASP1,BASP1,NeuroDev,-0.131307822794642
TSPAN7,TSPAN7,NeuroDisease,0.00812281960062
GAP43,GAP43,NeuroDev,-0.253927505257908
RPL34,RPL34,None,0.283988861059471
ATP6V0B,ATP6V0B,None,0.0480346961997
EIF2AK3,EIF2AK3,NeuroDisease,0.167444454940919
SARAF,SARAF,None,0.0759106009639517
NDUFA4,NDUFA4,None,0.103923854028057
MT-ND3,MT-ND3,None,0.307297396870316
RPL39,RPL39,None,0.237507688054946
NDUFA1,NDUFA1,NeuroDisease,0.0357229632387748
COX5B,COX5B,None,0.051868579208843
TOMM7,TOMM7,None,0.133475823689731
RPL41,RPL41,None,0.253935485179601
DRAP1,DRAP1,None,0.159172304438227
PET100,PET100,NeuroDisease,0.0476832342086016
GSTP1,GSTP1,NeuroDev,0.0089381204833565
SELENOW,SELENOW,None,-0.132051586959055
CHMP2A,CHMP2A,None,0.204764394465623
NDUFA3,NDUFA3,None,0.0010356801201473
COX6C,COX6C,None,-0.0740334209637585
NDUFB1,NDUFB1,None,-0.0743116610870305
RPS4X,RPS4X,GeneralTF,0.162079155725529
TTC9B,TTC9B,None,-0.286627747438939
