name,shared name,type,avgExpression
PRDX5,PRDX5,GeneralTF,-0.0233259637836549
OTP,OTP,NeuroDev,-1.27847095382798
UBB,UBB,NeuroDev,-0.092916327120486
SIM1,SIM1,NeuroDisease,0.0
HLCS,HLCS,HSA21TF,0.808380595797371
SOD1,SOD1,HSA21TF,0.416754789446342
ZNF721,ZNF721,GeneralTF,0.123730164478407
ADARB1,ADARB1,HSA21TF,0.686518406640663
PRNP,PRNP,GeneralTF,0.0625894233657123
SIM2,SIM2,HSA21TF,0.0
TFF3,TFF3,HSA21TF,0.0
AIRE,AIRE,HSA21TF,0.0
BACH1,BACH1,HSA21TF,0.730920634333343
U2AF1,U2AF1,HSA21TF,-0.122137684157792
PRDM15,PRDM15,HSA21TF,0.371156998559105
OLIG1,OLIG1,HSA21TF,0.0
STUB1,STUB1,NeuroDisease,-0.259750945450483
UCHL1,UCHL1,NeuroDev,0.226909206260319
HSP90AA1,HSP90AA1,NeuroDev,-0.113657493994707
HSPB1,HSPB1,None,-0.2700574510317
TUBA1A,TUBA1A,NeuroDisease,0.223869600197674
PCSK1N,PCSK1N,None,0.117927117444937
C4orf48,C4orf48,None,0.159278302477901
UQCR11,UQCR11,None,-0.0312756581961012
HSPA1A,HSPA1A,None,0.156396028066235
AP001527.2,AP001527.2,None,0.0
FTH1,FTH1,None,0.0222956085525318
HSPA1B,HSPA1B,None,-0.275239250710816
TMSB10,TMSB10,None,0.122051170476654
DYNLT1,DYNLT1,NeuroDev,-0.125562471486208
ZFAND2A,ZFAND2A,None,-0.132017134459022
GUK1,GUK1,None,-0.085075669288043
MYL6,MYL6,None,0.0638633627826933
ATP6V0C,ATP6V0C,None,0.0722208592573517
CYCS,CYCS,GeneralTF,-0.111269204661935
BEX1,BEX1,NeuroDev,0.0274218192530869
CACYBP,CACYBP,None,0.0345859545517372
HSPH1,HSPH1,None,-0.0586045189669692
GAP43,GAP43,NeuroDev,0.253927505257908
ATP6V0B,ATP6V0B,None,-0.0480346961997
MT-ND3,MT-ND3,None,-0.307297396870316
DNAJB1,DNAJB1,NeuroDev,-0.169405462509514
COX5B,COX5B,None,-0.051868579208843
DRAP1,DRAP1,None,-0.159172304438227
GSTP1,GSTP1,NeuroDev,-0.0089381204833565
CHMP2A,CHMP2A,None,-0.204764394465623
ATP5MD,ATP5MD,None,-0.0390334019932166
ATP5MC1,ATP5MC1,None,-0.117674289667726
NR1D2,NR1D2,GeneralTF,-0.243061942442608
ETFB,ETFB,NeuroDisease,-0.329411366146832
COX6C,COX6C,None,0.0740334209637585
NDUFA13,NDUFA13,None,-0.0786964522259953
EYA1,EYA1,NeuroDev,0.0
NDUFA1,NDUFA1,NeuroDisease,-0.0357229632387748
SPINT2,SPINT2,NeuroDev,-0.172464442109114
SELENOW,SELENOW,None,0.132051586959055
RNASEK,RNASEK,None,-0.190532237186398
MT-ND2,MT-ND2,None,-0.478448400940699
SRP14,SRP14,None,-0.0087423398345752
BEX3,BEX3,None,0.180283930241239
RABAC1,RABAC1,None,-0.0791276880920706
ATP5IF1,ATP5IF1,None,-0.114382051342569
ECH1,ECH1,None,-0.0780577578762258
C1orf122,C1orf122,None,-0.101455109610591
AK1,AK1,NeuroDisease,0.0545384918975609
MARCKSL1,MARCKSL1,NeuroDev,0.115436647205366
UBL5,UBL5,None,-0.0561097663815861
NDUFB1,NDUFB1,None,0.0743116610870305
NDUFA4,NDUFA4,None,-0.103923854028057
COX7B,COX7B,NeuroDev,-0.0228020543829347
TUBB2A,TUBB2A,NeuroDisease,0.106402844650608
MAGEH1,MAGEH1,None,0.616785474062473
GNG3,GNG3,None,0.245056860742582
ITM2B,ITM2B,NeuroDev,-0.0821838373715798
COX6B1,COX6B1,NeuroDisease,0.0482400704758048
NDUFA3,NDUFA3,None,-0.0010356801201473
COX7A2,COX7A2,None,0.028984144364881
MPC1,MPC1,None,0.0273803367926937
