Gene	UniProtID	Name	GO_Term_ID	GO_Term_Name	Taxonomy_IDs	Taxonomy_Name
CCDC14	UniProtKB:Q49A88	Coiled-coil domain-containing protein 14	GO:0021762	substantia nigra development	GO:0008150|GO:0060322|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0021762|GO:0048857|GO:0030901|GO:0007417|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|substantia nigra development|neural nucleus development|midbrain development|central nervous system development|system development|developmental process|multicellular organismal process
INTU	UniProtKB:Q9ULD6	Protein inturned	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
INTU	UniProtKB:Q9ULD6	Protein inturned	GO:0021513	spinal cord dorsal/ventral patterning	GO:0008150|GO:0007275|GO:0048856|GO:0021511|GO:0007399|GO:0007389|GO:0021513|GO:0048513|GO:0003002|GO:0009953|GO:0021510|GO:0007417|GO:0048731|GO:0032502|GO:0032501	biological_process|multicellular organism development|anatomical structure development|spinal cord patterning|nervous system development|pattern specification process|spinal cord dorsal/ventral patterning|animal organ development|regionalization|dorsal/ventral pattern formation|spinal cord development|central nervous system development|system development|developmental process|multicellular organismal process
INTU	UniProtKB:Q9ULD6	Protein inturned	GO:0021915	neural tube development	GO:0021915|GO:0009790|GO:0008150|GO:0043009|GO:0007275|GO:0009792|GO:0035295|GO:0048856|GO:0007399|GO:0060429|GO:0009888|GO:0048731|GO:0032502|GO:0032501	neural tube development|embryo development|biological_process|chordate embryonic development|multicellular organism development|embryo development ending in birth or egg hatching|tube development|anatomical structure development|nervous system development|epithelium development|tissue development|system development|developmental process|multicellular organismal process
INTU	UniProtKB:Q9ULD6	Protein inturned	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
SPATA5	UniProtKB:Q8NB90	Ribosome biogenesis protein SPATA5	GO:0007420	brain development	GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
POMGNT2	UniProtKB:Q8NAT1	"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2"	GO:0001764	neuron migration	GO:0008150|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048699|GO:0009987|GO:0048869|GO:0048870|GO:0001764|GO:0048731|GO:0030154|GO:0032502|GO:0016477|GO:0032501	biological_process|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|generation of neurons|cellular process|cellular developmental process|cell motility|neuron migration|system development|cell differentiation|developmental process|cell migration|multicellular organismal process
TP63	UniProtKB:Q9H3D4	Tumor protein 63	GO:0048485	sympathetic nervous system development	GO:0048485|GO:0008150|GO:0048483|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0032502|GO:0032501	sympathetic nervous system development|biological_process|autonomic nervous system development|system development|multicellular organism development|anatomical structure development|nervous system development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021537	telencephalon development	GO:0008150|GO:0060322|GO:0021537|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|telencephalon development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|central nervous system development|forebrain development|system development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021555	midbrain-hindbrain boundary morphogenesis	GO:0009790|GO:0021915|GO:0043009|GO:0060322|GO:0007275|GO:0009792|GO:0021555|GO:0007399|GO:0009952|GO:0048856|GO:0009653|GO:0048513|GO:0060429|GO:0021532|GO:0032502|GO:0032501|GO:0008150|GO:0035295|GO:0021903|GO:0007389|GO:0030917|GO:0007420|GO:0003002|GO:0009888|GO:0007417|GO:0048731|GO:0048598	embryo development|neural tube development|chordate embryonic development|head development|multicellular organism development|embryo development ending in birth or egg hatching|midbrain-hindbrain boundary morphogenesis|nervous system development|anterior/posterior pattern specification|anatomical structure development|anatomical structure morphogenesis|animal organ development|epithelium development|neural tube patterning|developmental process|multicellular organismal process|biological_process|tube development|rostrocaudal neural tube patterning|pattern specification process|midbrain-hindbrain boundary development|brain development|regionalization|tissue development|central nervous system development|system development|embryonic morphogenesis
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021557	oculomotor nerve development	GO:0008150|GO:0007275|GO:0048856|GO:0007399|GO:0021545|GO:0021557|GO:0021783|GO:0021675|GO:0048483|GO:0007417|GO:0048731|GO:0048486|GO:0032502|GO:0032501	biological_process|multicellular organism development|anatomical structure development|nervous system development|cranial nerve development|oculomotor nerve development|preganglionic parasympathetic fiber development|nerve development|autonomic nervous system development|central nervous system development|system development|parasympathetic nervous system development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021558	trochlear nerve development	GO:0008150|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0021545|GO:0021558|GO:0032502|GO:0032501|GO:0021675	biological_process|system development|multicellular organism development|anatomical structure development|nervous system development|cranial nerve development|trochlear nerve development|developmental process|multicellular organismal process|nerve development
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021575	hindbrain morphogenesis	GO:0008150|GO:0060322|GO:0007275|GO:0048856|GO:0007399|GO:0009653|GO:0048513|GO:0007420|GO:0021575|GO:0007417|GO:0048731|GO:0030902|GO:0032502|GO:0032501	biological_process|head development|multicellular organism development|anatomical structure development|nervous system development|anatomical structure morphogenesis|animal organ development|brain development|hindbrain morphogenesis|central nervous system development|system development|hindbrain development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021861	forebrain radial glial cell differentiation	GO:0008150|GO:0060322|GO:0007275|GO:0007399|GO:0060019|GO:0048856|GO:0022008|GO:0048513|GO:0007420|GO:0048699|GO:0021861|GO:0048869|GO:0009987|GO:0021872|GO:0030900|GO:0007417|GO:0048731|GO:0042063|GO:0030154|GO:0032502|GO:0010001|GO:0032501	biological_process|head development|multicellular organism development|nervous system development|radial glial cell differentiation|anatomical structure development|neurogenesis|animal organ development|brain development|generation of neurons|forebrain radial glial cell differentiation|cellular developmental process|cellular process|forebrain generation of neurons|forebrain development|central nervous system development|system development|gliogenesis|cell differentiation|developmental process|glial cell differentiation|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021870	Cajal-Retzius cell differentiation	GO:0008150|GO:0060322|GO:0030182|GO:0007275|GO:0007399|GO:0048856|GO:0021953|GO:0022008|GO:0048513|GO:0007420|GO:0048699|GO:0021870|GO:0048869|GO:0009987|GO:0021895|GO:0030900|GO:0007417|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|head development|neuron differentiation|multicellular organism development|nervous system development|anatomical structure development|central nervous system neuron differentiation|neurogenesis|animal organ development|brain development|generation of neurons|Cajal-Retzius cell differentiation|cellular developmental process|cellular process|cerebral cortex neuron differentiation|forebrain development|central nervous system development|system development|cell differentiation|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021984	adenohypophysis development	GO:0008150|GO:0060322|GO:0007275|GO:0021984|GO:0048856|GO:0007399|GO:0048513|GO:0021536|GO:0035270|GO:0007420|GO:0048732|GO:0021983|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|multicellular organism development|adenohypophysis development|anatomical structure development|nervous system development|animal organ development|diencephalon development|endocrine system development|brain development|gland development|pituitary gland development|central nervous system development|forebrain development|system development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0030901	midbrain development	GO:0008150|GO:0030901|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|midbrain development|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0035881	amacrine cell differentiation	GO:0035881|GO:0008150|GO:0030182|GO:0007275|GO:0060041|GO:0007399|GO:0048856|GO:0022008|GO:0048513|GO:0048699|GO:0048869|GO:0009987|GO:0007423|GO:0048880|GO:0001654|GO:0048731|GO:0150063|GO:0003407|GO:0043010|GO:0030154|GO:0032502|GO:0032501	amacrine cell differentiation|biological_process|neuron differentiation|multicellular organism development|retina development in camera-type eye|nervous system development|anatomical structure development|neurogenesis|animal organ development|generation of neurons|cellular developmental process|cellular process|sensory organ development|sensory system development|eye development|system development|visual system development|neural retina development|camera-type eye development|cell differentiation|developmental process|multicellular organismal process
