"Gene","IN_2","IN_1","IN","nIN_1","nIN","nEN_1","nEN","IPC","MGE","RG"
"LINC01409",0.347270687075642,-0.663075485891724,-0.668930043633053,0.85547914472777,-2.94455561940236,0.425603302744759,0.174239428159663,-0.12668076116014,0.0958411322884666,-0.0643861774057801
"LINC01128",0.34592306484873,-2.84694045726947,0.591947680020182,0.402349987015607,-2.85929159667737,0.828230475122144,0.712282002686899,-1.41311035634971,-0.0989422505004613,-0.012728062746571
"AL645608.6",1.21770854231158,0.0990177440347889,-0.154763165494107,1.32224726681291,-1.64733021831521,0.896041880579241,0.543718344436448,-0.211703804429792,-0.814284952505342,-0.147440335306897
"SAMD11",-0.336866036161567,-0.467202352190124,-0.241347666839497,0.353962209690544,-1.37058857868455,1.80013559611319,0.165134021573543,-0.555332122898586,0.24060471537076,-0.696170865611447
"NOC2L",-0.148233511538272,-0.217520574359055,-0.487568634510136,0.522000207069468,1.07789237357972,0.529972972475373,-0.147665571982115,-0.142677526118947,-0.488490127687629,-0.114286073322894
"AL645608.7",-1.50456923431983,-1.1468691135683,1.11286005446357,0.877648264023518,-0.353992750966191,1.79408131149559,0.719962503700333,-0.165009049320675,-0.530418085581599,-0.346010580856894
"HES4",-0.341385043142154,-1.05520270265047,-0.488373535101844,-0.885428648476495,-1.44808921181955,-0.176146261696351,-0.178202428694441,-0.43724507868664,-0.718530418655829,-0.484038896816066
"ISG15",-0.580741157296667,-2.21958218239629,-0.0701796108970232,-1.45625160500803,-1.98661504896497,0.0639477127060473,0.0786544171990728,-0.361877079410276,-0.296630857285178,-0.0394481600387413
"AGRN",-0.365249200275127,-0.868635709397096,-0.00840694731998844,-1.10732690160923,0.272822416102009,-0.0409620258688907,-0.0216098789320953,-0.767046751277273,-0.494693567038841,-0.306062567685458
"C1orf159",-0.0573352626075233,-0.0974167472660212,0.229247796169447,-2.14745525039442,-2.85057247858159,0.837628513830262,0.285083041697293,0.241195134211381,-0.0312989188029429,0.253718339899158
"SDF4",0.0456292700053182,-0.353385880078687,-0.942910521096612,-0.54130785067421,0.150736082793346,-0.137275965043086,-0.182968929208779,-0.156148076337696,-0.309018939894119,-0.179715073838723
"B3GALT6",-0.325285986287137,-0.278260752537568,0.510442592037306,1.06694109738622,0.154730106702748,-0.227621544049703,-0.0837850815125381,-0.146090051479373,-0.176524100809596,-0.279355670632302
"UBE2J2",-0.171049034824049,-0.0964799699251466,0.160149631064807,-0.507038328295758,-0.15139790420263,-0.214454507453273,-0.0829106821829959,-0.251426947821591,-0.0504814382790075,-0.206711145114549
"ACAP3",-0.149047564178671,0.430213054338491,-0.0440693098642188,0.0664365244335887,-0.00862550591204725,0.0814168667227643,-0.377175968439875,0.0499649571497102,0.958382651530127,0.300883850915169
"PUSL1",-0.268511190443926,-2.66663375471615,-0.250323777618314,-1.32207832706191,-2.68813768527196,-0.292844797934746,-1.0771808905779,-0.0580108985436403,-0.563567258932933,-0.40502288774112
"INTS11",0.301735492825236,0.886037277782928,-0.104301019835845,0.56546434692098,-0.391780276961158,-0.179906404906624,0.208126616115318,0.615487840911459,0.0776137350750384,-0.0290412298279836
"CPTP",0.0610968049981729,0.378550638756701,-0.0539470161839319,-0.182461170933259,0.498045530591434,0.212072564842172,-0.210022285441925,-0.277464762324727,0.49695915497425,0.188544896259824
"DVL1",-0.638491170296693,0.440584746852589,1.50163376126225,0.824453846367743,-2.09172409562185,0.0270859746650188,-0.536259217574021,-1.2667068654583,-0.324338410192326,-0.0478060324932669
"AURKAIP1",-0.000187494889510198,-0.25254114633244,-0.409568756400117,-0.17742777482865,0.46516708676239,0.189850378035006,-0.347350969089461,-0.213796807270701,-0.336586928537002,-0.26313125157084
"CCNL2",0.0615790071618378,0.191687416059124,-0.00433541434468293,0.287026668077141,-0.11492745731518,-0.111763728700759,0.0490515526061862,-0.361082463712598,0.0643608507211584,0.151795237259001
"MRPL20-AS1",-0.607621570862079,-0.440605875245745,-0.88541956137745,-0.352688482953657,-1.67206237361715,-0.284097594492637,-0.459234291074639,-0.155096885767636,-0.271471323727358,-0.465317936779517
"MRPL20",0.178242715262451,0.224327074540341,-0.293170712125007,-0.136771938162811,-0.253873939071728,-0.115766126205154,-0.104347876792568,-0.265017931083126,-0.145505446637761,-0.286150921661944
"ATAD3B",-0.0669474297400535,0.753249308028146,0.85086571572296,-2.19063676685387,-2.55686522143928,-0.0284172214396552,-0.148492679751584,0.13257477764059,-0.193739316557881,0.19229739377667
"ATAD3A",0.0512389483112607,0.162744283217592,-0.370332158905317,-0.557450794063668,0.876348731518935,0.00988614569139495,-0.0937949247757484,-0.517205583956592,-0.123543849952586,-0.177867349368682
"TMEM240",0.351871665508231,-0.164145705046577,0.479167920819768,0.653432182477975,0.667796979888537,0.0647462077145084,0.0106323009797739,0.359590091181985,0.418092157759398,0.206176107234109
"SSU72",-0.167093817019795,-0.0686865856884489,-0.322870169185773,-0.186193518041848,-0.154583381281344,-0.22512318094202,-0.124981890802519,-0.123732502304804,-0.280915233066174,-0.289146032369225
"AL645728.1",-0.640189701721486,0.228143384526955,2.86863475390661,-1.09015634511762,-2.23522358018545,-0.0649420317511241,0.44060177553392,-0.0140331073459973,-0.664374846474875,-0.237714680209381
"AL691432.2",-1.03313892885189,-2.97595893713064,0.415985611793817,0.574401291037981,-2.14001545369942,0.0124437049744529,0.140894228293533,-0.126243955627835,-0.0184074227194878,-0.181822441769012
"MIB2",0.250597788311965,0.151127723680762,-0.7289075656031,0.109104192047475,0.761767124438459,0.0282688324773394,-0.0821108617804819,-0.173237234279153,-0.297950150273882,-0.0565701804717037
"CDK11B",0.381815502441253,0.100115857972614,-0.7925682284186,0.184743823944207,-0.0187752168150571,-0.247217382535273,-0.173332561434081,-0.150525460243687,-0.0662659664419327,-0.014818233214239
"SLC35E2B",0.345897965157976,0.513437498116831,0.381899281113819,0.696504434873072,0.716560216732977,0.3644408909018,0.505695565331542,-0.0855045344235713,0.204986154636491,0.398883451503668
"CDK11A",0.737368576510731,0.671871574056495,0.597839117371604,-0.0301441732514499,-0.217423129829309,0.893376516728295,0.537416917313445,0.0344477866613802,0.602894260588455,0.501788281758668
"SLC35E2A",0.313434605954809,0.682161474582475,0.546051079633501,0.335219174931718,-0.151212782648328,-0.0229262825835831,0.592411937923206,0.633345142121701,0.969762477812872,0.630854634880932
"NADK",0.251172542362154,1.05122860344008,-0.200274198479478,-0.256736242053374,-2.33558006629318,0.298795871618662,-0.0962327419129236,-0.0680930432954593,-0.073834742478077,-0.146396047992157
"GNB1",0.0402941314516712,0.0223346538708584,-0.0417817082346312,-0.209218104003448,-0.269642537845968,-0.090334981346514,-0.0617147939515368,-0.0362756663887183,0.236930760156877,0.0824790307435572
"PRKCZ",0.810905339931537,-0.0923908201675001,-0.836727028506368,1.03362877253917,0.579279575362972,0.0258172199809784,0.140493561370591,0.483844534881874,1.54154673273648,0.087732388996882
"FAAP20",0.430115924023276,-0.167957688397318,0.315589993540117,0.12633023988717,0.446945666929782,-0.349886274917091,-0.15607462817535,0.0289657007646536,0.0470853877508425,-0.353789287529288
"SKI",-0.306625928039699,-1.05828278150907,-0.111208498823274,-0.10680488502373,0.00512510760206049,-0.429332575124068,-0.22693794496383,-0.351207669977656,-0.260217777742432,0.0245816064452186
"MORN1",-0.414449991679726,-0.0712433692692369,0.309341814180511,-0.398394234779199,-2.61511388456323,0.0935596726264484,-0.384020089028944,-0.188561134368047,0.0350522003533496,-0.140363854329514
"RER1",0.264831496821587,-1.02176962161095,0.234395466162527,-0.179250804154867,-0.592848034082721,0.0811444339883528,0.124242593769625,0.00389989175993694,0.0548485177706193,-0.185566639988085
"PEX10",-0.462489364379027,-2.98223533242424,1.76313879439994,-0.765374761920119,-0.116902826245855,-0.365314286300111,-0.523687151804148,0.120288436742466,-0.47186273163466,-0.152800627580962
"PANK4",0.428100108132344,-0.0715260248847334,-0.0144494663576246,0.14054040694013,0.865554050224724,0.287773843588369,0.00985354062549129,0.841237359888628,-0.0621169537183553,-0.131122211976801
"HES5",0.494852892762435,-2.113254492732,-0.718465797743231,-0.604064240287443,-0.518263222001857,0.0936725386150463,0.678032689549168,0.115645812947129,-0.15751023763948,0.444405626500254
"AL139246.5",0.894865440601463,2.09337225958562,-2.63535834747011,-1.99792550065452,0.0810878600223041,0.509618977599762,0.159718797710004,0.0105664240854233,-0.3722945724169,0.222089883021665
"PRXL2B",-0.217933614840417,0.599013886197275,-0.371773003510019,-0.220751988891837,2.37549713198898,0.277022098121953,-0.0577648374549908,0.302821281703376,-0.548896028149912,-0.166054621610881
"PRDM16-DT",-1.73135621578854,-1.4721796144071,-0.985036203143488,-2.9621182193394,-1.42834204509849,-0.508130014561665,0.0925142220698434,0.0483252000549362,-0.574743832592646,0.365168208890096
"PRDM16",0.511084209470515,-2.65775452693807,-0.856205520647437,-0.79284263232118,-2.64580226259638,-0.0743614347936681,0.55224929028686,0.603153180184335,-0.669330790312371,0.538593453020555
"MEGF6",0.040373172578458,-1.61172173613619,-0.484471111888443,0.14904907536706,-1.64402842660583,-1.80581151468124,-0.484137334113474,0.113596973678628,-0.702555777506511,-0.384363989842477
