TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
CELF4,ERBB4,161.2315182567093,NeuroDisease,0.16357286576412958,NeuroDev,-0.7079398838372575
CELF4,STMN2,150.32259030040066,NeuroDisease,0.16357286576412958,NeuroDev,0.42899151615732
CELF4,CACNA1C,130.3242692333272,NeuroDisease,0.16357286576412958,NeuroDisease,0.12931453675792187
CELF4,CTNNA2,120.58466751083562,NeuroDisease,0.16357286576412958,NeuroDisease,0.21995376159926
CELF4,ADORA1,120.50225184862532,NeuroDisease,0.16357286576412958,NeuroDev,-0.2522599391731912
CELF4,MAPT,117.9560521416944,NeuroDisease,0.16357286576412958,NeuroDev,0.4608878669866546
CELF4,SEMA6D,102.05846131576044,NeuroDisease,0.16357286576412958,NeuroDev,0.464838187089512
CELF4,NMNAT2,100.3852225911744,NeuroDisease,0.16357286576412958,None,0.6992336640821654
RBFOX2,MAPT,95.2756881664338,NeuroDev,0.13426450174246582,NeuroDev,0.4608878669866546
CELF4,FAM155A,95.11512408735192,NeuroDisease,0.16357286576412958,None,0.1886915198317341
CELF4,DAB1,94.87481135887636,NeuroDisease,0.16357286576412958,NeuroDev,-0.13691089461845035
CELF4,AC069228.1,93.71402889390772,NeuroDisease,0.16357286576412958,None,-0.11779332340569329
CELF4,MACROD2,92.64738220640584,NeuroDisease,0.16357286576412958,NeuroDev,0.17925996065732358
RBFOX2,NDFIP1,91.84200786606256,NeuroDev,0.13426450174246582,None,0.20957033236127715
CELF4,MYT1L,90.73571808558302,NeuroDisease,0.16357286576412958,NeuroDisease,0.2516380213506767
RBFOX2,FGF14,89.72325278908572,NeuroDev,0.13426450174246582,NeuroDisease,0.18091105827788653
CELF4,RTN1,88.32167975459095,NeuroDisease,0.16357286576412958,NeuroDev,0.6010365525964301
RBFOX2,GABRB3,84.57683600174376,NeuroDev,0.13426450174246582,NeuroDisease,0.4343778296195168
CELF4,ERC2,82.99643431915435,NeuroDisease,0.16357286576412958,None,-0.046331276649659005
CELF4,SNAP25,82.4018951870719,NeuroDisease,0.16357286576412958,NeuroDisease,0.15115890051354475
CELF4,MAST1,81.83591709680573,NeuroDisease,0.16357286576412958,NeuroDisease,0.16181233940514891
CELF4,CXADR,81.3082790496294,NeuroDisease,0.16357286576412958,HSA21gene,0.593612051773126
CELF4,DCLK1,80.87193165702655,NeuroDisease,0.16357286576412958,NeuroDev,0.41106597790746024
CELF4,SNAP91,80.75841885997238,NeuroDisease,0.16357286576412958,None,0.17794151877537914
RBFOX2,TNRC6A,80.20132937606552,NeuroDev,0.13426450174246582,None,0.1880926744172567
CELF4,DNM3,80.04566347253942,NeuroDisease,0.16357286576412958,NeuroDev,0.9799478754150173
RBFOX2,APP,79.74677580341836,NeuroDev,0.13426450174246582,HSA21gene,0.6908510894010316
RBFOX2,XKR4,79.62819580946812,NeuroDev,0.13426450174246582,None,0.17748258331082084
CELF4,SCN3B,79.37390763645992,NeuroDisease,0.16357286576412958,NeuroDev,0.5931161861489287
RBFOX2,AKAP6,79.29991228711722,NeuroDev,0.13426450174246582,None,0.27377079131229615
CELF4,CELF5,78.90715064722565,NeuroDisease,0.16357286576412958,GeneralTF,0.29110600856273516
RBFOX2,RTN1,78.41289169336561,NeuroDev,0.13426450174246582,NeuroDev,0.6010365525964301
CELF4,FGF14,78.4000430227405,NeuroDisease,0.16357286576412958,NeuroDisease,0.18091105827788653
CELF4,GABRB3,78.1674399154518,NeuroDisease,0.16357286576412958,NeuroDisease,0.4343778296195168
RBFOX2,MYT1L,78.00320983543698,NeuroDev,0.13426450174246582,NeuroDisease,0.2516380213506767
CELF4,UNC79,77.88624641551256,NeuroDisease,0.16357286576412958,None,0.4459803021335703
CELF4,KCNIP1,77.4960810775285,NeuroDisease,0.16357286576412958,GeneralTF,-0.055235562968949735
RBFOX2,HECW1,77.21900046950782,NeuroDev,0.13426450174246582,None,0.030500124691769742
CELF4,POU2F2,76.96100256250223,NeuroDisease,0.16357286576412958,GeneralTF,0.08883763193558052
CELF4,SEZ6L2,76.8109555586742,NeuroDisease,0.16357286576412958,NeuroDev,0.16041850098335317
CELF4,XKR4,76.48220747936189,NeuroDisease,0.16357286576412958,None,0.17748258331082084
CELF4,ARHGAP44,76.4706624540723,NeuroDisease,0.16357286576412958,None,0.04406898633968305
RBFOX2,PRKAR2B,76.34106632860819,NeuroDev,0.13426450174246582,None,0.17554271558561713
RBFOX2,MYCBP2,75.85037274231114,NeuroDev,0.13426450174246582,NeuroDev,0.10539844446278519
CELF4,AC005753.2,75.02383959165117,NeuroDisease,0.16357286576412958,None,-0.3665059448292381
CELF4,KCNMB2-AS1,74.60020685235732,NeuroDisease,0.16357286576412958,None,-0.8848699838935303
RBFOX2,GPR137C,73.96231403222951,NeuroDev,0.13426450174246582,None,0.13518601473117328
RBFOX2,HERC1,73.67169071323467,NeuroDev,0.13426450174246582,NeuroDisease,0.07284924337419371
CELF4,CPEB3,73.60757282583562,NeuroDisease,0.16357286576412958,None,0.4834937741817364
CELF4,DSCAML1,72.73166876717161,NeuroDisease,0.16357286576412958,NeuroDev,0.22771257824499483
RBFOX2,CXADR,72.73070859315503,NeuroDev,0.13426450174246582,HSA21gene,0.593612051773126
CELF4,RABGAP1L,72.3529651365803,NeuroDisease,0.16357286576412958,None,0.41958048873731213
CELF4,RUNX1T1,72.31223652864523,NeuroDisease,0.16357286576412958,None,0.5503915713118437
CELF4,SYT1,71.19687501747815,NeuroDisease,0.16357286576412958,NeuroDisease,-0.1088369196784118
CELF4,CACNG2,70.88759534321173,NeuroDisease,0.16357286576412958,None,0.842944927731577
RBFOX2,MARK3,70.71921396114506,NeuroDev,0.13426450174246582,None,-0.08983241999639469
RBFOX2,DCLK1,70.68932095244841,NeuroDev,0.13426450174246582,NeuroDev,0.41106597790746024
CELF4,ASXL3,70.18244960182662,NeuroDisease,0.16357286576412958,NeuroDisease,0.36735450945351034
CELF4,REEP1,69.96423074882422,NeuroDisease,0.16357286576412958,None,0.3873533453493707
CELF4,GPR137C,69.8500000410336,NeuroDisease,0.16357286576412958,None,0.13518601473117328
