name,shared name,type,avgExpression
CELF4,CELF4,NeuroDisease,0.137738268990462
RBFOX2,RBFOX2,NeuroDev,0.159133511922871
ERBB4,ERBB4,NeuroDev,-0.771407502193428
STMN2,STMN2,NeuroDev,0.434679890898481
CACNA1C,CACNA1C,NeuroDisease,0.168515063431206
CTNNA2,CTNNA2,NeuroDisease,0.195681289336205
ADORA1,ADORA1,NeuroDev,-0.103052797221947
MAPT,MAPT,NeuroDev,0.487794529737028
SEMA6D,SEMA6D,NeuroDev,0.461785456558112
NMNAT2,NMNAT2,None,0.69432852569929
FAM155A,FAM155A,None,0.181179038234798
DAB1,DAB1,NeuroDev,-0.184883591996765
AC069228.1,AC069228.1,None,-0.123831064595725
MACROD2,MACROD2,NeuroDev,0.169200488376557
NDFIP1,NDFIP1,None,0.210010416754322
MYT1L,MYT1L,NeuroDisease,0.286596523124417
FGF14,FGF14,NeuroDisease,0.182935905561216
RTN1,RTN1,NeuroDev,0.592684927837128
GABRB3,GABRB3,NeuroDisease,0.447370201329481
ERC2,ERC2,None,-0.0030358423846938
SNAP25,SNAP25,NeuroDisease,0.145239247727199
MAST1,MAST1,NeuroDisease,0.151631209363709
CXADR,CXADR,HSA21gene,0.593096662750978
DCLK1,DCLK1,NeuroDev,0.422006537558164
SNAP91,SNAP91,None,0.15520411053905
TNRC6A,TNRC6A,None,0.221210887330306
DNM3,DNM3,NeuroDev,1.0010645573483
APP,APP,HSA21gene,0.696731563295763
XKR4,XKR4,None,0.241891268388134
SCN3B,SCN3B,NeuroDev,0.582598981888425
AKAP6,AKAP6,None,0.314467200696956
CELF5,CELF5,GeneralTF,0.311778742585929
UNC79,UNC79,None,0.476569333002842
KCNIP1,KCNIP1,GeneralTF,0.255523520367825
HECW1,HECW1,None,0.11361016273566
POU2F2,POU2F2,GeneralTF,0.137864004285052
SEZ6L2,SEZ6L2,NeuroDev,0.135041388752834
ARHGAP44,ARHGAP44,None,-0.0190335442879762
PRKAR2B,PRKAR2B,None,0.186547747594267
MYCBP2,MYCBP2,NeuroDev,0.147481428064929
AC005753.2,AC005753.2,None,-0.186882002568519
KCNMB2-AS1,KCNMB2-AS1,None,-1.09328941654354
GPR137C,GPR137C,None,0.145737536170713
HERC1,HERC1,NeuroDisease,0.104785739689214
CPEB3,CPEB3,None,0.489623073936195
DSCAML1,DSCAML1,NeuroDev,0.281925918034762
RABGAP1L,RABGAP1L,None,0.435048746758475
RUNX1T1,RUNX1T1,None,0.541654437069808
SYT1,SYT1,NeuroDisease,-0.0860594547602588
CACNG2,CACNG2,None,0.867838638982889
MARK3,MARK3,None,-0.0605323570393101
ASXL3,ASXL3,NeuroDisease,0.354568919926185
REEP1,REEP1,None,0.411457484644856
SCN3A,SCN3A,NeuroDisease,0.485623173222335
ANK2,ANK2,NeuroDisease,0.390685601604312
RNF24,RNF24,None,0.106203937264384
NRXN1,NRXN1,NeuroDisease,0.279066183753569
ATP1A3,ATP1A3,NeuroDisease,0.179364599514377
GAP43,GAP43,NeuroDev,0.253927505257908
RTN3,RTN3,NeuroDev,0.252602423977562
ANKS1B,ANKS1B,NeuroDisease,0.40531854767842
DAAM1,DAAM1,None,0.105793814342229
PTPRO,PTPRO,NeuroDev,0.424461046646344
PGM2L1,PGM2L1,None,0.212770772231631
RAB3C,RAB3C,None,0.398561165431669
RASGRF1,RASGRF1,NeuroDev,0.361058822324041
SEZ6L,SEZ6L,NeuroDev,0.704731462023503
DOK6,DOK6,None,-0.0274134877174129
TNRC6B,TNRC6B,NeuroDisease,0.150536947222509
KSR2,KSR2,None,0.560652851502912
MTMR7,MTMR7,None,0.198616668329025
STXBP5L,STXBP5L,None,0.164301865997824
KIFAP3,KIFAP3,NeuroDev,0.469696022292077
NSG2,NSG2,None,0.379998504500082
PBX1,PBX1,NeuroDisease,0.460865806650888
DPF1,DPF1,NeuroDev,0.14492202811775
PPP3CA,PPP3CA,NeuroDisease,0.287860941410359
TNIK,TNIK,NeuroDisease,0.668783668897943
ADARB1,ADARB1,HSA21TF,0.686518406640663
KPNA3,KPNA3,None,0.0860396120046298
PTPRD,PTPRD,NeuroDev,-0.381420108400163
BICDL1,BICDL1,NeuroDev,0.31407909310659
CACNG8,CACNG8,None,0.739778747877162
RIPOR2,RIPOR2,None,0.377420151329086
PCDH7,PCDH7,None,0.277184112979086
MAP2,MAP2,NeuroDev,0.092874534183253
JMJD1C,JMJD1C,None,0.114543785587063
SRRM3,SRRM3,GeneralTF,0.339465561745152
KCNB2,KCNB2,None,-0.0288190783132671
COP1,COP1,None,0.275927066255156
SV2A,SV2A,None,0.699791759439853
PRMT2,PRMT2,HSA21gene,0.613113560949662
