name,shared name,type,avgExpression,highestCluster
LINC01409,LINC01409,None,0.014744599936673,nIN_1
LINC01128,LINC01128,None,0.0950270474930137,nEN_1
AL645608.6,AL645608.6,None,0.291437323277892,IN_2
SAMD11,SAMD11,None,0.0033746809183234,RG
NOC2L,NOC2L,GeneralTF,0.0312903178776649,nEN_1
AL645608.7,AL645608.7,None,0.319695108302329,nEN_1
HES4,HES4,NeuroDev,-0.478374831981653,nIN_1
ISG15,ISG15,None,-0.246049484124082,nIN_1
AGRN,AGRN,NeuroDev,-0.372256221079845,nIN_1
C1orf159,C1orf159,None,0.105540052347977,nIN_1
SDF4,SDF4,NeuroDev,-0.231883967927282,nIN_1
B3GALT6,B3GALT6,NeuroDisease,0.0589469994510179,nIN_1
UBE2J2,UBE2J2,None,-0.174019821121922,nIN_1
ACAP3,ACAP3,NeuroDev,0.0798409283582442,MGE
PUSL1,PUSL1,None,-0.598526710563443,nIN_1
INTS11,INTS11,None,0.237297143437457,IN_1
CPTP,CPTP,GeneralTF,0.151134080796739,IN_2
DVL1,DVL1,NeuroDev,-0.163706709238574,IPC
AURKAIP1,AURKAIP1,None,-0.138709196222414,nEN
CCNL2,CCNL2,None,-0.0028681102724469,IPC
MRPL20-AS1,MRPL20-AS1,None,-0.223995028197433,nIN
MRPL20,MRPL20,None,-0.0482190841312529,IN
ATAD3B,ATAD3B,None,0.116031305565749,IN
ATAD3A,ATAD3A,NeuroDisease,-0.145814208869523,nIN_1
TMEM240,TMEM240,NeuroDisease,0.283942855119496,nIN_1
SSU72,SSU72,None,-0.169471608233086,RG
AL645728.1,AL645728.1,None,0.0453259776525475,IN
AL691432.2,AL691432.2,None,0.0031236241488006,nIN_1
MIB2,MIB2,None,-0.0915332554129222,IN
CDK11B,CDK11B,None,-0.106736172538783,IN
SLC35E2B,SLC35E2B,None,0.402985504472123,nIN_1
CDK11A,CDK11A,None,0.454861725828187,nEN_1
SLC35E2A,SLC35E2A,None,0.305706196279295,MGE
NADK,NADK,None,0.0674167875758343,IN_1
GNB1,GNB1,NeuroDisease,0.0128373435173144,MGE
PRKCZ,PRKCZ,NeuroDev,0.425500284998273,MGE
FAAP20,FAAP20,None,0.0616341197787875,IN_2
SKI,SKI,NeuroDisease,-0.20991547659083,nIN
MORN1,MORN1,GeneralTF,-0.244462064738065,IN_2
RER1,RER1,None,-0.0102635225751594,IN_2
PEX10,PEX10,NeuroDisease,-0.283467353005528,nIN_1
PANK4,PANK4,None,0.19064426439096,IPC
HES5,HES5,NeuroDev,0.408843156065064,nEN
AL139246.5,AL139246.5,None,0.220849466380849,IN_1
PRXL2B,PRXL2B,None,0.0602896000736582,nIN
PRDM16-DT,PRDM16-DT,None,-0.370395794101901,IN
PRDM16,PRDM16,GeneralTF,-0.348889034226169,IN
MEGF6,MEGF6,None,-0.0970232146734,nIN_1
TPRG1L,TPRG1L,None,-0.0437219966964842,IN_2
WRAP73,WRAP73,None,-0.0435904938449263,nIN
TP73,TP73,GeneralTF,-0.548869641338147,IPC
LRRC47,LRRC47,None,0.141672729712928,IN
CEP104,CEP104,NeuroDisease,0.15098329075319,nIN_1
DFFB,DFFB,None,0.017120431616742,nIN_1
C1orf174,C1orf174,None,-0.172923509798567,MGE
AJAP1,AJAP1,None,0.266042049074218,nEN_1
NPHP4,NPHP4,NeuroDev,0.0569079350236423,nIN
KCNAB2,KCNAB2,None,-0.0366582911991885,nIN_1
CHD5,CHD5,NeuroDev,0.330033198619736,RG
RPL22,RPL22,None,-0.229357153733498,IN
ICMT,ICMT,None,-0.016536380409809,nEN_1
GPR153,GPR153,None,0.0480085693035647,MGE
ACOT7,ACOT7,None,0.105384661250406,MGE
TNFRSF25,TNFRSF25,None,-0.13151812039473,IN_1
PLEKHG5,PLEKHG5,None,0.0837933722351125,nIN_1
NOL9,NOL9,None,-0.0267392667406655,nEN_1
ZBTB48,ZBTB48,GeneralTF,0.119502384130232,IN
KLHL21,KLHL21,None,0.0872161205959556,nEN_1
PHF13,PHF13,None,0.0588446014738465,nEN_1
THAP3,THAP3,None,-0.0420521155564246,nEN_1
DNAJC11,DNAJC11,None,-0.0791461369531857,nIN_1
CAMTA1,CAMTA1,NeuroDisease,0.0819099789902253,MGE
AL512330.1,AL512330.1,None,0.494123754073917,nEN_1
VAMP3,VAMP3,GeneralTF,-0.0019857025438414,nIN_1
PER3,PER3,None,-0.406928763935846,nIN_1
PARK7,PARK7,None,-0.121729104886444,RG
ERRFI1,ERRFI1,None,0.107360003108602,nEN_1
SLC45A1,SLC45A1,NeuroDisease,0.0308186306424163,nIN
RERE,RERE,NeuroDisease,0.0805122168334861,nIN_1
RERE-AS1,RERE-AS1,None,-0.004022920378762,nIN_1
ENO1,ENO1,GeneralTF,-0.513587062377244,IN_2
MIR34AHG,MIR34AHG,None,-0.417464216183085,nEN_1
LNCTAM34A,LNCTAM34A,None,-0.635107923338988,nEN_1
H6PD,H6PD,None,-0.532863666903009,nEN_1
SLC25A33,SLC25A33,None,-0.0314824240641083,IN
TMEM201,TMEM201,None,-0.328296149589465,nIN_1
PIK3CD,PIK3CD,None,-0.353322931295303,nEN
CLSTN1,CLSTN1,None,-0.0370701740083684,nIN_1
CTNNBIP1,CTNNBIP1,None,-0.0568130485321394,nIN
LZIC,LZIC,None,-0.131454604485183,nEN_1
NMNAT1,NMNAT1,NeuroDisease,-0.140792958552198,IPC
UBE4B,UBE4B,None,0.0461146853993272,nIN_1
KIF1B,KIF1B,None,0.0487350260115567,RG
PGD,PGD,None,0.071234133433223,IN_1
CENPS,CENPS,None,-0.297902341448465,nIN_1
DFFA,DFFA,None,-0.173797416454616,nEN_1
PEX14,PEX14,NeuroDisease,0.0285256603582727,nIN_1
CASZ1,CASZ1,NeuroDisease,-1.03291879455235,IN_2
TARDBP,TARDBP,None,-0.0569226990150287,nEN_1
AL109811.2,AL109811.2,None,-0.0121740891160942,nEN_1
SRM,SRM,None,-0.0359745832250936,RG
EXOSC10,EXOSC10,None,0.0402639908911977,nIN_1
AL109811.1,AL109811.1,None,-0.341585435316694,nEN_1
MTOR,MTOR,NeuroDisease,0.110450676493231,IN_2
UBIAD1,UBIAD1,None,0.091030289591073,nIN_1
DISP3,DISP3,None,0.227899632335656,MGE
FBXO2,FBXO2,None,0.462827385556504,IN_1
FBXO44,FBXO44,None,0.274857494814826,nIN_1
MAD2L2,MAD2L2,None,-0.0615874233783877,nIN_1
DRAXIN,DRAXIN,NeuroDev,0.198026791850458,nEN_1
AGTRAP,AGTRAP,None,-0.801897007965695,nIN_1
MTHFR,MTHFR,NeuroDisease,0.233095658962922,RG
CLCN6,CLCN6,None,0.341092453614001,RG
