TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
DLX2,DLX1,232.625734681611,NeuroDev,1.0961816152230068,NeuroDev,0.6612559595565047
DLX1,DLX2,197.3127947648272,NeuroDev,0.6612559595565047,NeuroDev,1.0961816152230068
DLX2,DLX5,183.06455058369315,NeuroDev,1.0961816152230068,NeuroDev,1.268927897257204
DLX5,DLX2,164.59844320115042,NeuroDev,1.268927897257204,NeuroDev,1.0961816152230068
DLX5,DLX6-AS1,147.68592250567534,NeuroDev,1.268927897257204,None,1.1714556338009445
DLX5,DLX6,135.29914401411853,NeuroDev,1.268927897257204,NeuroDev,1.1510644825177956
DLX5,GAD2,131.20151617214228,NeuroDev,1.268927897257204,None,0.49949480216704256
DLX5,AMBN,125.10444101533706,NeuroDev,1.268927897257204,None,-0.370102293165464
DLX5,ST8SIA5,119.68459360737178,NeuroDev,1.268927897257204,None,1.2283203050517515
DLX5,SP9,116.96257139344574,NeuroDev,1.268927897257204,GeneralTF,0.9628393664284014
DLX2,HAT1,116.54490567841891,NeuroDev,1.0961816152230068,None,0.4250196329706437
DLX5,RND3,115.8487624133822,NeuroDev,1.268927897257204,None,0.3761456105638627
DLX5,CCDC88A,106.86438323613602,NeuroDev,1.268927897257204,NeuroDisease,0.2993514055461051
DLX2,DLX6-AS1,105.12027864322076,NeuroDev,1.0961816152230068,None,1.1714556338009445
DLX5,DYNC1I1,102.9461047022364,NeuroDev,1.268927897257204,None,0.9511785363598587
DLX5,SOX4,98.63404929958902,NeuroDev,1.268927897257204,NeuroDisease,0.2328105103407569
DLX2,ST8SIA5,97.22901548460166,NeuroDev,1.0961816152230068,None,1.2283203050517515
DLX5,DLX1,91.39193247818648,NeuroDev,1.268927897257204,NeuroDev,0.6612559595565047
DLX2,GLCCI1,88.59698493534087,NeuroDev,1.0961816152230068,None,0.4606449174616352
DLX5,GAD1,87.99182480532203,NeuroDev,1.268927897257204,NeuroDisease,0.898116233015837
DLX5,SOX2-OT,87.65953583338764,NeuroDev,1.268927897257204,None,0.44195008436110894
DLX5,ENOX1,86.86494860667297,NeuroDev,1.268927897257204,None,0.7503100359681242
DLX5,SHTN1,86.09196286319036,NeuroDev,1.268927897257204,NeuroDev,0.9623015420822583
DLX2,SP9,85.30696393618166,NeuroDev,1.0961816152230068,GeneralTF,0.9628393664284014
DLX5,SH3BGRL3,84.33618561813094,NeuroDev,1.268927897257204,None,-0.01104980501443383
DLX2,HMGN2,82.46151455487609,NeuroDev,1.0961816152230068,None,0.08823071435750093
DLX5,PFN2,79.79925754504508,NeuroDev,1.268927897257204,None,0.23708562303565112
DLX2,RND3,78.88687728230256,NeuroDev,1.0961816152230068,None,0.3761456105638627
DLX2,SH3BGRL3,76.85046014423915,NeuroDev,1.0961816152230068,None,-0.01104980501443383
DLX2,PFN2,75.96182374532846,NeuroDev,1.0961816152230068,None,0.23708562303565112
DLX2,SOX2-OT,75.51402457269529,NeuroDev,1.0961816152230068,None,0.44195008436110894
DLX5,ATRNL1,75.43447118367845,NeuroDev,1.268927897257204,None,0.0736624974896637
DLX1,HAT1,75.03703088776794,NeuroDev,0.6612559595565047,None,0.4250196329706437
DLX5,TMEM131L,74.39648318327133,NeuroDev,1.268927897257204,None,0.03445794779792584
DLX2,FGD3,74.25161345062934,NeuroDev,1.0961816152230068,None,0.8852036018715206
DLX5,STMN2,73.05818702252986,NeuroDev,1.268927897257204,NeuroDev,0.42899151615732
DLX2,LMO1,72.24441423529261,NeuroDev,1.0961816152230068,None,-0.16336848756182787
DLX5,BRINP1,71.60191126533495,NeuroDev,1.268927897257204,NeuroDev,0.44158367068659077
