name,shared name,type,avgExpression
DLX2,DLX2,NeuroDev,0.899707200698293
DLX1,DLX1,NeuroDev,0.697970281981891
DLX5,DLX5,NeuroDev,1.15915726089122
DLX6,DLX6,NeuroDev,1.2193667761389
DLX6-AS1,DLX6-AS1,None,1.01577705407659
GAD2,GAD2,None,0.447271686590051
AMBN,AMBN,None,-0.0259365931344665
ST8SIA5,ST8SIA5,None,1.0933848048633
SP9,SP9,GeneralTF,0.95501392684755
HAT1,HAT1,None,0.461642473775164
RND3,RND3,None,0.413741881672681
CCDC88A,CCDC88A,NeuroDisease,0.300788089165617
DYNC1I1,DYNC1I1,None,0.907615292439624
SOX4,SOX4,NeuroDisease,0.213148993687883
GLCCI1,GLCCI1,None,0.454574647682456
GAD1,GAD1,NeuroDisease,1.09166109520702
SOX2-OT,SOX2-OT,None,0.376366607967984
ENOX1,ENOX1,None,0.719102498169891
SHTN1,SHTN1,NeuroDev,0.983396819014275
SH3BGRL3,SH3BGRL3,None,0.0267481573593387
HMGN2,HMGN2,None,0.121671340988483
PFN2,PFN2,None,0.243271185961573
ATRNL1,ATRNL1,None,0.0460616138724199
TMEM131L,TMEM131L,None,0.101191250410047
FGD3,FGD3,None,0.793110601368994
STMN2,STMN2,NeuroDev,0.434679890898481
LMO1,LMO1,None,0.24331934381806
BRINP1,BRINP1,NeuroDev,0.361736693184158
TOX3,TOX3,None,0.0059492772087386
ELAVL4,ELAVL4,NeuroDev,0.574464258082109
TMTC2,TMTC2,None,0.38650149092344
CD24,CD24,None,0.895442539200657
SERINC5,SERINC5,NeuroDev,0.200079993043643
SP8,SP8,GeneralTF,0.358383383159319
SLC25A12,SLC25A12,NeuroDisease,0.537170815106726
RAB31,RAB31,None,0.575258839264137
MEIS2,MEIS2,NeuroDisease,0.426455433008864
DLL3,DLL3,None,0.281862989419955
DYNC1I2,DYNC1I2,NeuroDisease,0.171506309141414
ARL4D,ARL4D,None,0.231131549033222
GRIK3,GRIK3,None,0.606985121329768
CERS6,CERS6,GeneralTF,0.321180004311771
OLA1,OLA1,None,0.138287621206286
CRB1,CRB1,NeuroDev,0.442358627628659
ENO4,ENO4,None,0.656267475093941
BCL11B,BCL11B,NeuroDisease,0.56061629512928
MIR181A1HG,MIR181A1HG,None,0.796747311373266
CEMIP2,CEMIP2,None,-0.270916404730043
SLC4A4,SLC4A4,NeuroDisease,0.722904733351059
MIR7-3HG,MIR7-3HG,None,-0.301017130460785
