name,shared name,type,avgExpression
MEIS2,MEIS2,NeuroDisease,0.426455433008864
KIRREL3,KIRREL3,NeuroDev,0.637141159005225
CALN1,CALN1,None,0.343939509752993
RUNX1T1,RUNX1T1,None,0.541654437069808
NAV3,NAV3,NeuroDev,0.339971354639804
ESRRG,ESRRG,GeneralTF,0.143921028368822
PTPRM,PTPRM,NeuroDev,0.303609580166933
PBX1,PBX1,NeuroDisease,0.460865806650888
RASAL2,RASAL2,None,0.494354414823445
PCDH7,PCDH7,None,0.277184112979086
DLG2,DLG2,None,0.428690821918005
DNM3,DNM3,NeuroDev,1.0010645573483
SLC35F1,SLC35F1,None,1.39996292248313
ANKS1B,ANKS1B,NeuroDisease,0.40531854767842
GNAO1,GNAO1,NeuroDisease,0.358822436030648
CTNNA2,CTNNA2,NeuroDisease,0.195681289336205
PDE5A,PDE5A,None,0.424664325505448
SYT14,SYT14,None,0.449431630592138
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
PID1,PID1,None,0.580539715118138
APP,APP,HSA21gene,0.696731563295763
TNRC6A,TNRC6A,None,0.221210887330306
LRRC4C,LRRC4C,NeuroDisease,1.05358295358596
DGKI,DGKI,None,0.518601240438244
ANK2,ANK2,NeuroDisease,0.390685601604312
ADGRB3,ADGRB3,NeuroDev,0.035708170519832
SEMA3A,SEMA3A,NeuroDev,0.0772356455260373
CASK,CASK,NeuroDisease,0.698080338619097
AC015923.1,AC015923.1,None,0.0915147658310623
NPAS3,NPAS3,None,-0.174243103612595
ADAM23,ADAM23,NeuroDev,0.0451798666779962
SSH2,SSH2,None,0.175007559170458
TNRC6B,TNRC6B,NeuroDisease,0.150536947222509
MYO9A,MYO9A,None,0.224254770663516
KCNIP1,KCNIP1,GeneralTF,0.255523520367825
ALK,ALK,NeuroDev,0.989899501046205
PKP4,PKP4,None,-0.181518227750846
ERBB4,ERBB4,NeuroDev,-0.771407502193428
DENND5B,DENND5B,None,0.127857271429645
RPS6KA2,RPS6KA2,None,0.110657220306251
DCBLD2,DCBLD2,None,0.0120176605923536
SESTD1,SESTD1,None,0.116518528514765
FAM155A,FAM155A,None,0.181179038234798
SRGAP1,SRGAP1,None,0.455184837801747
UTRN,UTRN,None,0.303513432852667
MCM3AP,MCM3AP,HSA21gene,0.639076884255206
MAML3,MAML3,None,-0.0756264411318076
LHFPL6,LHFPL6,None,0.517768800745162
MYCBP2,MYCBP2,NeuroDev,0.147481428064929
ATP2B4,ATP2B4,NeuroDev,0.530509415598585
FOXP2,FOXP2,NeuroDisease,1.17132210665554
ITSN1,ITSN1,HSA21gene,0.519088229593054
MARK3,MARK3,None,-0.0605323570393101
MED13L,MED13L,NeuroDisease,0.21280086483982
UNC79,UNC79,None,0.476569333002842
SYT16,SYT16,None,0.574773918327975
AP001783.1,AP001783.1,None,0.976049256396228
TTC28,TTC28,None,-0.0338381755422196
ERC2,ERC2,None,-0.0030358423846938
CACNG8,CACNG8,None,0.739778747877162
WIPF3,WIPF3,None,0.590560919074192
MARCH1,MARCH1,None,0.305296461392338
NEDD4L,NEDD4L,NeuroDisease,0.443186986758295
TAOK3,TAOK3,NeuroDev,0.317042354066985
LDB2,LDB2,NeuroDev,0.683021974593197
ELOVL6,ELOVL6,None,0.342637744352904
CPEB3,CPEB3,None,0.489623073936195
SRPK2,SRPK2,None,0.158379469607456
GRK5,GRK5,None,0.613032806818257
HGSNAT,HGSNAT,NeuroDisease,0.243313923792849
JAKMIP2,JAKMIP2,None,0.256915350919244
POGZ,POGZ,NeuroDisease,0.31852911834284
GABRB3,GABRB3,NeuroDisease,0.447370201329481
BCL11A,BCL11A,NeuroDisease,0.154021580634573
PDE9A,PDE9A,HSA21gene,0.6716539046514
DPY19L2,DPY19L2,None,0.315278993025565
BRWD1,BRWD1,HSA21gene,0.522651236002678
ARL17A,ARL17A,None,1.0630985278011
CACNA1C,CACNA1C,NeuroDisease,0.168515063431206
RIPOR2,RIPOR2,None,0.377420151329086
GNG4,GNG4,None,0.426857281071117
ASTN1,ASTN1,NeuroDev,0.558271583890074
SCAI,SCAI,None,0.124222889741717
DCLK1,DCLK1,NeuroDev,0.422006537558164
SLC25A12,SLC25A12,NeuroDisease,0.537170815106726
DHRSX,DHRSX,None,0.325458366754402
RNGTT,RNGTT,None,-0.184555649895207
ZHX3,ZHX3,GeneralTF,0.0058683966072925
