TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
RPL6,YBX1,244.6782642215343,GeneralTF,-0.27235618326369987,GeneralTF,-0.1048253496486187
SOX4,SOX11,219.8864962485419,NeuroDisease,0.2328105103407569,NeuroDisease,0.24233543301072427
YBX1,RPL6,208.95915360969963,GeneralTF,-0.1048253496486187,GeneralTF,-0.27235618326369987
YBX1,SOD1,142.53530045736758,GeneralTF,-0.1048253496486187,HSA21TF,0.4228640436619747
SOX11,SOX4,130.08830882278693,NeuroDisease,0.24233543301072427,NeuroDisease,0.2328105103407569
RPL6,SOD1,95.48309790600727,GeneralTF,-0.27235618326369987,HSA21TF,0.4228640436619747
SOX4,YBX1,62.36433284288604,NeuroDisease,0.2328105103407569,GeneralTF,-0.1048253496486187
YBX1,PAX6,58.55883577221566,GeneralTF,-0.1048253496486187,NeuroDisease,-0.4211607405345091
SOX4,RPL6,58.30109086291717,NeuroDisease,0.2328105103407569,GeneralTF,-0.27235618326369987
SOD1,YBX1,56.23411146974723,HSA21TF,0.4228640436619747,GeneralTF,-0.1048253496486187
RPL6,SOX11,53.58878548411565,GeneralTF,-0.27235618326369987,NeuroDisease,0.24233543301072427
SOX11,TCF4,50.78547556210734,NeuroDisease,0.24233543301072427,NeuroDisease,-0.1002560281082682
