TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
RPL6,RPS7,305.4695485349822,GeneralTF,-0.27235618326369987,NeuroDev,-0.41925054346889484
RPL6,YBX1,244.6782642215343,GeneralTF,-0.27235618326369987,GeneralTF,-0.1048253496486187
RPL6,EEF1D,242.30988835160025,GeneralTF,-0.27235618326369987,GeneralTF,-0.3259285795636698
SOX4,STMN2,232.75169236563391,NeuroDisease,0.2328105103407569,NeuroDev,0.42899151615732
SOX4,SOX11,219.8864962485419,NeuroDisease,0.2328105103407569,NeuroDisease,0.24233543301072427
YBX1,RPL6,208.95915360969963,GeneralTF,-0.1048253496486187,GeneralTF,-0.27235618326369987
NR2F2,NR2F1,183.0333605261269,NeuroDev,-0.6551987782534493,NeuroDisease,-0.2179795969734623
NR2F1,NR2F2,173.23355700261914,NeuroDisease,-0.2179795969734623,NeuroDev,-0.6551987782534493
YBX1,RPS7,162.75271457115048,GeneralTF,-0.1048253496486187,NeuroDev,-0.41925054346889484
EEF1D,RPL6,142.6753764469954,GeneralTF,-0.3259285795636698,GeneralTF,-0.27235618326369987
YBX1,SOD1,142.53530045736758,GeneralTF,-0.1048253496486187,HSA21TF,0.4228640436619747
SOX4,GAP43,139.65144809796234,NeuroDisease,0.2328105103407569,NeuroDev,0.14708091513691263
YBX1,DYNLL1,137.40088305849653,GeneralTF,-0.1048253496486187,NeuroDev,-0.39177040745857267
EEF1D,RPS7,133.0672773754835,GeneralTF,-0.3259285795636698,NeuroDev,-0.41925054346889484
YBX1,STMN2,132.39693608014454,GeneralTF,-0.1048253496486187,NeuroDev,0.42899151615732
SOX4,CRMP1,131.79395887467635,NeuroDisease,0.2328105103407569,NeuroDev,0.18038347259808085
SOX11,SOX4,130.08830882278693,NeuroDisease,0.24233543301072427,NeuroDisease,0.2328105103407569
YBX1,ATP5PF,124.23706996273822,GeneralTF,-0.1048253496486187,HSA21gene,0.49713906921066736
RPL6,DYNLL1,123.5933436004968,GeneralTF,-0.27235618326369987,NeuroDev,-0.39177040745857267
YBX1,EEF1D,120.60499486310285,GeneralTF,-0.1048253496486187,GeneralTF,-0.3259285795636698
SOX4,INA,113.87077158314229,NeuroDisease,0.2328105103407569,NeuroDev,0.44077324809760976
RPL6,NAP1L1,111.8207670129381,GeneralTF,-0.27235618326369987,NeuroDev,-0.2680984945782962
NR2F2,PTPRD,110.67861215137232,NeuroDev,-0.6551987782534493,NeuroDev,-0.3577803053927319
