name,shared name,type,avgExpression
RPL6,RPL6,GeneralTF,-0.264458251563538
SOX4,SOX4,NeuroDisease,0.213148993687883
YBX1,YBX1,GeneralTF,-0.0993529502217044
NR2F2,NR2F2,NeuroDev,-0.647889433663667
NR2F1,NR2F1,NeuroDisease,-0.2490252502863
EEF1D,EEF1D,GeneralTF,-0.337480994511505
SOX11,SOX11,NeuroDisease,0.236587078663327
NAP1L1,NAP1L1,NeuroDev,-0.267904181331102
ETFB,ETFB,NeuroDisease,-0.329411366146832
UNCX,UNCX,NeuroDev,-1.34503293279945
RBFOX2,RBFOX2,NeuroDev,0.159133511922871
KLF7,KLF7,NeuroDisease,0.195297780085446
SOD1,SOD1,HSA21TF,0.416754789446342
PAX6,PAX6,NeuroDisease,-0.460448956574269
PBX1,PBX1,NeuroDisease,0.460865806650888
RPS7,RPS7,NeuroDev,-0.425145133475453
STMN2,STMN2,NeuroDev,0.434679890898481
GAP43,GAP43,NeuroDev,0.253927505257908
DYNLL1,DYNLL1,NeuroDev,-0.381329164762482
CRMP1,CRMP1,NeuroDev,0.18188325187503
ATP5PF,ATP5PF,HSA21gene,0.524494498820617
INA,INA,NeuroDev,0.423809541676499
PTPRD,PTPRD,NeuroDev,-0.381420108400163
RNF220,RNF220,NeuroDev,-0.371964347891283
STRAP,STRAP,NeuroDev,-0.147317704668822
VIM,VIM,NeuroDev,-0.414004023936758
NREP,NREP,NeuroDev,0.262402447049614
MTCH1,MTCH1,NeuroDev,-0.31263719348801
TAGLN3,TAGLN3,NeuroDev,0.0523768613985654
RTN1,RTN1,NeuroDev,0.592684927837128
APLP1,APLP1,NeuroDev,0.177614710026297
NDN,NDN,NeuroDev,-0.210708010736346
MAP2,MAP2,NeuroDev,0.092874534183253
DPYSL2,DPYSL2,NeuroDisease,0.240987514514516
KIF5B,KIF5B,NeuroDev,-0.159521808942314
ATCAY,ATCAY,NeuroDev,0.15882980089564
SMARCB1,SMARCB1,NeuroDisease,-0.238112797479192
GNAI3,GNAI3,NeuroDev,-0.08104959367426
EPHA5,EPHA5,NeuroDev,-0.403622229214772
ADARB1,ADARB1,HSA21TF,0.686518406640663
SFRP2,SFRP2,NeuroDev,-0.674433295843675
CLU,CLU,NeuroDev,-0.279460050104706
FABP7,FABP7,NeuroDev,-0.542939417413203
ADGRG1,ADGRG1,NeuroDisease,0.0227863409516024
ERBB4,ERBB4,NeuroDev,-0.771407502193428
TCF4,TCF4,NeuroDisease,-0.121605040496533
