TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
RPL6,RPL9,434.9955978114193,GeneralTF,-0.27235618326369987,None,-0.3588955868540665
RPL6,RPL5,406.0449192597178,GeneralTF,-0.27235618326369987,None,-0.22456963764390644
RPL6,RPS3A,392.45135802482,GeneralTF,-0.27235618326369987,None,-0.3151553146720041
RPL6,RPL18,369.72347453881343,GeneralTF,-0.27235618326369987,None,-0.31284203057475796
RPL6,RPL13,360.1602280267878,GeneralTF,-0.27235618326369987,None,-0.34699110248607656
RPL6,RPS18,355.3060917459805,GeneralTF,-0.27235618326369987,None,-0.2453132775021729
RPL6,RPS14,344.72647181270327,GeneralTF,-0.27235618326369987,None,-0.3879043456537368
RPL6,RPL15,335.609497876486,GeneralTF,-0.27235618326369987,None,-0.15922764511574855
RPL6,RPL18A,335.43248340690263,GeneralTF,-0.27235618326369987,None,-0.35050275351688864
RPL6,RPS12,329.3628882154818,GeneralTF,-0.27235618326369987,None,-0.2589811731535826
RPL6,RPL24,328.2552979369199,GeneralTF,-0.27235618326369987,None,-0.2464688942809413
RPL6,RPL17,325.8449484341622,GeneralTF,-0.27235618326369987,None,-0.4154307993380327
RPL6,RPS24,324.69194347933507,GeneralTF,-0.27235618326369987,None,-0.28875716663812195
RPL6,RPS15A,316.1276492756828,GeneralTF,-0.27235618326369987,None,-0.27962369381255964
RPL6,RPS7,305.4695485349822,GeneralTF,-0.27235618326369987,NeuroDev,-0.41925054346889484
RPL6,RPL11,299.4391536601545,GeneralTF,-0.27235618326369987,None,-0.267887783342614
RPL6,RPS15,297.1391038259581,GeneralTF,-0.27235618326369987,None,-0.25272243730466043
RPL6,RPL10,296.8774650664615,GeneralTF,-0.27235618326369987,NeuroDisease,-0.26554263475449563
RPL6,RPL19,291.4580145292394,GeneralTF,-0.27235618326369987,None,-0.22094260769196078
RPL6,RPS3,290.86469625562205,GeneralTF,-0.27235618326369987,None,-0.32164595440768073
RPL6,RPL8,288.0075038284287,GeneralTF,-0.27235618326369987,None,-0.33860848134827165
RPL6,RPS2,287.51176284048154,GeneralTF,-0.27235618326369987,None,-0.35290085573799557
RPL6,RPS8,281.3278068893451,GeneralTF,-0.27235618326369987,None,-0.25894188218466996
RPL6,RPLP1,279.0134399835477,GeneralTF,-0.27235618326369987,None,-0.23551352508100165
RPL6,RPL27,277.4831101412434,GeneralTF,-0.27235618326369987,None,-0.2112407935093885
RPL6,RPL7A,265.4096153164823,GeneralTF,-0.27235618326369987,None,-0.3408370542446181
RPL6,RPLP0,257.5427590096347,GeneralTF,-0.27235618326369987,None,-0.21030812571277044
RPL6,RPSA,256.5133130866008,GeneralTF,-0.27235618326369987,None,-0.1958771551922919
RPL6,RPS5,255.75092184648125,GeneralTF,-0.27235618326369987,None,-0.21937732426869103
YBX1,RPL15,248.62207459757977,GeneralTF,-0.1048253496486187,None,-0.15922764511574855
RPL6,SNHG29,248.26967623163512,GeneralTF,-0.27235618326369987,None,-0.18855679649157503
RPL6,YBX1,244.6782642215343,GeneralTF,-0.27235618326369987,GeneralTF,-0.1048253496486187
RPL6,RPL12,243.1740905513424,GeneralTF,-0.27235618326369987,None,-0.4007171677746609
RPL6,EEF1D,242.30988835160025,GeneralTF,-0.27235618326369987,GeneralTF,-0.3259285795636698
RPL6,GAPDH,241.7051865484828,GeneralTF,-0.27235618326369987,None,-0.3061289218529374
RPL6,RACK1,236.9955813947443,GeneralTF,-0.27235618326369987,None,-0.20549001922942217
RPL6,RPS9,234.00303645234092,GeneralTF,-0.27235618326369987,None,-0.30860847423596854
RPL6,RPS6,215.68478483542845,GeneralTF,-0.27235618326369987,None,-0.455862410088615
YBX1,RPS12,212.50329749938368,GeneralTF,-0.1048253496486187,None,-0.2589811731535826
YBX1,RPL24,210.30834025696885,GeneralTF,-0.1048253496486187,None,-0.2464688942809413
YBX1,RPL6,208.95915360969963,GeneralTF,-0.1048253496486187,GeneralTF,-0.27235618326369987
YBX1,RPS15A,200.73622102112773,GeneralTF,-0.1048253496486187,None,-0.27962369381255964
YBX1,RPS15,195.72383278140936,GeneralTF,-0.1048253496486187,None,-0.25272243730466043
YBX1,RPL7A,195.4345549030025,GeneralTF,-0.1048253496486187,None,-0.3408370542446181
YBX1,RPL18,194.85403774627088,GeneralTF,-0.1048253496486187,None,-0.31284203057475796
YBX1,RPS18,188.878532270072,GeneralTF,-0.1048253496486187,None,-0.2453132775021729
YBX1,RPS5,186.91327789150944,GeneralTF,-0.1048253496486187,None,-0.21937732426869103
YBX1,RPL18A,186.8195697689747,GeneralTF,-0.1048253496486187,None,-0.35050275351688864
YBX1,HMGN2,185.44458565884256,GeneralTF,-0.1048253496486187,None,0.08823071435750093
YBX1,RPS8,184.6465957371554,GeneralTF,-0.1048253496486187,None,-0.25894188218466996
YBX1,RPL19,184.46481274270943,GeneralTF,-0.1048253496486187,None,-0.22094260769196078
YBX1,RPS14,179.56838395937874,GeneralTF,-0.1048253496486187,None,-0.3879043456537368
YBX1,RPS24,175.59508311588547,GeneralTF,-0.1048253496486187,None,-0.28875716663812195
YBX1,RPL13,171.5763863905839,GeneralTF,-0.1048253496486187,None,-0.34699110248607656
YBX1,RPL9,170.6457557731527,GeneralTF,-0.1048253496486187,None,-0.3588955868540665
YBX1,RPSA,170.61164046925907,GeneralTF,-0.1048253496486187,None,-0.1958771551922919
YBX1,TMSB10,167.58389333587476,GeneralTF,-0.1048253496486187,None,0.09158344269211913
YBX1,RPLP1,165.86408060710738,GeneralTF,-0.1048253496486187,None,-0.23551352508100165
YBX1,RPL5,164.99236325622147,GeneralTF,-0.1048253496486187,None,-0.22456963764390644
