name,shared name,type,avgExpression
RPL6,RPL6,GeneralTF,-0.264458251563538
YBX1,YBX1,GeneralTF,-0.0993529502217044
RPL9,RPL9,None,-0.360618026159674
RPL5,RPL5,None,-0.226877438248982
RPS3A,RPS3A,None,-0.31852387312776
RPL18,RPL18,None,-0.313566352794338
RPL13,RPL13,None,-0.346378748658902
RPS18,RPS18,None,-0.244124222638697
RPS14,RPS14,None,-0.387919814681449
RPL15,RPL15,None,-0.163155516340628
RPL18A,RPL18A,None,-0.345856047052484
RPS12,RPS12,None,-0.261918281371023
RPL24,RPL24,None,-0.247121465720468
RPL17,RPL17,None,-0.416774933893697
RPS24,RPS24,None,-0.290536906433532
RPS15A,RPS15A,None,-0.279176998869005
RPS7,RPS7,NeuroDev,-0.425145133475453
RPL11,RPL11,None,-0.267879636065191
RPS15,RPS15,None,-0.250001351436758
RPL10,RPL10,NeuroDisease,-0.254980727207922
RPL19,RPL19,None,-0.215113813044291
RPS3,RPS3,None,-0.320329778754803
RPL8,RPL8,None,-0.344022621278714
RPS2,RPS2,None,-0.343952745123936
RPS8,RPS8,None,-0.262869465667888
RPLP1,RPLP1,None,-0.238429976874698
RPL27,RPL27,None,-0.210752125357129
RPL7A,RPL7A,None,-0.339649803732795
RPLP0,RPLP0,None,-0.209799048023349
RPSA,RPSA,None,-0.198872351135457
RPS5,RPS5,None,-0.219759936552797
SNHG29,SNHG29,None,-0.186636329244725
RPL12,RPL12,None,-0.387709338943168
EEF1D,EEF1D,GeneralTF,-0.337480994511505
GAPDH,GAPDH,None,-0.313758923657748
RACK1,RACK1,None,-0.199882545088291
RPS9,RPS9,None,-0.291224003175536
RPS6,RPS6,None,-0.426898040473511
HMGN2,HMGN2,None,0.121671340988483
TMSB10,TMSB10,None,0.122051170476654
NPM1,NPM1,None,-0.21748970794336
EIF3E,EIF3E,None,-0.25928470636771
OAZ1,OAZ1,None,-0.357326014645239
EEF1B2,EEF1B2,NeuroDisease,-0.35630089991391
ST13,ST13,None,-0.249468897298731
SOD1,SOD1,HSA21TF,0.416754789446342
LSM4,LSM4,None,-0.207935122813725
DYNLL1,DYNLL1,NeuroDev,-0.381329164762482
EIF3L,EIF3L,None,-0.214588843803569
STMN2,STMN2,NeuroDev,0.434679890898481
ATP5MC2,ATP5MC2,None,-0.332409938793797
ATP5PF,ATP5PF,HSA21gene,0.524494498820617
HMGN1,HMGN1,HSA21gene,0.465510958716466
VDAC1,VDAC1,None,-0.184663301296105
ATP5PO,ATP5PO,HSA21gene,0.565700325515906
ATP5MC3,ATP5MC3,None,-0.244262189744684
PABPC1,PABPC1,None,-0.0505305349451386
EIF5A,EIF5A,None,-0.781835261915645
EIF1B,EIF1B,None,-0.20506920288512
POLR2I,POLR2I,None,-0.041319490978514
CCT8,CCT8,HSA21gene,0.641667494261062
NAP1L1,NAP1L1,NeuroDev,-0.267904181331102
C19orf53,C19orf53,None,-0.336012230270078
LSM5,LSM5,None,0.0632255538247138
STRAP,STRAP,NeuroDev,-0.147317704668822
CENPX,CENPX,None,-0.180720199136131
GNAI2,GNAI2,None,-0.251891403702956
PA2G4,PA2G4,None,-0.148611287864624
MTCH1,MTCH1,NeuroDev,-0.31263719348801
HMGA1,HMGA1,GeneralTF,-0.140101999284153
HIGD2A,HIGD2A,None,-0.105670014435015
UBE2S,UBE2S,None,0.0644071693877249
EIF3G,EIF3G,NeuroDisease,-0.222607400677263
MLLT11,MLLT11,None,0.434167276980189
CD81,CD81,None,-0.200125911271688
RSL1D1,RSL1D1,None,-0.0055605630392956
HSPE1,HSPE1,None,-0.20237781880888
SELENOW,SELENOW,None,0.132051586959055
NDN,NDN,NeuroDev,-0.210708010736346
TXN,TXN,None,-0.247513614466325
RPS27L,RPS27L,None,-0.374331528573086
RNF7,RNF7,None,-0.274369762273687
CSTB,CSTB,HSA21gene,0.409228131112975
MT-ND5,MT-ND5,None,-0.63503295390555
WDR54,WDR54,None,-0.487444268600577
H2AFV,H2AFV,None,0.08559253130282
PSMB4,PSMB4,None,0.319802603109364
GDAP1L1,GDAP1L1,None,0.350719859340897
GLRX5,GLRX5,None,-0.253084625422682
EIF4G2,EIF4G2,None,0.141392822602141
GADD45GIP1,GADD45GIP1,None,-0.235947068693462
GNG3,GNG3,None,0.245056860742582
SNHG16,SNHG16,None,-0.404255606178483
MZT2A,MZT2A,None,-0.367266552556588
JPT1,JPT1,None,-0.108916908575369
FBL,FBL,None,-0.309265876158465
NREP,NREP,NeuroDev,0.262402447049614
BOD1,BOD1,NeuroDisease,-0.32876252506406
VIM,VIM,NeuroDev,-0.414004023936758
SSB,SSB,None,-0.167573090364436
NCBP2,NCBP2,GeneralTF,-0.141324371993357
VKORC1,VKORC1,None,-0.685320976839506
TMEM14C,TMEM14C,None,-0.323312160274441
KIF5B,KIF5B,NeuroDev,-0.159521808942314
IFI27L2,IFI27L2,None,-0.877054208683589
THOC7,THOC7,None,-0.241684392442046
SQLE,SQLE,None,0.321343744244408
MRPS34,MRPS34,NeuroDisease,-0.126048405972838
SH3BGRL3,SH3BGRL3,None,0.0267481573593387
SERBP1,SERBP1,None,-0.156859318128347
CHCHD2,CHCHD2,None,-9.27080511357996
CCDC167,CCDC167,None,-0.119286112630407
IMPDH2,IMPDH2,NeuroDisease,-0.31037130738316
ANAPC16,ANAPC16,None,-0.277098027714403
ETFB,ETFB,NeuroDisease,-0.329411366146832
CSRP2,CSRP2,None,-0.311962514472498
NDUFA7,NDUFA7,None,-0.295973097670768
GTF3A,GTF3A,GeneralTF,-0.201056771293748
MRPS6,MRPS6,HSA21gene,0.520785678198831
SMIM20,SMIM20,None,-0.433765960276081
ZNF22,ZNF22,GeneralTF,-0.242274474625401
EBPL,EBPL,None,-0.247813038690979
PLEKHJ1,PLEKHJ1,None,-0.29677373679268
SMARCB1,SMARCB1,NeuroDisease,-0.238112797479192
LTA4H,LTA4H,None,-0.279320805805127
CLIC1,CLIC1,None,-0.739506684345074
GNAI3,GNAI3,NeuroDev,-0.08104959367426
PRDX6,PRDX6,None,0.211100284811032
RPL7L1,RPL7L1,None,-0.313085613067242
CD24,CD24,None,0.895442539200657
SCD,SCD,None,0.34307102480537
BTF3L4,BTF3L4,None,0.0916914176976156
DMAC1,DMAC1,None,-0.117357187002636
MRPL11,MRPL11,None,-0.22006069250177
TERF2IP,TERF2IP,None,0.0890888864573194
GOLM1,GOLM1,None,-0.122205020591698
CFAP36,CFAP36,None,-0.10094008080928
SERINC1,SERINC1,None,0.200870848331278
C12orf76,C12orf76,None,-0.250569622973966
COTL1,COTL1,None,-0.156237318549085
KMT2E,KMT2E,NeuroDisease,0.161368262916145
SLC35F1,SLC35F1,None,1.39996292248313
ISYNA1,ISYNA1,None,-0.346760585536371
TCEAL2,TCEAL2,GeneralTF,0.457201020475838
CARHSP1,CARHSP1,None,-0.236964886422205
CRMP1,CRMP1,NeuroDev,0.18188325187503
NUDT3,NUDT3,None,0.235921077521615
WSB2,WSB2,None,0.25058671152159
MRPL36,MRPL36,None,-0.33380699244306
SKA2,SKA2,None,0.185353684275161
PAX6,PAX6,NeuroDisease,-0.460448956574269
PFN2,PFN2,None,0.243271185961573
ANKRD45,ANKRD45,None,0.259100222500403
TTC3,TTC3,HSA21gene,0.609639247666598
SLC27A4,SLC27A4,None,0.49467011403561
SH3BGRL,SH3BGRL,None,0.492079703229657
ACOT7,ACOT7,None,0.105384661250406
GAP43,GAP43,NeuroDev,0.253927505257908
NR2F1,NR2F1,NeuroDisease,-0.2490252502863
