name,shared name,type,avgExpression
SOX4,SOX4,NeuroDisease,0.213148993687883
STMN2,STMN2,NeuroDev,0.434679890898481
SOX11,SOX11,NeuroDisease,0.236587078663327
TMSB10,TMSB10,None,0.122051170476654
MLLT11,MLLT11,None,0.434167276980189
GAP43,GAP43,NeuroDev,0.253927505257908
CRMP1,CRMP1,NeuroDev,0.18188325187503
CD24,CD24,None,0.895442539200657
INA,INA,NeuroDev,0.423809541676499
ELAVL3,ELAVL3,NeuroDisease,0.106474569090944
ETFB,ETFB,NeuroDisease,-0.329411366146832
NR2F2,NR2F2,NeuroDev,-0.647889433663667
NREP,NREP,NeuroDev,0.262402447049614
JPT1,JPT1,None,-0.108916908575369
TTC3,TTC3,HSA21gene,0.609639247666598
ENOX1,ENOX1,None,0.719102498169891
RIPOR2,RIPOR2,None,0.377420151329086
TAGLN3,TAGLN3,NeuroDev,0.0523768613985654
APLP1,APLP1,NeuroDev,0.177614710026297
MAP2,MAP2,NeuroDev,0.092874534183253
SCG3,SCG3,None,0.280300984519299
DLX5,DLX5,NeuroDev,1.15915726089122
SOX2-OT,SOX2-OT,None,0.376366607967984
DLX6-AS1,DLX6-AS1,None,1.01577705407659
PBX1,PBX1,NeuroDisease,0.460865806650888
GDAP1L1,GDAP1L1,None,0.350719859340897
RTN1,RTN1,NeuroDev,0.592684927837128
SEZ6L2,SEZ6L2,NeuroDev,0.135041388752834
DAAM1,DAAM1,None,0.105793814342229
DCLK1,DCLK1,NeuroDev,0.422006537558164
KLC1,KLC1,None,0.10629717414863
SEPTIN3,SEPTIN3,None,0.13954032395906
DPYSL2,DPYSL2,NeuroDisease,0.240987514514516
RPL15,RPL15,None,-0.163155516340628
BCL11A,BCL11A,NeuroDisease,0.154021580634573
TERF2IP,TERF2IP,None,0.0890888864573194
SCRT2,SCRT2,GeneralTF,0.172768520884803
SHB,SHB,None,0.475562363425777
ATP5PF,ATP5PF,HSA21gene,0.524494498820617
RTN3,RTN3,NeuroDev,0.252602423977562
NOL4,NOL4,None,0.232161890407063
CERS6,CERS6,GeneralTF,0.321180004311771
KLF7,KLF7,NeuroDisease,0.195297780085446
ATCAY,ATCAY,NeuroDev,0.15882980089564
LINC00599,LINC00599,None,0.347917821024986
FAM89B,FAM89B,None,-0.10113388185842
ELAVL4,ELAVL4,NeuroDev,0.574464258082109
