TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
GLI3,ADGRB3,155.99741183345705,NeuroDisease,-0.7014497245602642,NeuroDev,0.038513280800806696
GLI3,LINC01965,148.35023795256112,NeuroDisease,-0.7014497245602642,None,-0.2871428437513539
GLI3,MIR99AHG,145.45193681183275,NeuroDisease,-0.7014497245602642,None,0.7401684192148219
GLI3,SOX5,132.1670315194202,NeuroDisease,-0.7014497245602642,NeuroDisease,-0.4780512626583646
SOX5,NPAS3,130.40004426219446,NeuroDisease,-0.4780512626583646,None,-0.1475162507164616
GLI3,TCF7L1,124.51916605335803,NeuroDisease,-0.7014497245602642,GeneralTF,-0.7760305905574504
SOX5,ZBTB20,124.30349947850594,NeuroDisease,-0.4780512626583646,NeuroDisease,0.5240394905732264
GLI3,FOXP1,121.82313519974932,NeuroDisease,-0.7014497245602642,NeuroDisease,-0.024961465233333185
SOX5,MIR99AHG,120.8582873025714,NeuroDisease,-0.4780512626583646,None,0.7401684192148219
GLI3,VEPH1,118.06733098087985,NeuroDisease,-0.7014497245602642,None,-0.2711093671756532
GLI3,COL4A5,116.13503347839033,NeuroDisease,-0.7014497245602642,None,-1.4872546214350137
SOX5,GLI3,113.9736044997772,NeuroDisease,-0.4780512626583646,NeuroDisease,-0.7014497245602642
GLI3,NCALD,111.77828075167224,NeuroDisease,-0.7014497245602642,GeneralTF,-0.8202249570881543
GLI3,AC092944.1,109.59317071190917,NeuroDisease,-0.7014497245602642,None,-0.5678400487558901
GLI3,SYNE2,108.4224676910644,NeuroDisease,-0.7014497245602642,NeuroDev,-0.4256074753702987
GLI3,DACH1,107.267049135203,NeuroDisease,-0.7014497245602642,None,-0.3291177748642692
GLI3,PLCH1,104.40449163660718,NeuroDisease,-0.7014497245602642,None,-0.5084364222921313
SOX5,TCF4,104.120831172749,NeuroDisease,-0.4780512626583646,NeuroDisease,-0.1002560281082682
GLI3,LRIG1,101.68321641107684,NeuroDisease,-0.7014497245602642,NeuroDev,-0.3407131872254178
GLI3,MOB3B,100.51091245132372,NeuroDisease,-0.7014497245602642,None,-0.5443976509127553
GLI3,CDH23,99.0103556976955,NeuroDisease,-0.7014497245602642,NeuroDev,-0.6940456525242776
GLI3,MYO1E,96.03285561586604,NeuroDisease,-0.7014497245602642,None,-1.4078921810094989
GLI3,FAT4,93.57340125644266,NeuroDisease,-0.7014497245602642,NeuroDisease,-0.44839486711781695
GLI3,PLEKHG1,92.88845606650337,NeuroDisease,-0.7014497245602642,None,-0.8721883757526875
SOX5,STK39,92.08376501350138,NeuroDisease,-0.4780512626583646,None,0.14956861568196575
GLI3,LRP4,92.03711779944854,NeuroDisease,-0.7014497245602642,NeuroDev,-0.6189558824491591
