name,shared name,type,avgExpression
NEUROD2,NEUROD2,NeuroDev,-1.04930067785261
NFIB,NFIB,NeuroDisease,-0.143693766511392
ID1,ID1,NeuroDev,-0.992260582943818
NHLH1,NHLH1,NeuroDev,-1.98077368104369
NEUROG1,NEUROG1,NeuroDev,-1.54948793428076
HES4,HES4,NeuroDev,-0.478374831981653
EOMES,EOMES,NeuroDev,-1.88170592124081
TCF4,TCF4,NeuroDisease,-0.121605040496533
HES1,HES1,NeuroDev,-1.15141974049029
NEUROG2,NEUROG2,GeneralTF,-1.68836546464389
ID4,ID4,NeuroDev,-0.403826429607414
HEY2,HEY2,GeneralTF,-2.27877192338348
BHLHE22,BHLHE22,GeneralTF,-1.46956032910659
NEUROD1,NEUROD1,NeuroDev,-2.20739323726664
NHLH2,NHLH2,NeuroDev,-2.39923610257432
NEUROD6,NEUROD6,NeuroDev,-2.33493117100874
ID3,ID3,NeuroDev,-2.01152545492935
TTYH1,TTYH1,None,-0.305473851358446
LINC00461,LINC00461,None,-0.081689700141293
ELAVL2,ELAVL2,None,0.0005481969795391
SLC22A23,SLC22A23,None,-0.281263630897649
WDR47,WDR47,NeuroDev,0.254436840143191
LZTS1,LZTS1,None,0.0088335576695968
ZFPM2-AS1,ZFPM2-AS1,None,-1.1453940014081
EBF2,EBF2,GeneralTF,-2.57030558109689
NKAIN4,NKAIN4,None,-0.333243349839196
TMEM161B-AS1,TMEM161B-AS1,None,-0.0970716503665026
SLC9A6,SLC9A6,NeuroDisease,0.770737400988469
RSPO3,RSPO3,None,-3.17009884014841
TFAP2C,TFAP2C,GeneralTF,-1.47974648001346
FGFBP3,FGFBP3,None,-0.338340958072988
CRB1,CRB1,NeuroDev,0.442358627628659
SOX5,SOX5,NeuroDisease,-0.439349918556866
LZTS1-AS1,LZTS1-AS1,None,-0.258366838000494
ZFP36L1,ZFP36L1,NeuroDev,-1.03654690855089
EGR1,EGR1,GeneralTF,-0.429350052402976
ST18,ST18,None,-0.454649613355753
HMGN3,HMGN3,GeneralTF,-0.264967749187156
SLCO5A1,SLCO5A1,None,0.258619094684195
PAM,PAM,NeuroDev,-0.386463648296634
METRN,METRN,NeuroDev,-0.508002754390808
LHX2,LHX2,NeuroDev,-0.876500588066355
VIM,VIM,NeuroDev,-0.414004023936758
AC099792.1,AC099792.1,None,-0.925589271967571
ZNF93,ZNF93,GeneralTF,-0.397482906004653
FABP7,FABP7,NeuroDev,-0.542939417413203
CHST8,CHST8,NeuroDev,-1.10716072861392
CLU,CLU,NeuroDev,-0.279460050104706
CACHD1,CACHD1,None,-0.867442384031716
INSM1,INSM1,NeuroDev,0.12935280021791
PRKG1,PRKG1,NeuroDev,-0.215496984705691
PDE1A,PDE1A,None,-0.504511031169169
CDO1,CDO1,None,0.152139626916396
FGFR3,FGFR3,NeuroDisease,-1.30362974251202
HDAC9,HDAC9,NeuroDev,-0.422524289118698
DACH1,DACH1,None,-0.347034033563953
PHLDA1,PHLDA1,None,-0.181178909646427
KCNH7,KCNH7,None,0.587968948064062
PCBP4,PCBP4,None,-0.0030005038833765
GPC1,GPC1,NeuroDev,-0.148593197804379
PTX3,PTX3,None,-0.217767465974175
CECR2,CECR2,NeuroDev,-0.29713068863477
SETBP1,SETBP1,NeuroDisease,0.0552895938513786
CNTN2,CNTN2,NeuroDev,0.182019601261234
DLL3,DLL3,None,0.281862989419955
ZBTB16,ZBTB16,NeuroDev,-0.980404338614891
GLI3,GLI3,NeuroDisease,-0.769269493553642
AL137139.2,AL137139.2,None,-1.65398256674641
SPSB4,SPSB4,None,-0.472888429623321
IFITM3,IFITM3,None,-2.11022956015364
GLCCI1,GLCCI1,None,0.454574647682456
RFTN2,RFTN2,None,0.568763788570628
DLEU2,DLEU2,None,0.0722499907197051
ENOX1,ENOX1,None,0.719102498169891
CD82,CD82,None,-1.0146763649632
FOXJ1,FOXJ1,NeuroDev,-1.84926470529794
AC132153.1,AC132153.1,None,-1.82467663760588
NDST3,NDST3,None,-0.970943977743601
TMEM132D,TMEM132D,None,-2.38790111938474
LHX1,LHX1,NeuroDev,-3.50552982628037
MTCL1,MTCL1,None,0.0699682302191178
