TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
GABPB1,CELF4,654.7257675,GeneralTF,-0.07004488033030223,NeuroDisease,0.16357286576412958
PROX2,OLFM2,646.0503549,NeuroDev,Not Known,None,-0.03891553907212886
ZNF114,AUTS2,443.8435486,GeneralTF,0.0330128271593219,NeuroDisease,1.0161592631959209
EZR,AC091885.2,431.5511709,GeneralTF,-0.837765467055438,None,-0.33041923995944994
RFX4,AC079385.1,404.2898899,NeuroDev,0.015713449689842604,None,0.23879449613893175
ZNF362,PLEKHA6,382.8697645,GeneralTF,-0.13782942557329042,None,-0.4538357169487717
ENO1,IGFBP2,359.3942994,GeneralTF,-0.5368327759641774,None,-0.6863014275128385
TPI1,ENO1,357.5183125,NeuroDisease,-0.2792816025922574,GeneralTF,-0.5368327759641774
RORA,AC012404.1,353.3990829,NeuroDisease,-0.12873867599993305,None,-0.6009089689628675
NFIA,NFIA-AS2,342.796299,NeuroDisease,-0.9209455126041796,None,-0.3439489239658416
ENO1,TPI1,341.2652379,GeneralTF,-0.5368327759641774,NeuroDisease,-0.2792816025922574
ENO1,FAM162A,340.8813433,GeneralTF,-0.5368327759641774,None,-0.6832543645800356
RPS10,RPS27,324.8039692,GeneralTF,-0.09294964162965774,None,0.04178188274941022
RPS10,RPL39,322.9347198,GeneralTF,-0.09294964162965774,None,-0.22325699715126562
ENO1,BNIP3,315.6728903,GeneralTF,-0.5368327759641774,NeuroDev,-0.8381883836219874
EZR,DNAJB9,314.6866978,GeneralTF,-0.837765467055438,None,0.028512136476035
NR2F2,NR2F1,313.3862125,NeuroDev,-0.6551987782534493,NeuroDisease,-0.2179795969734623
SOX11,SOX4,310.8687466,NeuroDisease,0.24233543301072427,NeuroDisease,0.2328105103407569
SIX3,TLE4,309.158943,NeuroDisease,0.5650609563731847,None,-0.0738642461419988
HESX1,G3BP1,306.8204615,NeuroDisease,Not Known,None,-0.2580062327994956
NR2F2,NR2F2-AS1,302.7457832,NeuroDev,-0.6551987782534493,None,-1.100934202945153
RPL6,EEF1A1,302.3973264,GeneralTF,-0.27235618326369987,None,-0.13976960991825282
CELF4,GABPB1,299.8189132,NeuroDisease,0.16357286576412958,GeneralTF,-0.07004488033030223
ZNF544,AC004797.1,299.067648,GeneralTF,-0.06568282909723296,None,-0.26552108546020226
RFX2,VPS53,296.113337,GeneralTF,-0.35635186083832865,NeuroDisease,-0.03424603756505221
RPL6,RPL17,295.2077828,GeneralTF,-0.27235618326369987,None,-0.4154307993380327
SOX4,TUBA1A,291.9693981,NeuroDisease,0.2328105103407569,NeuroDisease,0.18135552787308623
ZNF544,KIF9,284.8237894,GeneralTF,-0.06568282909723296,None,-0.6247293540000899
NFIB,NFIA,281.4473996,NeuroDisease,-0.43574053190771334,NeuroDisease,-0.9209455126041796
RPL6,RPL24,279.6813806,GeneralTF,-0.27235618326369987,None,-0.2464688942809413
SOX4,TMSB10,275.0348851,NeuroDisease,0.2328105103407569,None,0.09158344269211913
PRDM11,AC096570.2,273.2497449,GeneralTF,-0.010954306177676332,None,0.000979209228142075
HMGB2,PTTG1,268.4016859,GeneralTF,-0.08553722379262044,None,-0.12669629425627713
RPS10,RPL37A,265.8885151,GeneralTF,-0.09294964162965774,None,-0.2561875540831719
RPS10,RPL38,264.8300644,GeneralTF,-0.09294964162965774,None,-0.1945946753618355
RPL6,RPL9,264.3421563,GeneralTF,-0.27235618326369987,None,-0.3588955868540665
NR2F1,NR2F2,263.9097199,NeuroDisease,-0.2179795969734623,NeuroDev,-0.6551987782534493
ZNF544,PEX14,262.2086194,GeneralTF,-0.06568282909723296,NeuroDisease,-0.33429472380830183
NR2F1,NR2F1-AS1,261.9845097,NeuroDisease,-0.2179795969734623,None,-0.09925895616737801
NR4A3,STX17-AS1,261.3452375,GeneralTF,-1.1268996732836374,None,-0.8566153082068155
RPL6,RPL13,260.478477,GeneralTF,-0.27235618326369987,None,-0.34699110248607656
