name,shared name,type,avgExpression
GABPB1,GABPB1,GeneralTF,-0.07004488033030223
PROX2,PROX2,NeuroDev,0.0
ZNF114,ZNF114,GeneralTF,0.0330128271593219
EZR,EZR,GeneralTF,-0.837765467055438
RFX4,RFX4,NeuroDev,0.015713449689842604
ZNF362,ZNF362,GeneralTF,-0.13782942557329042
ENO1,ENO1,GeneralTF,-0.5368327759641774
TPI1,TPI1,NeuroDisease,-0.2792816025922574
RORA,RORA,NeuroDisease,-0.12873867599993305
NFIA,NFIA,NeuroDisease,-0.9209455126041796
RPS10,RPS10,GeneralTF,-0.09294964162965774
NR2F2,NR2F2,NeuroDev,-0.6551987782534493
SOX11,SOX11,NeuroDisease,0.24233543301072427
SIX3,SIX3,NeuroDisease,0.5650609563731847
HESX1,HESX1,NeuroDisease,0.0
RPL6,RPL6,GeneralTF,-0.27235618326369987
CELF4,CELF4,NeuroDisease,0.16357286576412958
ZNF544,ZNF544,GeneralTF,-0.06568282909723296
RFX2,RFX2,GeneralTF,-0.35635186083832865
SOX4,SOX4,NeuroDisease,0.2328105103407569
NFIB,NFIB,NeuroDisease,-0.43574053190771334
PRDM11,PRDM11,GeneralTF,-0.010954306177676332
HMGB2,HMGB2,GeneralTF,-0.08553722379262044
NR2F1,NR2F1,NeuroDisease,-0.2179795969734623
NR4A3,NR4A3,GeneralTF,-1.1268996732836374
RPL35,RPL35,GeneralTF,-0.29201896090568313
RPS4X,RPS4X,GeneralTF,-0.16223478815964976
EBF1,EBF1,GeneralTF,0.7943503439548684
PRDM16,PRDM16,GeneralTF,-0.5491217034646841
ZFHX3,ZFHX3,NeuroDev,0.488771779598354
NCOR2,NCOR2,NeuroDev,-0.03364919612499937
ID1,ID1,NeuroDev,-1.2720065193842345
HMGA2,HMGA2,GeneralTF,-2.042590777540231
PBX3,PBX3,NeuroDev,0.49665804512848
FOS,FOS,NeuroDev,-0.6847882896602215
ZNF76,ZNF76,NeuroDev,-0.24583670519206394
DLX5,DLX5,NeuroDev,1.268927897257204
RAD21,RAD21,NeuroDisease,-0.041019137251091645
