name,shared name,type,avgExpression
RPL6,RPL6,GeneralTF,-0.27235618326369987
RPS4X,RPS4X,GeneralTF,-0.16223478815964976
RPL35,RPL35,GeneralTF,-0.29201896090568313
RPS10,RPS10,GeneralTF,-0.09294964162965774
YBX1,YBX1,GeneralTF,-0.1048253496486187
HMGB2,HMGB2,GeneralTF,-0.08553722379262044
HNRNPA1,HNRNPA1,GeneralTF,-0.11763624837659663
SOX4,SOX4,NeuroDisease,0.2328105103407569
CELF4,CELF4,NeuroDisease,0.16357286576412958
PRDM15,PRDM15,HSA21TF,-0.010645161311893026
PFKL,PFKL,HSA21gene,0.3763142628366345
HUNK,HUNK,HSA21gene,0.47777732655876076
COL6A1,COL6A1,HSA21gene,-0.16734727954138712
IFNAR1,IFNAR1,HSA21gene,0.7524677752226466
SOD1,SOD1,HSA21TF,0.4228640436619747
COL6A2,COL6A2,HSA21gene,-1.1541061063627733
TMEM50B,TMEM50B,HSA21gene,0.42628080164787613
APP,APP,HSA21gene,0.6908510894010316
URB1,URB1,HSA21gene,0.32753174651510975
CXADR,CXADR,HSA21gene,0.593612051773126
BTG3,BTG3,HSA21gene,0.24545934482201273
C21orf91,C21orf91,HSA21gene,-0.009561654803319377
CHODL,CHODL,HSA21gene,0.9657257475573602
NCAM2,NCAM2,HSA21gene,0.58026681338765
MRPL39,MRPL39,HSA21gene,0.5738623559628311
JAM2,JAM2,HSA21gene,0.3468578363863962
ATP5PF,ATP5PF,HSA21gene,0.49713906921066736
GABPA,GABPA,HSA21TF,0.5980974776744474
ADAMTS1,ADAMTS1,HSA21gene,-0.9550048822061166
ADAMTS5,ADAMTS5,HSA21gene,0.06080744822662247
HSPA13,HSPA13,HSA21gene,0.6557443607178226
USP25,USP25,HSA21gene,0.4401609165733532
N6AMT1,N6AMT1,HSA21gene,-0.4660879267988814
USP16,USP16,HSA21gene,0.3471598101861162
CCT8,CCT8,HSA21gene,0.631659718252785
BACH1,BACH1,HSA21TF,0.5900867961274325
TIAM1,TIAM1,HSA21gene,0.7741615670534788
SCAF4,SCAF4,HSA21gene,0.4809803439899841
VPS26C,VPS26C,HSA21gene,0.7953177408330827
DYRK1A,DYRK1A,HSA21gene,0.6182913765216492
KCNJ6,KCNJ6,HSA21gene,1.1023902690822458
ETS2,ETS2,HSA21TF,-0.04807447610644955
MIS18A,MIS18A,HSA21gene,0.5285793458231031
SYNJ1,SYNJ1,HSA21gene,0.713531349465686
PAXBP1,PAXBP1,HSA21TF,0.5039787738031637
IFNAR2,IFNAR2,HSA21gene,0.6258317340510343
IFNGR2,IFNGR2,HSA21gene,0.6197370338336676
GART,GART,HSA21gene,0.5294735117968644
SON,SON,HSA21TF,0.5630603646346979
