source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
GABPA,TXN,True,True,False,True,True,False,1,SPIKE:19114066,SPIKE,post_translational,19114066,1,1,1
MAPK3,GABPA,True,True,False,True,True,False,1,SPIKE:19114066,SPIKE,post_translational,19114066,1,1,1
MAPK1,GABPA,True,True,False,True,True,False,1,SPIKE:19114066,SPIKE,post_translational,19114066,1,1,1
RELA,TEP1,True,False,True,True,False,True,1,SPIKE:14729949,SPIKE,post_translational,14729949,1,1,1
BACE2,APP,True,True,False,True,True,False,15,HPRD-phos:10936190;HPRD-phos:15178331;HPRD-phos:8764598;HPRD:10605825;HPRD:10931940;HPRD:10936190;HPRD:15178331;HPRD:8764598;KEA:10936190;KEA:15178331;KEA:8764598;SPIKE:20418918;iPTMnet:10936190;iPTMnet:15178331;iPTMnet:8764598,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoSite_KEA;PhosphoSite_MIMP;SPIKE;Wang;iPTMnet;phosphoELM_MIMP,post_translational,10605825;10931940;10936190;15178331;20418918;8764598,6,12,7
MAPK8,MAP2K4,True,False,False,False,False,False,10,ELM:12788955;ELM:23047924;ELM:26370088;HPRD:11062067;HPRD:9661668;HPRD:9808624;InnateDB:10713157;InnateDB:12788955;InnateDB:13130464;InnateDB:15998799,ELM;HPRD;InnateDB;PhosphoPoint,post_translational,10713157;11062067;12788955;13130464;15998799;23047924;26370088;9661668;9808624,9,4,4
MAP2K4,MAPK8,True,True,False,True,True,False,88,ACSN:11274345;ACSN:12624093;ACSN:12738796;ACSN:18855897;ACSN:21614932;ELM:12788955;ELM:23047924;ELM:26370088;HPRD-phos:16153436;HPRD-phos:18669648;HPRD:11062067;HPRD:9661668;HPRD:9808624;InnateDB:10713157;InnateDB:12788955;InnateDB:13130464;InnateDB:15998799;KEA:11062067;KEA:15755722;KEA:15911620;KEA:16153436;KEA:17192257;KEA:7839144;KEA:9312068;KEA:95141073;PhosphoSite:23416355;ProtMapper:10385525;ProtMapper:10499589;ProtMapper:10521444;ProtMapper:10748139;ProtMapper:10791986;ProtMapper:10958661;ProtMapper:10962008;ProtMapper:11062067;ProtMapper:11099046;ProtMapper:11389443;ProtMapper:11489946;ProtMapper:11847100;ProtMapper:12133933;ProtMapper:12354380;ProtMapper:12709432;ProtMapper:12917261;ProtMapper:14523011;ProtMapper:15068801;ProtMapper:16076903;ProtMapper:16282370;ProtMapper:16440308;ProtMapper:17143273;ProtMapper:7600581;ProtMapper:7600582;ProtMapper:7652575;ProtMapper:7992057;ProtMapper:8702918;ProtMapper:8805275;ProtMapper:8910292;ProtMapper:9108083;ProtMapper:9305638;ProtMapper:9448004;ProtMapper:9487126;ProtMapper:9724739;ProtMapper:9733714;ProtMapper:9860979;ProtMapper:9891069;SIGNOR:11062067;SIGNOR:9724739;SPIKE:15302099;SignaLink3:11062067;SignaLink3:11242034;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:9207092;SignaLink3:9661668;SignaLink3:9808624;dbPTM:17192257;dbPTM:18083107;dbPTM:18669648;dbPTM:19369195;dbPTM:19534553;dbPTM:19690332;iPTMnet:11062067;iPTMnet:15911620;iPTMnet:16153436;iPTMnet:18669648;iPTMnet:7839144;iPTMnet:9724739;phosphoELM:15911620;phosphoELM:7839144,ACSN;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;KEGG-MEDICUS;MIMP;NCI-PID_ProtMapper;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10385525;10499589;10521444;10713157;10748139;10791986;10958661;10962008;11062067;11099046;11242034;11274345;11389443;11489946;11847100;12133933;12354380;12624093;12709432;12738796;12788955;12917261;13130464;14523011;15068801;15302099;15755722;15911620;15998799;16076903;16153436;16282370;16440308;17143273;17192257;18083107;18669648;18855897;18988627;19369195;19534553;19690332;21071413;21614932;23047924;23331499;23416355;26370088;7600581;7600582;7652575;7839144;7992057;8702918;8805275;8910292;9108083;9207092;9305638;9312068;9448004;9487126;95141073;9661668;9724739;9733714;9808624;9860979;9891069,69,29,19
RAC1,TIAM1,True,True,False,False,False,False,11,Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749,Adhesome;BioGRID;HPRD;Lit-BM-17,post_translational,10212259;10592173;11130063;11595749;7753201;8910315,6,4,4
TIAM1,RAC1,True,True,False,True,True,False,19,ACSN:11955434;ACSN:12829230;ACSN:15611338;ACSN:15967165;Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;CA1:10212259;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749;SIGNOR:12393875;SIGNOR:32203420;SPIKE:11130063,ACSN;Adhesome;BioGRID;CA1;HPRD;Lit-BM-17;SIGNOR;SPIKE;Wang,post_translational,10212259;10592173;11130063;11595749;11955434;12393875;12829230;15611338;15967165;32203420;7753201;8910315,12,9,9
BCL2,CASP3,True,False,True,False,False,False,2,HPRD:11948397;HPRD:9395403,HPRD;Wang,post_translational,11948397;9395403,2,2,2
CASP3,BCL2,True,False,True,True,False,True,5,ACSN:10409669;ACSN:20139069;HPRD:11948397;HPRD:9395403;SPIKE:9395403,ACSN;HPRD;SPIKE;Wang,post_translational,10409669;11948397;20139069;9395403,4,4,4
E2F1,BRCA1,True,True,False,True,True,False,6,ACSN:12909625;DIP:12697828;HPRD:11278247;HPRD:9244350;SPIKE:18319725;SPIKE:18660752,ACSN;DIP;HPRD;SPIKE,post_translational,11278247;12697828;12909625;18319725;18660752;9244350,6,4,4
E2F1,EZH2,True,True,False,True,True,False,3,ACSN:14532106;SPIKE:14532106;SPIKE:18319725,ACSN;SPIKE,post_translational,14532106;18319725,2,2,2
PKNOX1,PAX6,True,True,False,True,True,False,1,SPIKE:20413611,SPIKE,post_translational,20413611,1,1,1
CASP3,CASP8,True,True,False,False,False,False,7,DIP:18669646;HPRD:11437602;InnateDB:15014070;InnateDB:17179148;InnateDB:18458084;InnateDB:9208847;SPIKE:9922454,DIP;HPRD;InnateDB;SPIKE;Wang,post_translational,11437602;15014070;17179148;18458084;18669646;9208847;9922454,7,5,5
CASP8,CASP3,True,True,False,True,True,False,20,ACSN:15755874;ACSN:23308069;ACSN:9765224;CA1:8962078;DIP:18669646;HPRD-phos:11437602;HPRD:11437602;InnateDB:15014070;InnateDB:17179148;InnateDB:18458084;InnateDB:9208847;Macrophage:9501089;Macrophage:9765224;Macrophage:9885230;Macrophage:9950028;SIGNOR:10988287;SIGNOR:16964285;SIGNOR:21295084;SPIKE:11437602;SPIKE:9765224,ACSN;CA1;DIP;HPRD;HPRD-phos;InnateDB;KEGG-MEDICUS;Macrophage;SIGNOR;SPIKE;Wang,post_translational,10988287;11437602;15014070;15755874;16964285;17179148;18458084;18669646;21295084;23308069;8962078;9208847;9501089;9765224;9885230;9950028,16,11,11
CASP3,PTK2,True,False,True,True,False,True,2,SPIKE:10224094;SPIKE:9463408,SPIKE,post_translational,10224094;9463408,2,1,1
CDKN2A,BCL2L1,True,False,True,True,False,True,1,SPIKE:19049976,SPIKE,post_translational,19049976,1,1,1
CDKN2A,BCL2L1,True,False,True,True,False,True,1,SPIKE:19049976,SPIKE,post_translational,19049976,1,1,1
MAPK8,BCL2,True,True,True,True,False,True,41,ACSN:10677502;ACSN:11323415;ACSN:9115213;ACSN:9738012;HPRD-phos:10567572;HPRD-phos:12039864;HPRD-phos:15225643;HPRD:10567572;HPRD:12039864;HPRD:15225643;InnateDB:15733859;KEA:10567572;KEA:11323415;KEA:12039864;KEA:15225643;PhosphoSite:10567572;PhosphoSite:12421819;PhosphoSite:15703383;PhosphoSite:16738310;PhosphoSite:17097560;ProtMapper:10567572;ProtMapper:11323415;ProtMapper:18570871;ProtMapper:20919655;ProtMapper:21726807;ProtMapper:21993018;ProtMapper:22848813;ProtMapper:23329792;ProtMapper:26609913;ProtMapper:29950132;SIGNOR:10567572;SIGNOR:18570871;SPIKE:18471544;SPIKE:18570871;SPIKE:19029119;dbPTM:18570871;iPTMnet:10567572;iPTMnet:12039864;iPTMnet:15225643;iPTMnet:18570871;phosphoELM:10567572,ACSN;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10567572;10677502;11323415;12039864;12421819;15225643;15703383;15733859;16738310;17097560;18471544;18570871;19029119;20919655;21726807;21993018;22848813;23329792;26609913;29950132;9115213;9738012,22,27,16
CDKN2A,E2F1,True,False,True,False,False,False,4,ACSN:12446760;ACSN:16135794;BioGRID:16135794;HPRD:11314038,ACSN;BioGRID;HPRD;Wang,post_translational,11314038;12446760;16135794,3,4,4
