name,shared name,type,avgExpression
ATF3,ATF3,GeneralTF,-0.997739004328409
ATAD2,ATAD2,None,0.0791919091924899
MYCN,MYCN,NeuroDisease,-0.226042855734962
MAPKAPK5,MAPKAPK5,None,-0.106022460264227
SIX1,SIX1,NeuroDev,0.0
DAPK1,DAPK1,None,0.151992349436749
DAPK3,DAPK3,None,0.0366188657763191
ABCB1,ABCB1,None,-0.429352147346225
CASP10,CASP10,None,0.0
CDC25C,CDC25C,None,0.37529224258794
CHEK2,CHEK2,None,-0.267245501227948
HIPK2,HIPK2,NeuroDev,-0.0372065829427644
SMG1,SMG1,None,0.007095388920435
BCL2,BCL2,NeuroDev,-0.404613566907568
PLK2,PLK2,None,0.385791505699371
CHEK1,CHEK1,None,-0.243389230734546
PLAGL1,PLAGL1,GeneralTF,-0.490819001201942
NLRC4,NLRC4,None,-0.138614939649854
DDX17,DDX17,None,0.0392589846726773
RB1,RB1,NeuroDev,-0.153936206503276
PTK2,PTK2,NeuroDev,0.000107594121696
PML,PML,GeneralTF,-0.0072690256758463
PLK3,PLK3,None,0.11730679282574
COP1,COP1,None,0.275927066255156
TP73,TP73,GeneralTF,-0.548869641338147
TP63,TP63,NeuroDev,0.0
DYRK2,DYRK2,None,-0.256409855301508
HIF1A,HIF1A,NeuroDev,0.272440223650352
CSNK2B,CSNK2B,NeuroDisease,0.0313030968113337
ESCO1,ESCO1,None,0.0441973210678024
SMYD2,SMYD2,None,-0.252813659164411
BCL6,BCL6,NeuroDev,-0.417426558892887
MYB,MYB,GeneralTF,0.537445745016566
SSBP1,SSBP1,None,-0.215296612457318
KAT5,KAT5,NeuroDisease,-0.0586248104744408
KDM4A,KDM4A,GeneralTF,-0.0757683794859969
DDX5,DDX5,None,0.0719770611322954
TP53,TP53,NeuroDev,-0.173648643550085
EP300,EP300,NeuroDisease,0.0290529606155091
AKT1,AKT1,NeuroDev,-0.0323540500326005
SETD7,SETD7,None,0.254849447960545
KDM3A,KDM3A,None,0.0010030919198039
STAT6,STAT6,GeneralTF,0.0
HSPB1,HSPB1,None,-0.2700574510317
FOXO1,FOXO1,GeneralTF,-0.0083718555889813
PLK1,PLK1,None,0.0490432923397091
WAPL,WAPL,None,-0.0428198295647994
KAT2B,KAT2B,None,0.328793038064756
HDAC1,HDAC1,NeuroDev,-0.403865420498788
MAT1A,MAT1A,NeuroDisease,0.0
MTA1,MTA1,None,0.0501551933979381
CTNNB1,CTNNB1,NeuroDisease,0.0014546946789975
SMAD2,SMAD2,GeneralTF,0.020305321794319
HNRNPK,HNRNPK,NeuroDisease,0.067944680360788
ERCC6,ERCC6,NeuroDisease,0.0595126741694385
TDG,TDG,None,-0.333632158478797
MID1,MID1,NeuroDisease,-0.56191551297167
ELAVL1,ELAVL1,None,-0.135896263462696
KDM1A,KDM1A,NeuroDisease,-0.0369517855835835
HIF1AN,HIF1AN,None,0.0164562163406673
KDM7A,KDM7A,NeuroDev,0.0234038160618333
ING2,ING2,None,0.0188685279439532
ASF1A,ASF1A,None,-0.0802248054999805
MDM4,MDM4,None,0.35226488608312
GTSE1,GTSE1,None,-0.226152220356213
MSL2,MSL2,None,0.122642152589288
