source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
ATF3,TP53,True,False,True,False,False,False,5,HPRD:11792711;Lit-BM-17:11792711;Lit-BM-17:15933712;Lit-BM-17:16169070;SPIKE:15933712,HPRD;Lit-BM-17;SPIKE,post_translational,11792711;15933712;16169070,3,3,3
ATAD2,ESR1,True,True,False,True,True,False,8,BioGRID:17998543;DIP:17998543;HPRD:17998543;IntAct:17998543;IntAct:25640309;Lit-BM-17:17998543;Lit-BM-17:25640309;SPIKE:17998543,BioGRID;DIP;HPRD;IntAct;Lit-BM-17;SPIKE,post_translational,17998543;25640309,2,6,6
MYCN,TP53,True,True,False,True,True,False,1,SPIKE:20145147,SPIKE,post_translational,20145147,1,1,1
ATAD2,AR,True,True,False,True,True,False,1,SPIKE:19318566,SPIKE,post_translational,19318566,1,1,1
MAPKAPK5,TP53,True,True,False,True,True,False,13,HPRD:17254968;KEA:17254968;ProtMapper:17254968;ProtMapper:17624785;ProtMapper:23685072;ProtMapper:24818748;ProtMapper:26295581;SIGNOR:17254968;SPIKE:17254968;SPIKE:18568040;dbPTM:17254968;iPTMnet:17254968;phosphoELM:17254968,HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_MIMP,post_translational,17254968;17624785;18568040;23685072;24818748;26295581,6,18,10
SIX1,GATA3,True,True,False,True,True,False,1,SPIKE:12874121,SPIKE,post_translational,12874121,1,1,1
DAPK1,TP53,True,True,False,True,True,False,37,KEA:10801407;KEA:12111733;KEA:15254178;KEA:15489221;KEA:17339337;PhosphoSite:10606744;PhosphoSite:10673501;PhosphoSite:10733583;PhosphoSite:10734067;PhosphoSite:11244509;PhosphoSite:11258706;PhosphoSite:11707453;PhosphoSite:11883897;PhosphoSite:12091386;PhosphoSite:15355354;PhosphoSite:15542844;PhosphoSite:17339337;PhosphoSite:17977830;PhosphoSite:18246126;PhosphoSite:20851891;PhosphoSite:20959462;PhosphoSite:21386980;PhosphoSite:22112863;PhosphoSite:22815859;PhosphoSite:25584963;PhosphoSite:26742101;PhosphoSite:27753536;PhosphoSite:32266931;PhosphoSite:34168813;ProtMapper:17339337;ProtMapper:25229255;ProtMapper:26626260;ProtMapper:27681874;SIGNOR:17339337;iPTMnet:17297916;iPTMnet:17339337;phosphoELM:17339337,HPRD_MIMP;KEA;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10606744;10673501;10733583;10734067;10801407;11244509;11258706;11707453;11883897;12091386;12111733;15254178;15355354;15489221;15542844;17297916;17339337;17977830;18246126;20851891;20959462;21386980;22112863;22815859;25229255;25584963;26626260;26742101;27681874;27753536;32266931;34168813,32,15,8
DAPK3,AR,True,True,False,True,True,False,2,NetPath:18084323;SPIKE:18084323,NetPath;SPIKE;Wang,post_translational,18084323,1,3,3
ABCB1,TP53,True,False,True,False,False,False,0,,Wang,post_translational,,,1,1
CASP10,TP53,True,True,False,False,False,False,0,,Wang,post_translational,,,1,1
CDC25C,TP53,True,False,False,False,False,False,3,HPRD-phos:16753148;HPRD:10853038;HPRD:16753148,HPRD;HPRD-phos,post_translational,10853038;16753148,2,2,2
