name,shared name,type,avgExpression
ESCO1,ESCO1,None,0.0441973210678024
PHF1,PHF1,None,-0.0829543178078498
PLK1,PLK1,None,0.0490432923397091
WAPL,WAPL,None,-0.0428198295647994
TP53,TP53,NeuroDev,-0.173648643550085
MAPK14,MAPK14,None,0.0736353810720352
PAX6,PAX6,NeuroDisease,-0.460448956574269
STAG2,STAG2,NeuroDisease,0.153853451067587
PRSS21,PRSS21,None,0.0
MSX2,MSX2,GeneralTF,0.0
DLX2,DLX2,NeuroDev,0.899707200698293
LCK,LCK,None,0.0
LHX2,LHX2,NeuroDev,-0.876500588066355
KLF8,KLF8,GeneralTF,0.0
DLX5,DLX5,NeuroDev,1.15915726089122
MSX1,MSX1,NeuroDev,-0.792794728693981
ID1,ID1,NeuroDev,-0.992260582943818
STAT5A,STAT5A,GeneralTF,0.0
CEBPA,CEBPA,GeneralTF,0.0
SNURF,SNURF,None,0.0
PRKDC,PRKDC,NeuroDev,-0.0841408891136597
SMAD3,SMAD3,GeneralTF,-0.394794958854225
ID2,ID2,NeuroDev,-0.387088454160459
ID3,ID3,NeuroDev,-2.01152545492935
TLE1,TLE1,None,-0.0828449613489
TLE5,TLE5,None,-0.036542577710352
PAK5,PAK5,None,0.352835021445958
PRKCB,PRKCB,None,0.0724144116284888
GSK3B,GSK3B,NeuroDev,0.0458953188157226
PIM1,PIM1,None,-0.0294114206909168
ESPL1,ESPL1,None,0.380502133679037
EP300,EP300,NeuroDisease,0.0290529606155091
KAT5,KAT5,NeuroDisease,-0.0586248104744408
CDKN2A,CDKN2A,None,0.0
MECOM,MECOM,GeneralTF,-0.213994954086585
CIITA,CIITA,None,0.0
TAF1,TAF1,NeuroDisease,-0.0755494777573568
HIPK2,HIPK2,NeuroDev,-0.0372065829427644
INS,INS,None,0.0
GSK3A,GSK3A,NeuroDev,0.055704048630229
MAPK11,MAPK11,None,-0.0135004699827774
HDAC8,HDAC8,NeuroDisease,-0.285798920480167
CDK2,CDK2,None,-0.15365076430708
IL2,IL2,None,0.0
ZNF652,ZNF652,GeneralTF,0.131312513141026
HDAC1,HDAC1,NeuroDev,-0.403865420498788
RB1,RB1,NeuroDev,-0.153936206503276
STAT5B,STAT5B,GeneralTF,0.203078710673061
CD70,CD70,None,0.0
IL27,IL27,None,0.0
TGFB1,TGFB1,NeuroDev,-0.450336365762482
IL4,IL4,None,0.0
RUNX1,RUNX1,HSA21TF,0.654284266741855
SIX3,SIX3,NeuroDisease,0.538426232938441
ROCK1,ROCK1,NeuroDev,0.105114520288849
GLB1,GLB1,NeuroDisease,0.159155992188873
LRRC32,LRRC32,None,0.0
AR,AR,GeneralTF,-0.339977118911973
CEBPB,CEBPB,NeuroDev,-0.369942582599327
CTCF,CTCF,NeuroDisease,0.0427222023818481
E2F1,E2F1,NeuroDev,0.275697511278852
E2F4,E2F4,GeneralTF,0.0575742537614502
ESR1,ESR1,GeneralTF,0.0
FOS,FOS,NeuroDev,-0.68318990633384
FOXA1,FOXA1,NeuroDev,0.0
FOXP1,FOXP1,NeuroDisease,0.0879010102888182
GATA1,GATA1,GeneralTF,0.0
GATA2,GATA2,NeuroDev,0.0
GATA3,GATA3,NeuroDev,0.0
IRF1,IRF1,GeneralTF,0.0
JUN,JUN,NeuroDev,-0.286281020169732
JUNB,JUNB,GeneralTF,-0.532966332466368
JUND,JUND,GeneralTF,-0.268160033811389
MAFK,MAFK,GeneralTF,0.0
MXI1,MXI1,GeneralTF,0.208336582856753
MYC,MYC,GeneralTF,0.419796940702092
NFATC2,NFATC2,GeneralTF,0.0
PRDM14,PRDM14,GeneralTF,0.0
