source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
ESCO1,RAD21,True,True,False,True,True,False,1,SPIKE:20331966,SPIKE,post_translational,20331966,1,1,1
PHF1,SUZ12,True,True,False,True,True,False,2,InnateDB:24457600;SPIKE:18285464,InnateDB;SPIKE,post_translational,18285464;24457600,2,2,2
PLK1,RAD21,True,True,False,True,True,False,8,ACSN:11073952;ACSN:18931676;ACSN:19270156;ACSN:19622404;ACSN:19686080;PhosphoSite:15737063;PhosphoSite:25299182;SPIKE:18616427,ACSN;PhosphoSite;PhosphoSite_noref;ProtMapper;Reactome_ProtMapper;SPIKE;Wang,post_translational,11073952;15737063;18616427;18931676;19270156;19622404;19686080;25299182,8,7,5
WAPL,RAD21,True,False,True,True,False,True,3,HPRD:17112726;IntAct:17112726;SPIKE:17112726,HPRD;IntAct;SPIKE,post_translational,17112726,1,3,3
TP53,NFYB,True,False,True,True,False,True,3,HPRD:16959611;SPIKE:11096075;SPIKE:15831478,HPRD;SPIKE,post_translational,11096075;15831478;16959611,3,2,2
MAPK14,USF1,True,True,False,True,True,False,10,PhosphoSite:11532965;PhosphoSite:16622840;PhosphoSite:19389701;PhosphoSite:21873430;ProtMapper:11532965;ProtMapper:19389701;SIGNOR:19389701;SPIKE:19389701;iPTMnet:11532965;iPTMnet:19389701,MIMP;NCI-PID_ProtMapper;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Wang;iPTMnet,post_translational,11532965;16622840;19389701;21873430,4,11,7
PAX6,SIX3,True,True,False,True,True,False,3,HPRD:11069920;SPIKE:11069887;SPIKE:12072567,HPRD;SPIKE,post_translational,11069887;11069920;12072567,3,2,2
STAG2,RAD21,True,True,False,True,True,False,7,DIP:22885700;DIP:25173175;HPRD:11590136;HPRD:12034751;IntAct:25173175;IntAct:29263825;SIGNOR:28430577,DIP;HPRD;IntAct;SIGNOR;Wang,post_translational,11590136;12034751;22885700;25173175;28430577;29263825,6,5,5
PRSS21,RAD21,True,True,False,True,True,False,1,SIGNOR:11875078,SIGNOR,post_translational,11875078,1,1,1
MSX2,DLX2,True,False,True,False,False,False,2,HPRD:9111364;SIGNOR:9111364,HPRD;SIGNOR,post_translational,9111364,1,2,2
DLX2,MSX2,True,True,True,True,False,True,2,HPRD:9111364;SIGNOR:9111364,HPRD;SIGNOR;Wang,post_translational,9111364,1,3,3
LCK,FOXP3,True,False,True,True,False,True,7,PhosphoSite:24155921;PhosphoSite:30011797;ProtMapper:24155921;ProtMapper:26441996;ProtMapper:28757603;SIGNOR:24155921;iPTMnet:24155921,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet,post_translational,24155921;26441996;28757603;30011797,4,10,5
LHX2,MSX1,True,False,True,True,False,True,2,HPRD:9697309;SIGNOR:9697309,HPRD;SIGNOR,post_translational,9697309,1,2,2
KLF8,CTBP2,True,True,False,True,True,False,3,HPRD:10756197;Lit-BM-17:10756197;SIGNOR:10756197,HPRD;Lit-BM-17;SIGNOR,post_translational,10756197,1,3,3
DLX5,MSX1,True,False,True,True,False,True,1,SIGNOR:9111364,SIGNOR,post_translational,9111364,1,1,1
MSX1,DLX2,True,False,True,True,False,True,2,Lit-BM-17:9111364;SIGNOR:9111364,Lit-BM-17;SIGNOR,post_translational,9111364,1,2,2
DLX2,MSX1,True,False,True,True,False,True,2,Lit-BM-17:9111364;SIGNOR:9111364,Lit-BM-17;SIGNOR,post_translational,9111364,1,2,2
DLX5,MSX2,True,False,True,True,False,True,2,HPRD:9111364;SIGNOR:9111364,HPRD;SIGNOR,post_translational,9111364,1,2,2
