source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
GABPA,TXN,True,True,False,True,True,False,1,SPIKE:19114066,SPIKE,post_translational,19114066,1,1,1
MAPK3,GABPA,True,True,False,True,True,False,1,SPIKE:19114066,SPIKE,post_translational,19114066,1,1,1
MAPK1,GABPA,True,True,False,True,True,False,1,SPIKE:19114066,SPIKE,post_translational,19114066,1,1,1
AKT1,CHUK,True,True,False,True,True,False,28,BioGRID:10485711;BioGRID:11278366;BioGRID:15710601;BioGRID:15800029;CancerCellMap:10485710;ELM:10485710;HPRD-phos:10485710;HPRD:10485710;InnateDB:10485710;KEA:10485710;KEA:12048203;KEA:17570479;KEA:18515365;Lit-BM-17:10485710;Lit-BM-17:10485711;Lit-BM-17:11278366;Lit-BM-17:15710601;Lit-BM-17:15800029;Lit-BM-17:25241761;NetPath:17660512;ProtMapper:10485710;ProtMapper:19609947;SIGNOR:19609947;SPIKE:19442713;dbPTM:10485710;dbPTM:19088076;iPTMnet:10485710;iPTMnet:19609947,BioGRID;CancerCellMap;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;Kinexus_KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;NetPath;NetworKIN_KEA;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Wang;dbPTM;iPTMnet;phosphoELM_MIMP,post_translational,10485710;10485711;11278366;12048203;15710601;15800029;17570479;17660512;18515365;19088076;19442713;19609947;25241761,13,28,17
CHUK,NFKB1,True,True,True,True,False,True,32,CancerCellMap:10469655;CancerCellMap:12482991;CancerCellMap:14743216;HPRD-phos:10469655;HPRD-phos:11158290;HPRD:11976329;InnateDB:10469655;IntAct:11297557;IntAct:12482991;KEA:10469655;KEA:11158290;KEA:11976329;KEA:12482991;Macrophage:15489227;Macrophage:15494311;Macrophage:16382138;NetPath:14743216;PhosphoSite:12482991;ProtMapper:10469655;ProtMapper:11297557;ProtMapper:11976329;ProtMapper:27554194;SIGNOR:10469655;SIGNOR:11297557;SPIKE:19442713;iPTMnet:10022904;iPTMnet:10469655;iPTMnet:11158290;iPTMnet:11976329;phosphoELM:10469655;phosphoELM:11158290;phosphoELM:12482991,CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;IntAct;KEA;MIMP;Macrophage;NetPath;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10022904;10469655;11158290;11297557;11976329;12482991;14743216;15489227;15494311;16382138;19442713;27554194,12,27,17
NFKB1,CHUK,True,True,False,False,False,False,8,CancerCellMap:10469655;CancerCellMap:12482991;CancerCellMap:14743216;HPRD:11976329;InnateDB:10469655;IntAct:11297557;IntAct:12482991;NetPath:14743216,CancerCellMap;HPRD;InnateDB;IntAct;NetPath;Wang,post_translational,10469655;11297557;11976329;12482991;14743216,5,6,6
IGF1,IGF1R,True,True,False,True,True,False,27,Baccin2019:1852007;Baccin2019:2877871;CA1:8408032;CellChatDB:14604834;CellTalkDB:2877871;Cellinker:14604834;Cellinker:1852007;Cellinker:2877871;DIP:11287679;DIP:21645859;HPMR:2877871;HPRD:1852007;IntAct:21645859;IntAct:8452530;LRdb:185;LRdb:2877871;ProtMapper:19258508;ProtMapper:23675206;SIGNOR:19029956;SIGNOR:21798082;SPIKE:1852007;SignaLink3:12067807;SignaLink3:1852007;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:1852007;connectomeDB2020:2877871,Baccin2019;CA1;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;KEGG-MEDICUS;Kirouac2010;LRdb;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;Sparser_ProtMapper;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr,post_translational,11287679;12067807;14604834;185;1852007;19029956;19258508;21071413;21645859;21798082;23331499;23675206;2877871;8408032;8452530,15,42,26
IGF1R,IGF1,True,False,False,False,False,False,6,DIP:11287679;DIP:21645859;HPMR:2877871;HPRD:1852007;IntAct:21645859;IntAct:8452530,CellCall;DIP;HPMR;HPRD;IntAct;PhosphoPoint;Wang,post_translational,11287679;1852007;21645859;2877871;8452530,5,7,7
RELA,TEP1,True,False,True,True,False,True,1,SPIKE:14729949,SPIKE,post_translational,14729949,1,1,1
BACE2,APP,True,True,False,True,True,False,15,HPRD-phos:10936190;HPRD-phos:15178331;HPRD-phos:8764598;HPRD:10605825;HPRD:10931940;HPRD:10936190;HPRD:15178331;HPRD:8764598;KEA:10936190;KEA:15178331;KEA:8764598;SPIKE:20418918;iPTMnet:10936190;iPTMnet:15178331;iPTMnet:8764598,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoSite_KEA;PhosphoSite_MIMP;SPIKE;Wang;iPTMnet;phosphoELM_MIMP,post_translational,10605825;10931940;10936190;15178331;20418918;8764598,6,12,7
CDK2,MYC,True,True,False,True,True,False,13,KEA:17570479;ProtMapper:20445224;ProtMapper:22348395;ProtMapper:27653698;ProtMapper:29896817;SPIKE:19966300;dbPTM:15103331;dbPTM:17081983;dbPTM:17558397;dbPTM:18669648;dbPTM:19966300;dbPTM:20713526;dbPTM:8386367,KEA;NetworKIN_KEA;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SPIKE;Sparser_ProtMapper;dbPTM,post_translational,15103331;17081983;17558397;17570479;18669648;19966300;20445224;20713526;22348395;27653698;29896817;8386367,12,8,4
MAPK8,MAP2K4,True,False,False,False,False,False,10,ELM:12788955;ELM:23047924;ELM:26370088;HPRD:11062067;HPRD:9661668;HPRD:9808624;InnateDB:10713157;InnateDB:12788955;InnateDB:13130464;InnateDB:15998799,ELM;HPRD;InnateDB;PhosphoPoint,post_translational,10713157;11062067;12788955;13130464;15998799;23047924;26370088;9661668;9808624,9,4,4
MAP2K4,MAPK8,True,True,False,True,True,False,88,ACSN:11274345;ACSN:12624093;ACSN:12738796;ACSN:18855897;ACSN:21614932;ELM:12788955;ELM:23047924;ELM:26370088;HPRD-phos:16153436;HPRD-phos:18669648;HPRD:11062067;HPRD:9661668;HPRD:9808624;InnateDB:10713157;InnateDB:12788955;InnateDB:13130464;InnateDB:15998799;KEA:11062067;KEA:15755722;KEA:15911620;KEA:16153436;KEA:17192257;KEA:7839144;KEA:9312068;KEA:95141073;PhosphoSite:23416355;ProtMapper:10385525;ProtMapper:10499589;ProtMapper:10521444;ProtMapper:10748139;ProtMapper:10791986;ProtMapper:10958661;ProtMapper:10962008;ProtMapper:11062067;ProtMapper:11099046;ProtMapper:11389443;ProtMapper:11489946;ProtMapper:11847100;ProtMapper:12133933;ProtMapper:12354380;ProtMapper:12709432;ProtMapper:12917261;ProtMapper:14523011;ProtMapper:15068801;ProtMapper:16076903;ProtMapper:16282370;ProtMapper:16440308;ProtMapper:17143273;ProtMapper:7600581;ProtMapper:7600582;ProtMapper:7652575;ProtMapper:7992057;ProtMapper:8702918;ProtMapper:8805275;ProtMapper:8910292;ProtMapper:9108083;ProtMapper:9305638;ProtMapper:9448004;ProtMapper:9487126;ProtMapper:9724739;ProtMapper:9733714;ProtMapper:9860979;ProtMapper:9891069;SIGNOR:11062067;SIGNOR:9724739;SPIKE:15302099;SignaLink3:11062067;SignaLink3:11242034;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:9207092;SignaLink3:9661668;SignaLink3:9808624;dbPTM:17192257;dbPTM:18083107;dbPTM:18669648;dbPTM:19369195;dbPTM:19534553;dbPTM:19690332;iPTMnet:11062067;iPTMnet:15911620;iPTMnet:16153436;iPTMnet:18669648;iPTMnet:7839144;iPTMnet:9724739;phosphoELM:15911620;phosphoELM:7839144,ACSN;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;KEGG-MEDICUS;MIMP;NCI-PID_ProtMapper;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10385525;10499589;10521444;10713157;10748139;10791986;10958661;10962008;11062067;11099046;11242034;11274345;11389443;11489946;11847100;12133933;12354380;12624093;12709432;12738796;12788955;12917261;13130464;14523011;15068801;15302099;15755722;15911620;15998799;16076903;16153436;16282370;16440308;17143273;17192257;18083107;18669648;18855897;18988627;19369195;19534553;19690332;21071413;21614932;23047924;23331499;23416355;26370088;7600581;7600582;7652575;7839144;7992057;8702918;8805275;8910292;9108083;9207092;9305638;9312068;9448004;9487126;95141073;9661668;9724739;9733714;9808624;9860979;9891069,69,29,19
