name,shared name,type,avgExpression
GABPA,GABPA,HSA21TF,0.601451678662171
MAPK3,MAPK3,NeuroDev,0.0705023326061009
MAPK1,MAPK1,NeuroDisease,-0.0641135346371894
AKT1,AKT1,NeuroDev,-0.0323540500326005
CHUK,CHUK,None,-0.287534552545625
NFKB1,NFKB1,GeneralTF,-0.296044343759716
IGF1,IGF1,NeuroDisease,0.0
IGF1R,IGF1R,NeuroDisease,0.0183475436476777
RELA,RELA,GeneralTF,0.0623796234779442
BACE2,BACE2,HSA21gene,2.25829294270263
CDK2,CDK2,None,-0.15365076430708
MAPK8,MAPK8,None,0.0368909683300027
MAP2K4,MAP2K4,None,0.0399950313838924
RAC1,RAC1,NeuroDisease,-0.0513473183047828
TIAM1,TIAM1,HSA21gene,0.749437566349536
CALM1,CALM1,NeuroDev,-0.113666685242234
DAPK1,DAPK1,None,0.151992349436749
CAPN1,CAPN1,None,0.503562712897991
BCL2,BCL2,NeuroDev,-0.404613566907568
CASP3,CASP3,NeuroDev,-0.18938849255586
PKNOX1,PKNOX1,HSA21TF,0.53000727131577
PAX6,PAX6,NeuroDisease,-0.460448956574269
CASP8,CASP8,None,0.0
TP53,TP53,NeuroDev,-0.173648643550085
CDKN2A,CDKN2A,None,0.0
SMAD2,SMAD2,GeneralTF,0.020305321794319
MAP2K1,MAP2K1,NeuroDisease,-0.0745662686298918
SRC,SRC,NeuroDev,-0.0428471829072877
DAPK3,DAPK3,None,0.0366188657763191
HSP90AA1,HSP90AA1,NeuroDev,-0.113657493994707
RAF1,RAF1,NeuroDisease,0.140718769468375
SMAD3,SMAD3,GeneralTF,-0.394794958854225
ABCB1,ABCB1,None,-0.429352147346225
ELAVL1,ELAVL1,None,-0.135896263462696
CHEK2,CHEK2,None,-0.267245501227948
STAT1,STAT1,GeneralTF,-0.194323256277566
JAK2,JAK2,NeuroDev,0.0087607456294986
ATM,ATM,NeuroDisease,0.0340210965028114
ABL1,ABL1,NeuroDev,0.148773938337117
EIF2AK2,EIF2AK2,NeuroDisease,0.0120688056897928
AXIN1,AXIN1,None,-0.0423944912933535
GSK3B,GSK3B,NeuroDev,0.0458953188157226
CSNK1A1,CSNK1A1,None,-0.0474153669475418
RB1,RB1,NeuroDev,-0.153936206503276
PTK2,PTK2,NeuroDev,0.000107594121696
CCND1,CCND1,NeuroDev,-2.02205551407771
MYC,MYC,GeneralTF,0.419796940702092
HIF1A,HIF1A,NeuroDev,0.272440223650352
ATR,ATR,NeuroDisease,-0.0406900322089735
MAP2K2,MAP2K2,NeuroDisease,-0.154902678062737
MAP3K5,MAP3K5,None,0.0
DAXX,DAXX,None,0.0197053834882643
FAS,FAS,None,0.0
EGFR,EGFR,NeuroDev,1.36749818355558
EGF,EGF,NeuroDev,-1.10185911092407
TRAF2,TRAF2,None,-0.0337880329129686
IKBKB,IKBKB,None,-0.0011740329114302
JAK1,JAK1,None,0.0220278810899778
CD40LG,CD40LG,None,0.0
EP300,EP300,NeuroDisease,0.0290529606155091
CTNNB1,CTNNB1,NeuroDisease,0.0014546946789975
CD40,CD40,None,0.0
SIRT1,SIRT1,None,-0.171724500172368
PRMT5,PRMT5,None,-0.278785194497032
HDAC2,HDAC2,NeuroDev,0.124586058909493
BACH1,BACH1,HSA21TF,0.730920634333343
STAT6,STAT6,GeneralTF,0.0
MAP2K6,MAP2K6,None,0.0549342860076457
USP16,USP16,HSA21gene,0.410556141517893
PRKACA,PRKACA,NeuroDev,0.0459622210055297
AR,AR,GeneralTF,-0.339977118911973
FOXO1,FOXO1,GeneralTF,-0.0083718555889813
MAPK11,MAPK11,None,-0.0135004699827774
RPS6KB1,RPS6KB1,None,0.131132915592825
MTOR,MTOR,NeuroDisease,0.110450676493231
TXN,TXN,None,-0.247513614466325
PLK1,PLK1,None,0.0490432923397091
HMGN1,HMGN1,HSA21gene,0.465510958716466
KAT2B,KAT2B,None,0.328793038064756
AURKA,AURKA,NeuroDev,-0.327420337406742
MTA1,MTA1,None,0.0501551933979381
ESR1,ESR1,GeneralTF,0.0
PGR,PGR,GeneralTF,0.0
CDKN1A,CDKN1A,None,-0.267881508975628
HNRNPK,HNRNPK,NeuroDisease,0.067944680360788
TRAF6,TRAF6,NeuroDev,0.106389411183289
YY1,YY1,NeuroDisease,-0.0340990466324167
FOXO3,FOXO3,GeneralTF,-0.0237688365126337
BUB1B,BUB1B,NeuroDisease,-0.005492906433708
SMARCA4,SMARCA4,NeuroDisease,0.0454660621107833
CDC20,CDC20,NeuroDev,-0.313628708095844
MAPK14,MAPK14,None,0.0736353810720352
STAT3,STAT3,NeuroDev,-0.101429880817253
BRCA1,BRCA1,NeuroDisease,-0.0372214574573613
KLK3,KLK3,None,0.0
FYN,FYN,NeuroDev,-0.0469053450017635
CDK5,CDK5,NeuroDev,0.152059581712372
CDK6,CDK6,NeuroDisease,0.429641089091188
NPM1,NPM1,None,-0.21748970794336
PPP1CA,PPP1CA,None,-0.0882766821246346
PAK2,PAK2,NeuroDev,-0.028934615780687
PTPN6,PTPN6,None,0.0
STAT5A,STAT5A,GeneralTF,0.0
BRAF,BRAF,NeuroDisease,0.102905948597823
SPI1,SPI1,GeneralTF,0.0
BCR,BCR,NeuroDev,-0.0859194154028731
CCNB1,CCNB1,None,-0.242128247062596
CEBPA,CEBPA,GeneralTF,0.0
CSF2,CSF2,None,0.0
BLM,BLM,NeuroDisease,0.108566195468595
CDC42,CDC42,NeuroDisease,0.135178991776851
MAP3K1,MAP3K1,None,0.264597204058213
TYK2,TYK2,None,0.0662680041726459
PIAS1,PIAS1,None,0.0854157500566968
MAPK9,MAPK9,None,0.135068983717077
PDK1,PDK1,None,-0.160652571858138
TEP1,TEP1,None,0.0
PAK1,PAK1,NeuroDisease,-0.169458234967273
ERBB2,ERBB2,NeuroDev,-0.255006976627321
PTTG1,PTTG1,None,-0.134472497585684
JUN,JUN,NeuroDev,-0.286281020169732
ATF2,ATF2,NeuroDev,0.0147818710441326
TGFB1,TGFB1,NeuroDev,-0.450336365762482
SOCS1,SOCS1,None,-0.723357753288733
NOTCH1,NOTCH1,NeuroDev,-0.0001437683355424
