name,shared name,type,avgExpression
BACE2,BACE2,HSA21gene,2.25829294270263
CDK2,CDK2,None,-0.15365076430708
PKNOX1,PKNOX1,HSA21TF,0.53000727131577
STAT1,STAT1,GeneralTF,-0.194323256277566
TP53,TP53,NeuroDev,-0.173648643550085
RB1,RB1,NeuroDev,-0.153936206503276
MYC,MYC,GeneralTF,0.419796940702092
GSK3B,GSK3B,NeuroDev,0.0458953188157226
CDKN2A,CDKN2A,None,0.0
ESR1,ESR1,GeneralTF,0.0
SIX3,SIX3,NeuroDisease,0.538426232938441
PAX6,PAX6,NeuroDisease,-0.460448956574269
SMAD3,SMAD3,GeneralTF,-0.394794958854225
AR,AR,GeneralTF,-0.339977118911973
NRIP1,NRIP1,HSA21gene,0.401479191969281
STAT2,STAT2,GeneralTF,0.377884846223962
BACH1,BACH1,HSA21TF,0.730920634333343
MSX2,MSX2,GeneralTF,0.0
DLX2,DLX2,NeuroDev,0.899707200698293
RAD21,RAD21,NeuroDisease,0.010591709654119
STAT5A,STAT5A,GeneralTF,0.0
CEBPA,CEBPA,GeneralTF,0.0
APP,APP,HSA21gene,0.696731563295763
ID2,ID2,NeuroDev,-0.387088454160459
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
SUMO3,SUMO3,HSA21gene,0.345752489264753
SIK1,SIK1,HSA21gene,0.0
IFNAR2,IFNAR2,HSA21gene,0.697366973528535
RUNX1,RUNX1,HSA21TF,0.654284266741855
PRMT2,PRMT2,HSA21gene,0.613113560949662
IFNGR2,IFNGR2,HSA21gene,0.614867772688703
CBS,CBS,HSA21gene,0.0
IFNAR1,IFNAR1,HSA21gene,0.737153966792477
FOS,FOS,NeuroDev,-0.68318990633384
E2F4,E2F4,GeneralTF,0.0575742537614502
STAT5B,STAT5B,GeneralTF,0.203078710673061
MORC3,MORC3,HSA21gene,0.580910146978382
ERG,ERG,HSA21TF,0.0
GABPA,GABPA,HSA21TF,0.601451678662171
ETS2,ETS2,HSA21TF,0.417956594380445
GATA2,GATA2,NeuroDev,0.0
MAFK,MAFK,GeneralTF,0.0
FOXP3,FOXP3,NeuroDisease,0.0
TAL1,TAL1,NeuroDev,0.0
USF1,USF1,GeneralTF,0.0923593559558911
TCF12,TCF12,NeuroDisease,0.0198461693368645
CTBP2,CTBP2,GeneralTF,-0.205260156737087
SUZ12,SUZ12,NeuroDisease,0.069605014587864
NFYB,NFYB,GeneralTF,-0.0884692450399368
MIMAT0000617,MIMAT0000617,None,0.0
MIMAT0000421,MIMAT0000421,None,0.0
CXADR,CXADR,HSA21gene,0.593096662750978
