source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
RBL1,E2F4,True,True,False,False,False,False,21,CancerCellMap:12150994;CancerCellMap:7958925;CancerCellMap:8643455;CancerCellMap:9144196;DIP:9724731;HPRD:11573202;HPRD:12150994;HPRD:8643455;Lit-BM-17:12150994;Lit-BM-17:16360038;Lit-BM-17:17671431;Lit-BM-17:7958924;Lit-BM-17:7958925;Lit-BM-17:8657117;Lit-BM-17:9501179;Lit-BM-17:9724731;Lit-BM-17:9858615;NetPath:12150994;NetPath:7958925;NetPath:8643455;SPIKE:15838517,CancerCellMap;DIP;HPRD;Lit-BM-17;NetPath;SPIKE;Wang,post_translational,11573202;12150994;15838517;16360038;17671431;7958924;7958925;8643455;8657117;9144196;9501179;9724731;9858615,13,7,7
E2F4,RBL1,True,False,True,True,False,True,22,ACSN:10766737;ACSN:16135806;CancerCellMap:12150994;CancerCellMap:7958925;CancerCellMap:8643455;CancerCellMap:9144196;DIP:9724731;HPRD:11573202;HPRD:12150994;HPRD:8643455;Lit-BM-17:12150994;Lit-BM-17:16360038;Lit-BM-17:17671431;Lit-BM-17:7958924;Lit-BM-17:7958925;Lit-BM-17:8657117;Lit-BM-17:9501179;Lit-BM-17:9724731;Lit-BM-17:9858615;NetPath:12150994;NetPath:7958925;NetPath:8643455,ACSN;CancerCellMap;DIP;HPRD;Lit-BM-17;NetPath;Wang,post_translational,10766737;11573202;12150994;16135806;16360038;17671431;7958924;7958925;8643455;8657117;9144196;9501179;9724731;9858615,14,7,7
RBL2,E2F4,True,True,False,True,True,False,18,CancerCellMap:8657117;CancerCellMap:9144196;HPRD:11573202;HPRD:17159899;IntAct:17531812;IntAct:20133863;Lit-BM-17:12006580;Lit-BM-17:16600870;Lit-BM-17:17159899;Lit-BM-17:17531812;Lit-BM-17:17671431;Lit-BM-17:22002537;Lit-BM-17:23108140;Lit-BM-17:9121766;Lit-BM-17:9858615;NetPath:8657117;NetPath:9858615;SPIKE:15838517,CancerCellMap;HPRD;IntAct;Lit-BM-17;NetPath;SPIKE;Wang,post_translational,11573202;12006580;15838517;16600870;17159899;17531812;17671431;20133863;22002537;23108140;8657117;9121766;9144196;9858615,14,7,7
DAPK1,TP53,True,True,False,True,True,False,37,KEA:10801407;KEA:12111733;KEA:15254178;KEA:15489221;KEA:17339337;PhosphoSite:10606744;PhosphoSite:10673501;PhosphoSite:10733583;PhosphoSite:10734067;PhosphoSite:11244509;PhosphoSite:11258706;PhosphoSite:11707453;PhosphoSite:11883897;PhosphoSite:12091386;PhosphoSite:15355354;PhosphoSite:15542844;PhosphoSite:17339337;PhosphoSite:17977830;PhosphoSite:18246126;PhosphoSite:20851891;PhosphoSite:20959462;PhosphoSite:21386980;PhosphoSite:22112863;PhosphoSite:22815859;PhosphoSite:25584963;PhosphoSite:26742101;PhosphoSite:27753536;PhosphoSite:32266931;PhosphoSite:34168813;ProtMapper:17339337;ProtMapper:25229255;ProtMapper:26626260;ProtMapper:27681874;SIGNOR:17339337;iPTMnet:17297916;iPTMnet:17339337;phosphoELM:17339337,HPRD_MIMP;KEA;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10606744;10673501;10733583;10734067;10801407;11244509;11258706;11707453;11883897;12091386;12111733;15254178;15355354;15489221;15542844;17297916;17339337;17977830;18246126;20851891;20959462;21386980;22112863;22815859;25229255;25584963;26626260;26742101;27681874;27753536;32266931;34168813,32,15,8
MAPK3,DAPK1,True,True,False,True,True,False,9,HPRD:15616583;InnateDB:15616583;IntAct:15616583;IntAct:25241761;Lit-BM-17:15616583;Lit-BM-17:25241761;PhosphoSite:15616583;PhosphoSite:26769850;SPIKE:15616583,HPRD;InnateDB;IntAct;Lit-BM-17;PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;SPIKE,post_translational,15616583;25241761;26769850,3,8,7
DAPK1,MAPK3,True,False,True,False,False,False,7,HPRD:15616583;InnateDB:15616583;IntAct:15616583;IntAct:25241761;Lit-BM-17:15616583;Lit-BM-17:25241761;SPIKE:15616583,HPRD;InnateDB;IntAct;Lit-BM-17;PhosphoPoint;SPIKE,post_translational,15616583;25241761,2,6,6
CCND1,GSK3B,True,False,False,False,False,False,3,HPRD:10910956;HPRD:9832503;ProtMapper:29054680,HPRD;ProtMapper;Sparser_ProtMapper,post_translational,10910956;29054680;9832503,3,3,2
GSK3B,CCND1,True,True,True,True,False,True,83,ACSN:10385618;ACSN:10486203;ACSN:11124803;ACSN:11152665;ACSN:11967263;ACSN:12459251;ACSN:12615961;ACSN:12969793;ACSN:14536078;ACSN:14663202;ACSN:15020233;ACSN:15465828;ACSN:16039586;ACSN:16732330;ACSN:16944320;ACSN:18167338;ACSN:19757160;ACSN:20537194;ACSN:8524413;ACSN:9832503;HPRD-phos:10910956;HPRD-phos:9832503;HPRD:10910956;HPRD:9832503;KEA:10766840;KEA:10910956;KEA:11124803;KEA:15075324;KEA:16103118;KEA:17570479;KEA:9832503;ProtMapper:10766840;ProtMapper:10929713;ProtMapper:11124803;ProtMapper:11311237;ProtMapper:12413951;ProtMapper:14597415;ProtMapper:15075324;ProtMapper:16504004;ProtMapper:17046823;ProtMapper:17070615;ProtMapper:18328826;ProtMapper:18598945;ProtMapper:18769147;ProtMapper:18818515;ProtMapper:19071090;ProtMapper:19374252;ProtMapper:19645770;ProtMapper:19767775;ProtMapper:20548028;ProtMapper:21317297;ProtMapper:21347341;ProtMapper:22099186;ProtMapper:22470469;ProtMapper:22922870;ProtMapper:23552696;ProtMapper:23565238;ProtMapper:23733133;ProtMapper:24134204;ProtMapper:25142862;ProtMapper:25591548;ProtMapper:26121043;ProtMapper:26432751;ProtMapper:26907733;ProtMapper:27546592;ProtMapper:27695879;ProtMapper:28090171;ProtMapper:29554905;ProtMapper:29969496;ProtMapper:30736789;ProtMapper:9832503;SIGNOR:16504004;SIGNOR:23552696;SIGNOR:9832503;SPIKE:12459251;SPIKE:16732330;SPIKE:18319725;SPIKE:9832503;iPTMnet:10910956;iPTMnet:16504004;iPTMnet:17046823;iPTMnet:23552696;iPTMnet:9832503,ACSN;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;Kinexus_KEA;MIMP;NetworKIN_KEA;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10385618;10486203;10766840;10910956;10929713;11124803;11152665;11311237;11967263;12413951;12459251;12615961;12969793;14536078;14597415;14663202;15020233;15075324;15465828;16039586;16103118;16504004;16732330;16944320;17046823;17070615;17570479;18167338;18319725;18328826;18598945;18769147;18818515;19071090;19374252;19645770;19757160;19767775;20537194;20548028;21317297;21347341;22099186;22470469;22922870;23552696;23565238;23733133;24134204;25142862;25591548;26121043;26432751;26907733;27546592;27695879;28090171;29554905;29969496;30736789;8524413;9832503,62,24,11
MYC,GSK3B,True,False,False,False,False,False,5,ELM:14563837;HPRD:11877389;HPRD:16247449;HPRD:8247524;ProtMapper:30134175,ELM;HPRD;ProtMapper;Sparser_ProtMapper,post_translational,11877389;14563837;16247449;30134175;8247524,5,4,3
GSK3B,MYC,True,True,True,True,False,True,72,ACSN:10671551;ACSN:11274345;ACSN:12040186;ACSN:12615961;ACSN:16039586;ACSN:16371461;ACSN:16611981;ACSN:17052453;ACSN:17444818;ACSN:18455992;ACSN:19575820;ACSN:19797085;ACSN:20080742;ACSN:20537194;ELM:14563837;HPRD-phos:18669648;HPRD-phos:19651622;HPRD-phos:20068231;HPRD-phos:2663470;HPRD:11877389;HPRD:16247449;HPRD:8247524;KEA:11018017;KEA:11877389;KEA:14563837;KEA:15150404;KEA:17081983;KEA:17570479;KEA:2663470;KEA:8247524;ProtMapper:11018017;ProtMapper:14563837;ProtMapper:15212693;ProtMapper:16023596;ProtMapper:16855632;ProtMapper:18408012;ProtMapper:18463697;ProtMapper:18679417;ProtMapper:20604938;ProtMapper:21113395;ProtMapper:21646472;ProtMapper:22461507;ProtMapper:22481935;ProtMapper:22893788;ProtMapper:23668310;ProtMapper:23964270;ProtMapper:24265759;ProtMapper:24662831;ProtMapper:25333250;ProtMapper:25647305;ProtMapper:26751215;ProtMapper:27684546;ProtMapper:29229669;ProtMapper:29258530;ProtMapper:30003124;ProtMapper:30037819;SIGNOR:11018017;SIGNOR:14563837;SIGNOR:16023596;SPIKE:20399964;SignaLink3:11018017;SignaLink3:14563837;SignaLink3:19131971;SignaLink3:21071413;SignaLink3:23331499;iPTMnet:14563837;iPTMnet:16023596;iPTMnet:18669648;iPTMnet:19651622;iPTMnet:20068231;iPTMnet:2663470;phosphoELM:14563837,ACSN;BEL-Large-Corpus_ProtMapper;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NetworKIN_KEA;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10671551;11018017;11274345;11877389;12040186;12615961;14563837;15150404;15212693;16023596;16039586;16247449;16371461;16611981;16855632;17052453;17081983;17444818;17570479;18408012;18455992;18463697;18669648;18679417;19131971;19575820;19651622;19797085;20068231;20080742;20399964;20537194;20604938;21071413;21113395;21646472;22461507;22481935;22893788;23331499;23668310;23964270;24265759;24662831;25333250;25647305;2663470;26751215;27684546;29229669;29258530;30003124;30037819;8247524,54,28,15
