source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
RBL1,E2F4,True,True,False,False,False,False,21,CancerCellMap:12150994;CancerCellMap:7958925;CancerCellMap:8643455;CancerCellMap:9144196;DIP:9724731;HPRD:11573202;HPRD:12150994;HPRD:8643455;Lit-BM-17:12150994;Lit-BM-17:16360038;Lit-BM-17:17671431;Lit-BM-17:7958924;Lit-BM-17:7958925;Lit-BM-17:8657117;Lit-BM-17:9501179;Lit-BM-17:9724731;Lit-BM-17:9858615;NetPath:12150994;NetPath:7958925;NetPath:8643455;SPIKE:15838517,CancerCellMap;DIP;HPRD;Lit-BM-17;NetPath;SPIKE;Wang,post_translational,11573202;12150994;15838517;16360038;17671431;7958924;7958925;8643455;8657117;9144196;9501179;9724731;9858615,13,7,7
E2F4,RBL1,True,False,True,True,False,True,22,ACSN:10766737;ACSN:16135806;CancerCellMap:12150994;CancerCellMap:7958925;CancerCellMap:8643455;CancerCellMap:9144196;DIP:9724731;HPRD:11573202;HPRD:12150994;HPRD:8643455;Lit-BM-17:12150994;Lit-BM-17:16360038;Lit-BM-17:17671431;Lit-BM-17:7958924;Lit-BM-17:7958925;Lit-BM-17:8657117;Lit-BM-17:9501179;Lit-BM-17:9724731;Lit-BM-17:9858615;NetPath:12150994;NetPath:7958925;NetPath:8643455,ACSN;CancerCellMap;DIP;HPRD;Lit-BM-17;NetPath;Wang,post_translational,10766737;11573202;12150994;16135806;16360038;17671431;7958924;7958925;8643455;8657117;9144196;9501179;9724731;9858615,14,7,7
RBL2,E2F4,True,True,False,True,True,False,18,CancerCellMap:8657117;CancerCellMap:9144196;HPRD:11573202;HPRD:17159899;IntAct:17531812;IntAct:20133863;Lit-BM-17:12006580;Lit-BM-17:16600870;Lit-BM-17:17159899;Lit-BM-17:17531812;Lit-BM-17:17671431;Lit-BM-17:22002537;Lit-BM-17:23108140;Lit-BM-17:9121766;Lit-BM-17:9858615;NetPath:8657117;NetPath:9858615;SPIKE:15838517,CancerCellMap;HPRD;IntAct;Lit-BM-17;NetPath;SPIKE;Wang,post_translational,11573202;12006580;15838517;16600870;17159899;17531812;17671431;20133863;22002537;23108140;8657117;9121766;9144196;9858615,14,7,7
CDK2,MYC,True,True,False,True,True,False,13,KEA:17570479;ProtMapper:20445224;ProtMapper:22348395;ProtMapper:27653698;ProtMapper:29896817;SPIKE:19966300;dbPTM:15103331;dbPTM:17081983;dbPTM:17558397;dbPTM:18669648;dbPTM:19966300;dbPTM:20713526;dbPTM:8386367,KEA;NetworKIN_KEA;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SPIKE;Sparser_ProtMapper;dbPTM,post_translational,15103331;17081983;17558397;17570479;18669648;19966300;20445224;20713526;22348395;27653698;29896817;8386367,12,8,4
TRRAP,MYC,True,True,False,True,True,False,9,BioGRID:11511539;DIP:12660246;DIP:9708738;HPRD:9708738;IntAct:17353931;IntAct:9708738;SPIKE:12660246;SPIKE:17145710;SPIKE:20194507,BioGRID;DIP;HPRD;IntAct;PhosphoPoint;SPIKE;Wang,post_translational,11511539;12660246;17145710;17353931;20194507;9708738,6,7,7
HRAS,TIAM1,True,True,False,True,True,False,9,ACSN:12134164;ACSN:7673236;ACSN:9069260;Adhesome:12134164;Adhesome:16203995;HPRD:12134164;InnateDB:12134164;SPIKE:12134164;SPIKE:18568040,ACSN;Adhesome;HPRD;InnateDB;SPIKE;Wang,post_translational,12134164;16203995;18568040;7673236;9069260,5,6,6
TIAM1,HRAS,True,True,False,False,False,False,4,Adhesome:12134164;Adhesome:16203995;HPRD:12134164;InnateDB:12134164,Adhesome;HPRD;InnateDB;Wang,post_translational,12134164;16203995,2,4,4
DAPK1,TP53,True,True,False,True,True,False,37,KEA:10801407;KEA:12111733;KEA:15254178;KEA:15489221;KEA:17339337;PhosphoSite:10606744;PhosphoSite:10673501;PhosphoSite:10733583;PhosphoSite:10734067;PhosphoSite:11244509;PhosphoSite:11258706;PhosphoSite:11707453;PhosphoSite:11883897;PhosphoSite:12091386;PhosphoSite:15355354;PhosphoSite:15542844;PhosphoSite:17339337;PhosphoSite:17977830;PhosphoSite:18246126;PhosphoSite:20851891;PhosphoSite:20959462;PhosphoSite:21386980;PhosphoSite:22112863;PhosphoSite:22815859;PhosphoSite:25584963;PhosphoSite:26742101;PhosphoSite:27753536;PhosphoSite:32266931;PhosphoSite:34168813;ProtMapper:17339337;ProtMapper:25229255;ProtMapper:26626260;ProtMapper:27681874;SIGNOR:17339337;iPTMnet:17297916;iPTMnet:17339337;phosphoELM:17339337,HPRD_MIMP;KEA;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10606744;10673501;10733583;10734067;10801407;11244509;11258706;11707453;11883897;12091386;12111733;15254178;15355354;15489221;15542844;17297916;17339337;17977830;18246126;20851891;20959462;21386980;22112863;22815859;25229255;25584963;26626260;26742101;27681874;27753536;32266931;34168813,32,15,8
SRC,DAPK1,True,False,True,True,False,True,5,PhosphoSite:17803936;ProtMapper:21785723;ProtMapper:28976934;SPIKE:17803936;iPTMnet:17803936,PhosphoSite;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;SPIKE;Sparser_ProtMapper;iPTMnet,post_translational,17803936;21785723;28976934,3,7,4
MAPK3,DAPK1,True,True,False,True,True,False,9,HPRD:15616583;InnateDB:15616583;IntAct:15616583;IntAct:25241761;Lit-BM-17:15616583;Lit-BM-17:25241761;PhosphoSite:15616583;PhosphoSite:26769850;SPIKE:15616583,HPRD;InnateDB;IntAct;Lit-BM-17;PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;SPIKE,post_translational,15616583;25241761;26769850,3,8,7
