source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
MAPK3,GABPA,True,True,False,True,True,False,1,SPIKE:19114066,SPIKE,post_translational,19114066,1,1,1
BACE2,APP,True,True,False,True,True,False,15,HPRD-phos:10936190;HPRD-phos:15178331;HPRD-phos:8764598;HPRD:10605825;HPRD:10931940;HPRD:10936190;HPRD:15178331;HPRD:8764598;KEA:10936190;KEA:15178331;KEA:8764598;SPIKE:20418918;iPTMnet:10936190;iPTMnet:15178331;iPTMnet:8764598,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoSite_KEA;PhosphoSite_MIMP;SPIKE;Wang;iPTMnet;phosphoELM_MIMP,post_translational,10605825;10931940;10936190;15178331;20418918;8764598,6,12,7
CDK2,MYC,True,True,False,True,True,False,13,KEA:17570479;ProtMapper:20445224;ProtMapper:22348395;ProtMapper:27653698;ProtMapper:29896817;SPIKE:19966300;dbPTM:15103331;dbPTM:17081983;dbPTM:17558397;dbPTM:18669648;dbPTM:19966300;dbPTM:20713526;dbPTM:8386367,KEA;NetworKIN_KEA;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SPIKE;Sparser_ProtMapper;dbPTM,post_translational,15103331;17081983;17558397;17570479;18669648;19966300;20445224;20713526;22348395;27653698;29896817;8386367,12,8,4
TP53,HGF,True,True,False,True,True,False,1,SPIKE:18431400,SPIKE;Wang,post_translational,18431400,1,2,2
AKT1,FOXO1,True,True,True,True,False,True,81,ACSN:10102273;ACSN:10217147;ACSN:11463845;ACSN:11756412;ACSN:16680151;ACSN:17646672;ACSN:17680028;ACSN:18593906;ACSN:19216069;ACSN:20214616;ACSN:20398329;ACSN:20452955;ACSN:9829964;BioGRID:10358014;BioGRID:16076959;CA1:10102273;CA1:10358075;CancerCellMap:11030146;DIP:18786403;HPRD-phos:10358014;HPRD:10358014;InnateDB:10358075;InnateDB:11237865;KEA:10358014;KEA:11410590;KEA:12560069;KEA:17570479;Lit-BM-17:10358014;Lit-BM-17:10358075;Lit-BM-17:16076959;Lit-BM-17:18786403;Lit-BM-17:25241761;PhosphoSite:10358075;PhosphoSite:10358076;PhosphoSite:11030146;PhosphoSite:11237865;PhosphoSite:11311120;PhosphoSite:11980723;PhosphoSite:12228231;PhosphoSite:14664696;PhosphoSite:16076959;PhosphoSite:16670091;PhosphoSite:18951090;PhosphoSite:20041807;PhosphoSite:28279977;PhosphoSite:30728292;PhosphoSite:31308176;ProtMapper:10102273;ProtMapper:10358075;ProtMapper:10377430;ProtMapper:11237865;ProtMapper:11544290;ProtMapper:11864996;ProtMapper:11980723;ProtMapper:12456685;ProtMapper:15132996;SIGNOR:10377430;SIGNOR:11237865;SIGNOR:18423396;SIGNOR:21440011;SIGNOR:21798082;SPIKE:11030146;SPIKE:11251083;SPIKE:16341064;SPIKE:17254970;SPIKE:17962350;SPIKE:18985696;SPIKE:2984676;SPIKE:2987962;SignaLink3:10358014;SignaLink3:10358075;SignaLink3:11237865;SignaLink3:13679577;SignaLink3:18988627;SignaLink3:23180781;SignaLink3:23331499;dbPTM:10358075;dbPTM:11980723;iPTMnet:10358014;iPTMnet:10358075;iPTMnet:11237865,ACSN;BEL-Large-Corpus_ProtMapper;BioGRID;CA1;CancerCellMap;DIP;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;InnateDB_SignaLink3;KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;NetworKIN_KEA;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;dbPTM;iPTMnet;phosphoELM_MIMP,post_translational,10102273;10217147;10358014;10358075;10358076;10377430;11030146;11237865;11251083;11311120;11410590;11463845;11544290;11756412;11864996;11980723;12228231;12456685;12560069;13679577;14664696;15132996;16076959;16341064;16670091;16680151;17254970;17570479;17646672;17680028;17962350;18423396;18593906;18786403;18951090;18985696;18988627;19216069;20041807;20214616;20398329;20452955;21440011;21798082;23180781;23331499;25241761;28279977;2984676;2987962;30728292;31308176;9829964,53,34,20
MYC,GSK3B,True,False,False,False,False,False,5,ELM:14563837;HPRD:11877389;HPRD:16247449;HPRD:8247524;ProtMapper:30134175,ELM;HPRD;ProtMapper;Sparser_ProtMapper,post_translational,11877389;14563837;16247449;30134175;8247524,5,4,3
GSK3B,MYC,True,True,True,True,False,True,72,ACSN:10671551;ACSN:11274345;ACSN:12040186;ACSN:12615961;ACSN:16039586;ACSN:16371461;ACSN:16611981;ACSN:17052453;ACSN:17444818;ACSN:18455992;ACSN:19575820;ACSN:19797085;ACSN:20080742;ACSN:20537194;ELM:14563837;HPRD-phos:18669648;HPRD-phos:19651622;HPRD-phos:20068231;HPRD-phos:2663470;HPRD:11877389;HPRD:16247449;HPRD:8247524;KEA:11018017;KEA:11877389;KEA:14563837;KEA:15150404;KEA:17081983;KEA:17570479;KEA:2663470;KEA:8247524;ProtMapper:11018017;ProtMapper:14563837;ProtMapper:15212693;ProtMapper:16023596;ProtMapper:16855632;ProtMapper:18408012;ProtMapper:18463697;ProtMapper:18679417;ProtMapper:20604938;ProtMapper:21113395;ProtMapper:21646472;ProtMapper:22461507;ProtMapper:22481935;ProtMapper:22893788;ProtMapper:23668310;ProtMapper:23964270;ProtMapper:24265759;ProtMapper:24662831;ProtMapper:25333250;ProtMapper:25647305;ProtMapper:26751215;ProtMapper:27684546;ProtMapper:29229669;ProtMapper:29258530;ProtMapper:30003124;ProtMapper:30037819;SIGNOR:11018017;SIGNOR:14563837;SIGNOR:16023596;SPIKE:20399964;SignaLink3:11018017;SignaLink3:14563837;SignaLink3:19131971;SignaLink3:21071413;SignaLink3:23331499;iPTMnet:14563837;iPTMnet:16023596;iPTMnet:18669648;iPTMnet:19651622;iPTMnet:20068231;iPTMnet:2663470;phosphoELM:14563837,ACSN;BEL-Large-Corpus_ProtMapper;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NetworKIN_KEA;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10671551;11018017;11274345;11877389;12040186;12615961;14563837;15150404;15212693;16023596;16039586;16247449;16371461;16611981;16855632;17052453;17081983;17444818;17570479;18408012;18455992;18463697;18669648;18679417;19131971;19575820;19651622;19797085;20068231;20080742;20399964;20537194;20604938;21071413;21113395;21646472;22461507;22481935;22893788;23331499;23668310;23964270;24265759;24662831;25333250;25647305;2663470;26751215;27684546;29229669;29258530;30003124;30037819;8247524,54,28,15
GSK3B,MDM2,True,True,False,True,True,False,2,KEA:16055726;SPIKE:18505846,KEA;SPIKE;phosphoELM_KEA,post_translational,16055726;18505846,2,3,2
STAT3,ZNF225,True,True,False,True,True,False,1,SPIKE:17129668,SPIKE,post_translational,17129668,1,1,1
CDK2,FOXO1,True,True,True,True,False,True,19,ACSN:15279786;ACSN:15677884;ACSN:17038621;ACSN:17303408;ACSN:17660363;ACSN:18590585;ACSN:7575488;ProtMapper:17038621;ProtMapper:19124971;ProtMapper:19473886;ProtMapper:19652536;ProtMapper:20148668;ProtMapper:21106439;ProtMapper:23029264;ProtMapper:24948874;ProtMapper:27035875;SIGNOR:17038621;SPIKE:17522590;iPTMnet:17038621,ACSN;MIMP;NCI-PID_ProtMapper;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet,post_translational,15279786;15677884;17038621;17303408;17522590;17660363;18590585;19124971;19473886;19652536;20148668;21106439;23029264;24948874;27035875;7575488,16,14,7
