source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
PIK3R1,AKT1,True,True,False,True,True,False,3,HPRD:10527852;NetPath:16799564;SPIKE:19442713,HPRD;NetPath;SPIKE;Wang,post_translational,10527852;16799564;19442713,3,4,4
AKT1,PIK3R1,True,False,False,False,False,False,2,HPRD:10527852;NetPath:16799564,HPRD;NetPath;PhosphoPoint;Wang,post_translational,10527852;16799564,2,4,4
BACE2,APP,True,True,False,True,True,False,15,HPRD-phos:10936190;HPRD-phos:15178331;HPRD-phos:8764598;HPRD:10605825;HPRD:10931940;HPRD:10936190;HPRD:15178331;HPRD:8764598;KEA:10936190;KEA:15178331;KEA:8764598;SPIKE:20418918;iPTMnet:10936190;iPTMnet:15178331;iPTMnet:8764598,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoSite_KEA;PhosphoSite_MIMP;SPIKE;Wang;iPTMnet;phosphoELM_MIMP,post_translational,10605825;10931940;10936190;15178331;20418918;8764598,6,12,7
RAC1,TIAM1,True,True,False,False,False,False,11,Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749,Adhesome;BioGRID;HPRD;Lit-BM-17,post_translational,10212259;10592173;11130063;11595749;7753201;8910315,6,4,4
TIAM1,RAC1,True,True,False,True,True,False,19,ACSN:11955434;ACSN:12829230;ACSN:15611338;ACSN:15967165;Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;CA1:10212259;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749;SIGNOR:12393875;SIGNOR:32203420;SPIKE:11130063,ACSN;Adhesome;BioGRID;CA1;HPRD;Lit-BM-17;SIGNOR;SPIKE;Wang,post_translational,10212259;10592173;11130063;11595749;11955434;12393875;12829230;15611338;15967165;32203420;7753201;8910315,12,9,9
E2F1,BRCA1,True,True,False,True,True,False,6,ACSN:12909625;DIP:12697828;HPRD:11278247;HPRD:9244350;SPIKE:18319725;SPIKE:18660752,ACSN;DIP;HPRD;SPIKE,post_translational,11278247;12697828;12909625;18319725;18660752;9244350,6,4,4
CDKN2A,E2F1,True,False,True,False,False,False,4,ACSN:12446760;ACSN:16135794;BioGRID:16135794;HPRD:11314038,ACSN;BioGRID;HPRD;Wang,post_translational,11314038;12446760;16135794,3,4,4
E2F1,CDKN2A,True,True,True,True,True,False,8,ACSN:11034215;ACSN:12446760;ACSN:15175242;ACSN:16135794;BioGRID:16135794;HPRD:11314038;SPIKE:11883935;SPIKE:18319725,ACSN;BioGRID;HPRD;SPIKE;Wang,post_translational,11034215;11314038;11883935;12446760;15175242;16135794;18319725,7,5,5
E2F1,CDKN2A,True,True,True,True,True,False,9,ACSN:11034215;ACSN:12446760;ACSN:15175242;ACSN:16135794;BioGRID:16135794;DIP:11314038;HPRD:11314038;SPIKE:11883935;SPIKE:18319725,ACSN;BioGRID;DIP;HPRD;SPIKE;Wang,post_translational,11034215;11314038;11883935;12446760;15175242;16135794;18319725,7,6,6
CDKN2A,E2F1,True,False,True,False,False,False,5,ACSN:12446760;ACSN:16135794;BioGRID:16135794;DIP:11314038;HPRD:11314038,ACSN;BioGRID;DIP;HPRD;Wang,post_translational,11314038;12446760;16135794,3,5,5
