name,shared name,type,avgExpression
PIK3R1,PIK3R1,NeuroDisease,-0.117844489828313
CDKN1A,CDKN1A,None,-0.267881508975628
BACE2,BACE2,HSA21gene,2.25829294270263
RAC1,RAC1,NeuroDisease,-0.0513473183047828
TIAM1,TIAM1,HSA21gene,0.749437566349536
HRAS,HRAS,NeuroDisease,0.0476255064252693
E2F1,E2F1,NeuroDev,0.275697511278852
AKT1,AKT1,NeuroDev,-0.0323540500326005
CDK1,CDK1,None,-0.15490979691542
JAK2,JAK2,NeuroDev,0.0087607456294986
TP53,TP53,NeuroDev,-0.173648643550085
KAT5,KAT5,NeuroDisease,-0.0586248104744408
RB1,RB1,NeuroDev,-0.153936206503276
JAK1,JAK1,None,0.0220278810899778
EP300,EP300,NeuroDisease,0.0290529606155091
CTNNB1,CTNNB1,NeuroDisease,0.0014546946789975
GSK3B,GSK3B,NeuroDev,0.0458953188157226
PRKACA,PRKACA,NeuroDev,0.0459622210055297
EGFR,EGFR,NeuroDev,1.36749818355558
SRC,SRC,NeuroDev,-0.0428471829072877
AR,AR,GeneralTF,-0.339977118911973
FOXO1,FOXO1,GeneralTF,-0.0083718555889813
KAT2B,KAT2B,None,0.328793038064756
CREBBP,CREBBP,NeuroDisease,-0.0271907807650148
AURKA,AURKA,NeuroDev,-0.327420337406742
SMAD3,SMAD3,GeneralTF,-0.394794958854225
ESR1,ESR1,GeneralTF,0.0
STAT3,STAT3,NeuroDev,-0.101429880817253
MDM2,MDM2,GeneralTF,-0.0969684137070954
UBE2I,UBE2I,None,0.0042858919874908
TGFBR2,TGFBR2,NeuroDev,-0.941483871961507
MAPK1,MAPK1,NeuroDisease,-0.0641135346371894
TEP1,TEP1,None,0.0
BACH1,BACH1,HSA21TF,0.730920634333343
PSEN1,PSEN1,NeuroDev,0.0780726088581636
IFNAR2,IFNAR2,HSA21gene,0.697366973528535
IFNAR1,IFNAR1,HSA21gene,0.737153966792477
TYK2,TYK2,None,0.0662680041726459
IFNGR2,IFNGR2,HSA21gene,0.614867772688703
DAXX,DAXX,None,0.0197053834882643
MAPK8,MAPK8,None,0.0368909683300027
ITSN1,ITSN1,HSA21gene,0.519088229593054
NR3C1,NR3C1,NeuroDev,0.29718070769013
NRIP1,NRIP1,HSA21gene,0.401479191969281
PTK2,PTK2,NeuroDev,0.000107594121696
ITGB1,ITGB1,NeuroDev,-0.134314255402664
ILK,ILK,NeuroDev,-0.0977410232638174
TNK2,TNK2,None,0.0876776354622359
CDK6,CDK6,NeuroDisease,0.429641089091188
RUNX1,RUNX1,HSA21TF,0.654284266741855
ITGB3,ITGB3,None,0.0
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
BRCA1,BRCA1,NeuroDisease,-0.0372214574573613
CDH5,CDH5,None,0.0
APP,APP,HSA21gene,0.696731563295763
PKNOX1,PKNOX1,HSA21TF,0.53000727131577
ICOSLG,ICOSLG,HSA21gene,0.0
VWF,VWF,None,0.0
ICAM1,ICAM1,None,0.0
ITGB2,ITGB2,HSA21gene,0.0
COL6A2,COL6A2,HSA21gene,-1.04332461459825
COL18A1,COL18A1,HSA21gene,-0.551493129724772
COL6A1,COL6A1,HSA21gene,0.265033156663093
PAK5,PAK5,None,0.352835021445958
NCOA3,NCOA3,None,-0.0113784095287669
CDC42,CDC42,NeuroDisease,0.135178991776851
SIK1,SIK1,HSA21gene,0.0
ICOS,ICOS,None,0.0
PRL,PRL,None,0.0
FOXO3,FOXO3,GeneralTF,-0.0237688365126337
ERG,ERG,HSA21TF,0.0
ETS2,ETS2,HSA21TF,0.417956594380445
FLI1,FLI1,GeneralTF,0.0
SOX4,SOX4,NeuroDisease,0.213148993687883
