name,shared name,type,avgExpression
PIK3R1,PIK3R1,NeuroDisease,-0.117844489828313
AKT1,AKT1,NeuroDev,-0.0323540500326005
BACE2,BACE2,HSA21gene,2.25829294270263
RAC1,RAC1,NeuroDisease,-0.0513473183047828
TIAM1,TIAM1,HSA21gene,0.749437566349536
E2F1,E2F1,NeuroDev,0.275697511278852
CDKN2A,CDKN2A,None,0.0
CDK1,CDK1,None,-0.15490979691542
JAK2,JAK2,NeuroDev,0.0087607456294986
AXIN1,AXIN1,None,-0.0423944912933535
GSK3B,GSK3B,NeuroDev,0.0458953188157226
TP53,TP53,NeuroDev,-0.173648643550085
PTK2,PTK2,NeuroDev,0.000107594121696
EGFR,EGFR,NeuroDev,1.36749818355558
GRB2,GRB2,None,0.130411471897907
EGF,EGF,NeuroDev,-1.10185911092407
JAK1,JAK1,None,0.0220278810899778
NFKB1,NFKB1,GeneralTF,-0.296044343759716
CREBBP,CREBBP,NeuroDisease,-0.0271907807650148
STAT1,STAT1,GeneralTF,-0.194323256277566
HSPB1,HSPB1,None,-0.2700574510317
AR,AR,GeneralTF,-0.339977118911973
PRKACA,PRKACA,NeuroDev,0.0459622210055297
SRC,SRC,NeuroDev,-0.0428471829072877
FOXO1,FOXO1,GeneralTF,-0.0083718555889813
SMAD3,SMAD3,GeneralTF,-0.394794958854225
ESR1,ESR1,GeneralTF,0.0
STAT3,STAT3,NeuroDev,-0.101429880817253
MDM2,MDM2,GeneralTF,-0.0969684137070954
KLK3,KLK3,None,0.0
UBE2I,UBE2I,None,0.0042858919874908
RELA,RELA,GeneralTF,0.0623796234779442
CDK6,CDK6,NeuroDisease,0.429641089091188
HSP90AA1,HSP90AA1,NeuroDev,-0.113657493994707
MAPK1,MAPK1,NeuroDisease,-0.0641135346371894
MAPK3,MAPK3,NeuroDev,0.0705023326061009
ZNF225,ZNF225,GeneralTF,0.0
PIM1,PIM1,None,-0.0294114206909168
CDC42,CDC42,NeuroDisease,0.135178991776851
TYK2,TYK2,None,0.0662680041726459
MAPK8,MAPK8,None,0.0368909683300027
BAD,BAD,NeuroDev,-0.147399155217892
PDK1,PDK1,None,-0.160652571858138
TEP1,TEP1,None,0.0
CD28,CD28,None,0.0
BACH1,BACH1,HSA21TF,0.730920634333343
VAV1,VAV1,None,0.0
PTPN6,PTPN6,None,0.0
IFNAR2,IFNAR2,HSA21gene,0.697366973528535
IFNAR1,IFNAR1,HSA21gene,0.737153966792477
PTPN11,PTPN11,NeuroDisease,-0.134405826738663
MAP3K1,MAP3K1,None,0.264597204058213
IFNGR2,IFNGR2,HSA21gene,0.614867772688703
IL10RB,IL10RB,HSA21gene,0.550301863806562
DVL2,DVL2,NeuroDev,-0.163833500985053
ITSN1,ITSN1,HSA21gene,0.519088229593054
NCOR2,NCOR2,NeuroDev,-0.0769815510092634
NRIP1,NRIP1,HSA21gene,0.401479191969281
PTK2B,PTK2B,NeuroDev,0.0986664962319277
ITK,ITK,None,0.0
CTLA4,CTLA4,None,0.0
VAV2,VAV2,None,-0.2945312384292
CSK,CSK,NeuroDev,0.0442112768021814
IQGAP1,IQGAP1,NeuroDev,-0.0065072964189194
ITGB1,ITGB1,NeuroDev,-0.134314255402664
LRRK2,LRRK2,NeuroDev,0.0
PAK5,PAK5,None,0.352835021445958
PPP3CA,PPP3CA,NeuroDisease,0.287860941410359
SDCBP,SDCBP,NeuroDev,0.0189286669760471
TNK2,TNK2,None,0.0876776354622359
KDR,KDR,None,0.0
RCAN1,RCAN1,HSA21gene,0.775089326896064
RUNX1,RUNX1,HSA21TF,0.654284266741855
CDK5,CDK5,NeuroDev,0.152059581712372
ITGB3,ITGB3,None,0.0
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
BRCA1,BRCA1,NeuroDisease,-0.0372214574573613
APP,APP,HSA21gene,0.696731563295763
PKNOX1,PKNOX1,HSA21TF,0.53000727131577
SIM2,SIM2,HSA21TF,0.0
TGFB1I1,TGFB1I1,None,0.0
ASAP1,ASAP1,None,0.207058968085867
VAV3,VAV3,None,-0.0873394603303047
ITGB5,ITGB5,None,-0.694043507403064
ITGB2,ITGB2,HSA21gene,0.0
ICOSLG,ICOSLG,HSA21gene,0.0
ICOS,ICOS,None,0.0
ICAM1,ICAM1,None,0.0
VCAN,VCAN,None,0.441524705712611
COL6A2,COL6A2,HSA21gene,-1.04332461459825
COL18A1,COL18A1,HSA21gene,-0.551493129724772
COL6A1,COL6A1,HSA21gene,0.265033156663093
JAM2,JAM2,HSA21gene,0.276780100857076
F11R,F11R,None,0.540837490691702
SIK1,SIK1,HSA21gene,0.0
NFATC4,NFATC4,NeuroDev,-0.32407801927189
EPHA3,EPHA3,NeuroDev,0.274316904164816
ADAMTS1,ADAMTS1,HSA21gene,-1.00213781652914
AHR,AHR,GeneralTF,0.0
ARNT,ARNT,GeneralTF,0.4455658563335
GSN,GSN,NeuroDev,-0.290924548569772
S100B,S100B,HSA21gene,0.0
RIPK4,RIPK4,HSA21gene,0.0
PIK3CG,PIK3CG,None,0.0
PRL,PRL,None,0.0
FOXO3,FOXO3,GeneralTF,-0.0237688365126337
ETS2,ETS2,HSA21TF,0.417956594380445
ERG,ERG,HSA21TF,0.0
GABPA,GABPA,HSA21TF,0.601451678662171
SOX4,SOX4,NeuroDisease,0.213148993687883
