source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
BACE2,APP,True,True,False,True,True,False,15,HPRD-phos:10936190;HPRD-phos:15178331;HPRD-phos:8764598;HPRD:10605825;HPRD:10931940;HPRD:10936190;HPRD:15178331;HPRD:8764598;KEA:10936190;KEA:15178331;KEA:8764598;SPIKE:20418918;iPTMnet:10936190;iPTMnet:15178331;iPTMnet:8764598,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoSite_KEA;PhosphoSite_MIMP;SPIKE;Wang;iPTMnet;phosphoELM_MIMP,post_translational,10605825;10931940;10936190;15178331;20418918;8764598,6,12,7
RAC1,TIAM1,True,True,False,False,False,False,11,Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749,Adhesome;BioGRID;HPRD;Lit-BM-17,post_translational,10212259;10592173;11130063;11595749;7753201;8910315,6,4,4
TIAM1,RAC1,True,True,False,True,True,False,19,ACSN:11955434;ACSN:12829230;ACSN:15611338;ACSN:15967165;Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;CA1:10212259;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749;SIGNOR:12393875;SIGNOR:32203420;SPIKE:11130063,ACSN;Adhesome;BioGRID;CA1;HPRD;Lit-BM-17;SIGNOR;SPIKE;Wang,post_translational,10212259;10592173;11130063;11595749;11955434;12393875;12829230;15611338;15967165;32203420;7753201;8910315,12,9,9
HRAS,TIAM1,True,True,False,True,True,False,9,ACSN:12134164;ACSN:7673236;ACSN:9069260;Adhesome:12134164;Adhesome:16203995;HPRD:12134164;InnateDB:12134164;SPIKE:12134164;SPIKE:18568040,ACSN;Adhesome;HPRD;InnateDB;SPIKE;Wang,post_translational,12134164;16203995;18568040;7673236;9069260,5,6,6
TIAM1,HRAS,True,True,False,False,False,False,4,Adhesome:12134164;Adhesome:16203995;HPRD:12134164;InnateDB:12134164,Adhesome;HPRD;InnateDB;Wang,post_translational,12134164;16203995,2,4,4
JAK2,STAT3,True,True,False,True,True,False,163,BioGRID:27351213;BioGRID:9211920;CancerCellMap:15156153;CancerCellMap:15284024;HPRD-phos:10918587;HPRD-phos:11294897;HPRD-phos:11350938;HPRD-phos:11940572;HPRD-phos:12244095;HPRD-phos:12576423;HPRD-phos:12626508;HPRD-phos:14551213;HPRD-phos:16497976;HPRD-phos:17016520;HPRD-phos:17389395;HPRD-phos:19901323;HPRD-phos:8626374;HPRD:10918587;HPRD:10925297;HPRD:11294897;HPRD:11350938;HPRD:11940572;HPRD:12244095;HPRD:12576423;HPRD:12626508;HPRD:14551213;HPRD:8626374;InnateDB:15284024;KEA:10918587;KEA:11294897;KEA:11350938;KEA:11429593;KEA:11850821;KEA:11940572;KEA:12244095;KEA:12576423;KEA:12626508;KEA:14551213;KEA:15592455;KEA:8272872;KEA:8626374;KEA:9083098;KEA:9305919;KEA:9566874;KEA:9582023;NetPath:15156153;NetPath:15284024;NetPath:16306356;PhosphoSite:11803465;PhosphoSite:12075083;PhosphoSite:12626585;PhosphoSite:12637586;PhosphoSite:14701810;PhosphoSite:15077188;PhosphoSite:15151905;PhosphoSite:15615703;PhosphoSite:15786731;PhosphoSite:15950906;PhosphoSite:16319070;PhosphoSite:16469875;PhosphoSite:17360477;PhosphoSite:17401459;PhosphoSite:17565041;PhosphoSite:18498667;PhosphoSite:18718905;PhosphoSite:18939995;PhosphoSite:19147545;PhosphoSite:19159681;PhosphoSite:20455003;PhosphoSite:20826784;PhosphoSite:21098725;PhosphoSite:21166956;PhosphoSite:21481791;PhosphoSite:21575192;PhosphoSite:22153071;PhosphoSite:22306293;PhosphoSite:23906537;PhosphoSite:24316223;PhosphoSite:24793791;PhosphoSite:25915428;PhosphoSite:25962054;PhosphoSite:26008966;PhosphoSite:26175413;PhosphoSite:26307676;PhosphoSite:26675255;PhosphoSite:26699492;PhosphoSite:26787900;PhosphoSite:27086926;PhosphoSite:27181202;PhosphoSite:27344175;PhosphoSite:27748760;PhosphoSite:27941883;PhosphoSite:29162862;PhosphoSite:30054295;PhosphoSite:31914141;PhosphoSite:31976162;PhosphoSite:32087696;PhosphoSite:32094172;PhosphoSite:33512408;PhosphoSite:33513694;PhosphoSite:33774038;PhosphoSite:33774344;PhosphoSite:33820781;PhosphoSite:33824475;PhosphoSite:33839684;PhosphoSite:33846242;PhosphoSite:33909625;PhosphoSite:33986510;PhosphoSite:34031055;PhosphoSite:34066153;PhosphoSite:34067421;PhosphoSite:34118143;PhosphoSite:34247191;PhosphoSite:34433042;PhosphoSite:8626374;ProtMapper:10207096;ProtMapper:11940572;ProtMapper:12529382;ProtMapper:15322111;ProtMapper:18525315;ProtMapper:21285325;ProtMapper:23166634;ProtMapper:24501689;ProtMapper:25986861;ProtMapper:26188635;ProtMapper:28827891;ProtMapper:28978186;ProtMapper:29290793;ProtMapper:29449694;ProtMapper:9575217;SIGNOR:9575217;SPIKE:12595539;SignaLink3:10918587;SignaLink3:10925297;SignaLink3:11294897;SignaLink3:11350938;SignaLink3:11445068;SignaLink3:11940572;SignaLink3:12244095;SignaLink3:12576423;SignaLink3:12626508;SignaLink3:14551213;SignaLink3:18988627;SignaLink3:19834108;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8626374;iPTMnet:10918587;iPTMnet:11294897;iPTMnet:11350938;iPTMnet:11940572;iPTMnet:12244095;iPTMnet:12576423;iPTMnet:12626508;iPTMnet:14551213;iPTMnet:16497976;iPTMnet:17016520;iPTMnet:17389395;iPTMnet:19901323;iPTMnet:8626374;iPTMnet:9575217;iPTMnet:9582023;phosphoELM:9582023,BioGRID;CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;KEGG-MEDICUS;MIMP;NCI-PID_ProtMapper;NetPath;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10207096;10918587;10925297;11294897;11350938;11429593;11445068;11803465;11850821;11940572;12075083;12244095;12529382;12576423;12595539;12626508;12626585;12637586;14551213;14701810;15077188;15151905;15156153;15284024;15322111;15592455;15615703;15786731;15950906;16306356;16319070;16469875;16497976;17016520;17360477;17389395;17401459;17565041;18498667;18525315;18718905;18939995;18988627;19147545;19159681;19834108;19901323;20455003;20826784;21071413;21098725;21166956;21285325;21481791;21575192;22153071;22306293;23166634;23331499;23906537;24316223;24501689;24793791;25915428;25962054;25986861;26008966;26175413;26188635;26307676;26675255;26699492;26787900;27086926;27181202;27344175;27351213;27748760;27941883;28827891;28978186;29162862;29290793;29449694;30054295;31914141;31976162;32087696;32094172;33512408;33513694;33774038;33774344;33820781;33824475;33839684;33846242;33909625;33986510;34031055;34066153;34067421;34118143;34247191;34433042;8272872;8626374;9083098;9211920;9305919;9566874;9575217;9582023,113,29,18
TP53,HIPK2,True,False,False,False,False,False,15,BioGRID:11925430;BioGRID:22110707;HPRD:11780126;HPRD:11875057;HPRD:11925430;HPRD:15896780;IntAct:15896780;IntAct:16212962;Lit-BM-17:11740489;Lit-BM-17:11925430;Lit-BM-17:15896780;Lit-BM-17:16212962;Lit-BM-17:21057547;Lit-BM-17:25313037;ProtMapper:27901482,BioGRID;HPRD;IntAct;Lit-BM-17;ProtMapper;RLIMS-P_ProtMapper,post_translational,11740489;11780126;11875057;11925430;15896780;16212962;21057547;22110707;25313037;27901482,10,6,5
HIPK2,TP53,True,True,False,True,True,False,85,BioGRID:11925430;BioGRID:22110707;HPRD-phos:11780126;HPRD-phos:11875057;HPRD-phos:16212962;HPRD:11780126;HPRD:11875057;HPRD:11925430;HPRD:15896780;IntAct:15896780;IntAct:16212962;KEA:11780126;KEA:11875057;KEA:16212962;KEA:16729035;Lit-BM-17:11740489;Lit-BM-17:11925430;Lit-BM-17:15896780;Lit-BM-17:16212962;Lit-BM-17:21057547;Lit-BM-17:25313037;ProtMapper:11740489;ProtMapper:11780126;ProtMapper:15865933;ProtMapper:16212962;ProtMapper:16601678;ProtMapper:17203463;ProtMapper:17210684;ProtMapper:17332358;ProtMapper:17349959;ProtMapper:17906639;ProtMapper:19128456;ProtMapper:19714248;ProtMapper:19731416;ProtMapper:19828042;ProtMapper:19946469;ProtMapper:20171273;ProtMapper:20418953;ProtMapper:20508833;ProtMapper:20849851;ProtMapper:21192925;ProtMapper:21258400;ProtMapper:21855806;ProtMapper:22110707;ProtMapper:22545114;ProtMapper:22889244;ProtMapper:22935610;ProtMapper:23091802;ProtMapper:23293771;ProtMapper:23316480;ProtMapper:23536002;ProtMapper:23700162;ProtMapper:23717325;ProtMapper:23814485;ProtMapper:23945296;ProtMapper:24101931;ProtMapper:24145406;ProtMapper:24211575;ProtMapper:24829283;ProtMapper:25210797;ProtMapper:25313037;ProtMapper:25364713;ProtMapper:26942128;ProtMapper:27019364;ProtMapper:27308326;ProtMapper:27308327;ProtMapper:27689990;ProtMapper:27787517;ProtMapper:27901482;ProtMapper:28107201;ProtMapper:28122345;ProtMapper:28893313;SIGNOR:17210684;SPIKE:17332358;iPTMnet:11740489;iPTMnet:11780126;iPTMnet:11875057;iPTMnet:16212962;iPTMnet:16729035;iPTMnet:17203463;iPTMnet:17210684;iPTMnet:19828042;iPTMnet:22011578;phosphoELM:11780126;phosphoELM:16729035,BioGRID;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;IntAct;KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,11740489;11780126;11875057;11925430;15865933;15896780;16212962;16601678;16729035;17203463;17210684;17332358;17349959;17906639;19128456;19714248;19731416;19828042;19946469;20171273;20418953;20508833;20849851;21057547;21192925;21258400;21855806;22011578;22110707;22545114;22889244;22935610;23091802;23293771;23316480;23536002;23700162;23717325;23814485;23945296;24101931;24145406;24211575;24829283;25210797;25313037;25364713;26942128;27019364;27308326;27308327;27689990;27787517;27901482;28107201;28122345;28893313,57,25,14
AKT1,FOXO1,True,True,True,True,False,True,81,ACSN:10102273;ACSN:10217147;ACSN:11463845;ACSN:11756412;ACSN:16680151;ACSN:17646672;ACSN:17680028;ACSN:18593906;ACSN:19216069;ACSN:20214616;ACSN:20398329;ACSN:20452955;ACSN:9829964;BioGRID:10358014;BioGRID:16076959;CA1:10102273;CA1:10358075;CancerCellMap:11030146;DIP:18786403;HPRD-phos:10358014;HPRD:10358014;InnateDB:10358075;InnateDB:11237865;KEA:10358014;KEA:11410590;KEA:12560069;KEA:17570479;Lit-BM-17:10358014;Lit-BM-17:10358075;Lit-BM-17:16076959;Lit-BM-17:18786403;Lit-BM-17:25241761;PhosphoSite:10358075;PhosphoSite:10358076;PhosphoSite:11030146;PhosphoSite:11237865;PhosphoSite:11311120;PhosphoSite:11980723;PhosphoSite:12228231;PhosphoSite:14664696;PhosphoSite:16076959;PhosphoSite:16670091;PhosphoSite:18951090;PhosphoSite:20041807;PhosphoSite:28279977;PhosphoSite:30728292;PhosphoSite:31308176;ProtMapper:10102273;ProtMapper:10358075;ProtMapper:10377430;ProtMapper:11237865;ProtMapper:11544290;ProtMapper:11864996;ProtMapper:11980723;ProtMapper:12456685;ProtMapper:15132996;SIGNOR:10377430;SIGNOR:11237865;SIGNOR:18423396;SIGNOR:21440011;SIGNOR:21798082;SPIKE:11030146;SPIKE:11251083;SPIKE:16341064;SPIKE:17254970;SPIKE:17962350;SPIKE:18985696;SPIKE:2984676;SPIKE:2987962;SignaLink3:10358014;SignaLink3:10358075;SignaLink3:11237865;SignaLink3:13679577;SignaLink3:18988627;SignaLink3:23180781;SignaLink3:23331499;dbPTM:10358075;dbPTM:11980723;iPTMnet:10358014;iPTMnet:10358075;iPTMnet:11237865,ACSN;BEL-Large-Corpus_ProtMapper;BioGRID;CA1;CancerCellMap;DIP;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;InnateDB_SignaLink3;KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;NetworKIN_KEA;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;dbPTM;iPTMnet;phosphoELM_MIMP,post_translational,10102273;10217147;10358014;10358075;10358076;10377430;11030146;11237865;11251083;11311120;11410590;11463845;11544290;11756412;11864996;11980723;12228231;12456685;12560069;13679577;14664696;15132996;16076959;16341064;16670091;16680151;17254970;17570479;17646672;17680028;17962350;18423396;18593906;18786403;18951090;18985696;18988627;19216069;20041807;20214616;20398329;20452955;21440011;21798082;23180781;23331499;25241761;28279977;2984676;2987962;30728292;31308176;9829964,53,34,20
JAK1,STAT3,True,True,True,True,True,False,120,CancerCellMap:15284024;HPRD-phos:10918587;HPRD-phos:11294897;HPRD-phos:11350938;HPRD-phos:11940572;HPRD-phos:12244095;HPRD-phos:12576423;HPRD-phos:12626508;HPRD-phos:14551213;HPRD-phos:16497976;HPRD-phos:17016520;HPRD-phos:17389395;HPRD-phos:19901323;HPRD-phos:8626374;HPRD:10918587;HPRD:11294897;HPRD:11350938;HPRD:11722592;HPRD:11940572;HPRD:12244095;HPRD:12576423;HPRD:12626508;HPRD:14551213;HPRD:8272872;HPRD:8626374;HPRD:9566874;InnateDB:15284024;KEA:10918587;KEA:11294897;KEA:11350938;KEA:11429593;KEA:11850821;KEA:11940572;KEA:12244095;KEA:12576423;KEA:12626508;KEA:14551213;KEA:15592455;KEA:8272872;KEA:8626374;KEA:9083098;KEA:9305919;KEA:9566874;KEA:9582023;NetPath:15284024;ProtMapper:17595657;ProtMapper:18691551;ProtMapper:19723038;ProtMapper:22905257;ProtMapper:24501689;ProtMapper:26260587;SIGNOR:19723038;SIGNOR:24710148;SIGNOR:26260587;SPIKE:21690253;SignaLink3:10851062;SignaLink3:10918587;SignaLink3:11163236;SignaLink3:11294897;SignaLink3:11306517;SignaLink3:11350938;SignaLink3:11418623;SignaLink3:11564763;SignaLink3:11706020;SignaLink3:11722592;SignaLink3:11940572;SignaLink3:12040185;SignaLink3:12093291;SignaLink3:12244095;SignaLink3:12244150;SignaLink3:12351624;SignaLink3:12517932;SignaLink3:12576423;SignaLink3:12626508;SignaLink3:12626585;SignaLink3:12759422;SignaLink3:14551213;SignaLink3:14565860;SignaLink3:14764663;SignaLink3:15261459;SignaLink3:15805299;SignaLink3:17878297;SignaLink3:18389480;SignaLink3:18669613;SignaLink3:18941194;SignaLink3:19535621;SignaLink3:20169197;SignaLink3:20966397;SignaLink3:21098725;SignaLink3:21420464;SignaLink3:23124025;SignaLink3:23331499;SignaLink3:25297818;SignaLink3:27774606;SignaLink3:29145629;SignaLink3:7796300;SignaLink3:8085155;SignaLink3:8272872;SignaLink3:8626374;SignaLink3:8662591;SignaLink3:8662795;SignaLink3:8662928;SignaLink3:8756628;SignaLink3:9535918;SignaLink3:9566874;SignaLink3:9651359;iPTMnet:10918587;iPTMnet:11294897;iPTMnet:11350938;iPTMnet:11940572;iPTMnet:12244095;iPTMnet:12576423;iPTMnet:12626508;iPTMnet:14551213;iPTMnet:16497976;iPTMnet:17016520;iPTMnet:17389395;iPTMnet:19723038;iPTMnet:19901323;iPTMnet:8626374,CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;KEGG-MEDICUS;MIMP;NCI-PID_ProtMapper;NetPath;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;RLIMS-P_ProtMapper;Reactome_SignaLink3;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10851062;10918587;11163236;11294897;11306517;11350938;11418623;11429593;11564763;11706020;11722592;11850821;11940572;12040185;12093291;12244095;12244150;12351624;12517932;12576423;12626508;12626585;12759422;14551213;14565860;14764663;15261459;15284024;15592455;15805299;16497976;17016520;17389395;17595657;17878297;18389480;18669613;18691551;18941194;19535621;19723038;19901323;20169197;20966397;21098725;21420464;21690253;22905257;23124025;23331499;24501689;24710148;25297818;26260587;27774606;29145629;7796300;8085155;8272872;8626374;8662591;8662795;8662928;8756628;9083098;9305919;9535918;9566874;9582023;9651359,70,26,15
