source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
BACE2,APP,True,True,False,True,True,False,15,HPRD-phos:10936190;HPRD-phos:15178331;HPRD-phos:8764598;HPRD:10605825;HPRD:10931940;HPRD:10936190;HPRD:15178331;HPRD:8764598;KEA:10936190;KEA:15178331;KEA:8764598;SPIKE:20418918;iPTMnet:10936190;iPTMnet:15178331;iPTMnet:8764598,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoSite_KEA;PhosphoSite_MIMP;SPIKE;Wang;iPTMnet;phosphoELM_MIMP,post_translational,10605825;10931940;10936190;15178331;20418918;8764598,6,12,7
NFKB1,CREBBP,True,True,False,True,True,False,2,CA1:9660950;Macrophage:16835236,CA1;Macrophage;Wang,post_translational,16835236;9660950,2,3,3
CREBBP,NFKB1,True,True,False,False,False,False,2,Macrophage:16835236;SPIKE:12789342,Macrophage;SPIKE;Wang,post_translational,12789342;16835236,2,3,3
SUMO3,PARP1,True,False,True,True,False,True,1,SPIKE:19622798,SPIKE,post_translational,19622798,1,1,1
SPI1,ITGB2,True,True,False,True,True,False,1,SPIKE:15676205,SPIKE,post_translational,15676205,1,1,1
STAT3,SPI1,True,True,False,True,True,False,1,SPIKE:11889125,SPIKE,post_translational,11889125,1,1,1
DSCAM,STAT3,True,True,False,True,True,False,1,SIGNOR:30745319,SIGNOR,post_translational,30745319,1,1,1
DYRK1A,NOTCH1,True,False,True,True,False,True,1,SIGNOR:19383720,SIGNOR,post_translational,19383720,1,1,1
CREBBP,STAT3,True,True,False,True,True,False,3,HPRD-phos:15649887;HPRD:15649887;NetPath:11773079,HPRD;HPRD-phos;NetPath;Wang,post_translational,11773079;15649887,2,4,4
DYRK1A,STAT3,True,False,False,False,False,False,1,KEA:12763138,KEA;Kinexus_KEA,post_translational,12763138,1,2,1
APP,NOTCH1,True,True,False,True,True,False,1,BioGRID:16175584,BioGRID;Wang,post_translational,16175584,1,2,2
NOTCH1,APP,True,True,False,True,True,False,1,BioGRID:16175584,BioGRID;Wang,post_translational,16175584,1,2,2
TLE1,RUNX1,True,False,True,True,False,True,2,HPRD:9751710;Lit-BM-17:9751710,HPRD;Lit-BM-17;Wang,post_translational,9751710,1,3,3
PARP1,NFKB1,True,True,False,True,True,False,1,HPRD:11590148,HPRD;Wang,post_translational,11590148,1,2,2
DYRK1A,APP,True,False,False,False,False,False,5,ProtMapper:18005339;ProtMapper:18696092;ProtMapper:21156028;ProtMapper:21157379;ProtMapper:28775333,ProtMapper;Sparser_ProtMapper,post_translational,18005339;18696092;21156028;21157379;28775333,5,2,1
RUNX1,SPI1,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
NOTCH1,ASCL1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
CREBBP,ASCL1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
NFKB1,POU2F2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
TLE1,ASCL1,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
PARP1,ASCL1,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
ITGB2,NFKB1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
BACE2,NOTCH1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
POU2F2,ASCL1,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
TCF12,ASCL1,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
